#UNIQUE-ID	TYPES	COMMON-NAME
PWY-7274	Antibiotic-Biosynthesis; Other-Amino-Acid-Biosynthesis;	D-cycloserine biosynthesis;
PWY-7413	dTDP-Sugar-Biosynthesis;	dTDP-6-deoxy-&alpha;-D-allose biosynthesis;
PWY-5133	TERPENOPHENOLICS-SYN;	colupulone and cohumulone biosynthesis;
PWY0-521	Sugar-Derivatives;	fructoselysine and psicoselysine degradation;
PWY-1186	Other-Amino-Acid-Biosynthesis;	L-homomethionine biosynthesis;
PWY-6515	FLAVONOID-SYN;	phloridzin biosynthesis;
PWY-6744	Hydrogen-Production;	hydrogen production I;
PWY-5808	TERPENOPHENOLICS-SYN;	hyperforin and adhyperforin biosynthesis;
DTDPRHAMSYN-PWY	dTDP-Sugar-Biosynthesis;	dTDP-L-rhamnose biosynthesis;
PWY-6998	CDP-Sugar-Biosynthesis;	CDP-D-arabitol biosynthesis;
PWY-6336	Protocatechuate-Degradation;	protocatechuate degradation III (<I>para</I>-cleavage pathway);
PWY-7897	FLAVONOID-SYN;	flavonoid di-C-glucosylation;
PWY-7287	Antibiotic-Biosynthesis; Super-Pathways;	novobiocin biosynthesis;
PWY-7439	dTDP-Sugar-Biosynthesis;	dTDP-&beta;-L-evernitrose biosynthesis;
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	Protocatechuate-Degradation;	protocatechuate degradation II (ortho-cleavage pathway);
PWY-6447	MONOTERPENOID-SYN;	trichome monoterpenes biosynthesis;
PWY-6516	Sugar-Derivatives; Super-Pathways;	superpathway of microbial D-galacturonate and D-glucuronate degradation;
PWY-6395	Other-Amino-Acid-Biosynthesis; Seleno-Amino-Acid-Detoxification; Super-Pathways;	superpathway of seleno-compound metabolism;
P184-PWY	Protocatechuate-Degradation;	protocatechuate degradation I (<I>meta</I>-cleavage pathway);
PWY-5889	Rhodoquinone-Biosynthesis;	rhodoquinone-9 biosynthesis;
PWY-5310	ANTHOCYANIN-SYN; Super-Pathways;	superpathway of anthocyanin biosynthesis (from delphinidin 3-<i>O</i>-glucoside);
PWY-6759	Hydrogen-Production;	hydrogen production III;
HCAMHPDEG-PWY	Phenolic-Compounds-Degradation;	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate;
PWY-6973	dTDP-Sugar-Biosynthesis;	dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis;
PWY-8015	GLYCINE-DEG;	glycine degradation (Stickland reaction);
BETA-ALA-DEGRADATION-I-PWY	Beta-Alanine-Degradation;	&beta;-alanine degradation I;
PWY-5888	Rhodoquinone-Biosynthesis;	rhodoquinone-10 biosynthesis;
PWY-7464	ANTHOCYANIN-SYN;	cyanidin 3,7-diglucoside polyacylation biosynthesis;
PWY-7352	Antibiotic-Biosynthesis;	daunorubicin biosynthesis;
PWY-5468	QUINOLIZIDINE-ALKALOIDS;	lupanine biosynthesis;
PWY-7688	dTDP-Sugar-Biosynthesis;	dTDP-D-ravidosamine and dTDP-4-acetyl-D-ravidosamine biosynthesis;
PWY-7275	Other-Amino-Acid-Biosynthesis;	L-homophenylalanine biosynthesis;
PWY-7252	ANTHOCYANIN-SYN;	luteolinidin 5-<i>O</i>-glucoside biosynthesis;
PWY-6780	Hydrogen-Production;	hydrogen production VI;
PWY-7104	dTDP-Sugar-Biosynthesis;	dTDP-L-megosamine biosynthesis;
GLYCLEAV-PWY	GLYCINE-DEG;	glycine cleavage;
PWY-5831	CDP-Sugar-Biosynthesis;	CDP-abequose biosynthesis;
PWY-5049	Rosmarinate-Biosynthesis;	rosmarinic acid biosynthesis II;
PWY-7259	ANTHOCYANIN-SYN;	pelargonidin diglucoside biosynthesis (acyl-glucose dependent);
PWY-7354	Antibiotic-Biosynthesis;	aclacinomycin biosynthesis;
PWY-7315	dTDP-Sugar-Biosynthesis;	dTDP-<i>N</i>-acetylthomosamine biosynthesis;
GLUTORN-PWY	L-Ornithine-Biosynthesis;	L-ornithine biosynthesis I;
PWY-5388	N-CONTAINING-GLUCOSIDE-SYN;	N-glucosylnicotinate metabolism;
PWY-7182	MONOTERPENOID-SYN;	linalool biosynthesis I;
PWY-7701	Other-Amino-Acid-Biosynthesis;	4-hydroxy-4-methyl-L-glutamate biosynthesis;
GLUT-REDOX-PWY	Reductants;	glutathione-glutaredoxin redox reactions;
PWY-5048	Rosmarinate-Biosynthesis;	rosmarinic acid biosynthesis I;
PWY-5153	ANTHOCYANIN-SYN;	anthocyanin biosynthesis (delphinidin 3-O-glucoside);
PWY-6758	Hydrogen-Production;	hydrogen production II;
PWY-6080	Phenolic-Compounds-Degradation;	4-ethylphenol degradation (anaerobic);
PWY-5039	PURINE-ALKALOIDS;	theobromine biosynthesis I;
PWY-4081	Reductants;	glutathione-peroxide redox reactions;
PWY-7318	dTDP-Sugar-Biosynthesis;	dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-glucose biosynthesis;
GDPRHAMSYN-PWY	GDP-Sugar-Biosynthesis;	GDP-D-rhamnose biosynthesis;
PWY-6771	Rhamnogalacturonan-Degradation;	rhamnogalacturonan type I degradation II (bacteria);
PWY-6840	Reductants;	homoglutathione biosynthesis;
ECASYN-PWY	Lipopolysaccharide-Biosynthesis; Super-Pathways;	enterobacterial common antigen biosynthesis;
PWY-4841	CYCLITOLS-DEG; UDP-Sugar-Biosynthesis;	UDP-&alpha;-D-glucuronate biosynthesis (from <i>myo</i>-inositol);
PWY-7262	ANTHOCYANIN-SYN;	rose anthocyanin biosynthesis II (via cyanidin 3-<i>O</i>-&beta;-<i>D</i>-glucoside);
PHENYLALANINE-DEG1-PWY	PHENYLALANINE-DEG;	L-phenylalanine degradation I (aerobic);
PHENOLDEG-PWY	Phenol-Degradation;	phenol degradation II (anaerobic);
PWY-7355	Antibiotic-Biosynthesis;	doxorubicin biosynthesis;
PWY8J2-1	Reductants;	bacillithiol biosynthesis;
PWY-6953	dTDP-Sugar-Biosynthesis;	dTDP-3-acetamido-&alpha;-D-fucose biosynthesis;
PWY-3022	CYANOGENIC-GLUCOSIDE-SYN;	linamarin biosynthesis;
PWY-3981	Beta-Alanine-Biosynthesis;	&beta;-alanine biosynthesis I;
PWY-4041	Reductants; Super-Pathways;	&gamma;-glutamyl cycle;
PWY-5600	Pyruvate-Acetate-Fermentation; Super-Pathways;	pyruvate fermentation to acetate VII;
PWY-7856	HEME-SYN;	heme <i>a</i> biosynthesis;
PWY-6772	Hydrogen-Production;	hydrogen production V;
PWY-5284	ANTHOCYANIN-SYN;	shisonin biosynthesis;
PWY-5418	Phenol-Degradation;	phenol degradation I (aerobic);
PWY-4181	Reductants;	glutathione amide metabolism;
PWY-7657	dTDP-Sugar-Biosynthesis;	dTDP-&beta;-L-digitoxose biosynthesis;
PWY-5661	GDP-Sugar-Biosynthesis;	GDP-glucose biosynthesis;
PWY-6710	Hydroxy-Fatty-Acids-Biosynthesis;	poly-hydroxy fatty acids biosynthesis;
PWY-5834	CDP-Sugar-Biosynthesis;	CDP-tyvelose biosynthesis;
PWY1G-126	Reductants;	mycothiol oxidation;
PWY-6430	Pyrimidine-Base-Degradation;	thymine degradation;
PWY-5096	Pyruvate-Acetate-Fermentation; Super-Pathways;	pyruvate fermentation to acetate and alanine;
PWY-7449	ANTHOCYANIN-SYN;	acylated cyanidin galactoside biosynthesis;
PWY-5424	Super-Pathways; Terpenoid-Biosynthesis;	superpathway of oleoresin turpentine biosynthesis;
PWY-7158	PHENYLALANINE-DEG;	L-phenylalanine degradation V;
PWY-7419	Antibiotic-Biosynthesis;	FR-900098 and FR-33289 antibiotics biosynthesis;
GLUTATHIONESYN-PWY	Reductants;	glutathione biosynthesis;
ARGININE-SYN4-PWY	L-Ornithine-Biosynthesis;	L-ornithine biosynthesis II;
PWY-6976	dTDP-Sugar-Biosynthesis;	dTDP-L-mycarose biosynthesis;
PWY-6668	Terpenoid-Biosynthesis;	(<i>E,E</i>)-4,8,12-trimethyltrideca-1,3,7,11-tetraene biosynthesis;
PWY-5828	Terpenoid-Biosynthesis;	lacinilene C biosynthesis;
PWY-5760	Beta-Alanine-Biosynthesis;	&beta;-alanine biosynthesis IV;
PWY-7095	CYANOGENIC-GLUCOSIDE-SYN;	3,4-dihydroxymandelonitrile &beta;-<i>D</i>-glucose biosynthesis;
PWY1G-0	Reductants;	mycothiol biosynthesis;
PWY-5827	Terpenoid-Biosynthesis;	heliocides biosynthesis;
PWY-5483	Pyruvate-Acetate-Fermentation; Super-Pathways;	pyruvate fermentation to acetate III;
PWY-7554	HEME-SYN;	heme <i>d</i><sub>1</sub> biosynthesis;
PWY-7731	Hydrogen-Production; Super-Pathways;	superpathway of photosynthetic hydrogen production;
PWY-7087	Terpenoid-Biosynthesis;	2-methylisoborneol biosynthesis;
PWY-5307	ANTHOCYANIN-SYN;	gentiodelphin biosynthesis;
PWY-7697	MONOTERPENOID-SYN;	geranyl &beta;-primeveroside biosynthesis;
THIOREDOX-PWY	Reductants;	thioredoxin pathway;
PWY-7312	dTDP-Sugar-Biosynthesis;	dTDP-D-&beta;-fucofuranose biosynthesis;
PWY-5040	PURINE-ALKALOIDS;	theobromine biosynthesis II (via xanthine);
PWY-5740	GDP-Sugar-Biosynthesis;	GDP-L-colitose biosynthesis;
PWY-6433	Hydroxy-Fatty-Acids-Biosynthesis;	hydroxylated fatty acid biosynthesis (plants);
PWY-6467	KDO-Lipid-IV-Transfer; Super-Pathways;	Kdo transfer to lipid IV<SUB>A</SUB> III (Chlamydia);
PWY-6363	CYCLITOLS-DEG;	D-<i>myo</i>-inositol (1,4,5)-trisphosphate degradation;
PWY-5538	Pyruvate-Acetate-Fermentation; Super-Pathways;	pyruvate fermentation to acetate VI;
PWY-7458	ANTHOCYANIN-SYN;	violdelphin biosynthesis;
PWY-7943	Olefins-Biosynthesis; TETRATERPENOID-SYN;	lycopadiene biosynthesis;
ANAPHENOXI-PWY	PHENYLALANINE-DEG;	L-phenylalanine degradation II (anaerobic);
PWY-5372	Carbon-tetrachloride-degradation;	carbon tetrachloride degradation II;
PWY-7441	Antibiotic-Biosynthesis;	polymyxin A biosynthesis;
PWY-7414	dTDP-Sugar-Biosynthesis;	dTDP-&alpha;-D-mycaminose biosynthesis;
PWY-7088	CYANOGENIC-GLUCOSIDE-SYN;	taxiphyllin biosynthesis;
PWY-3941	Beta-Alanine-Biosynthesis;	&beta;-alanine biosynthesis II;
P41-PWY	Pyruvate-Acetate-Fermentation; Pyruvate-Lactate-Fermentation; Super-Pathways;	pyruvate fermentation to acetate and (<i>S</i>)-lactate I;
PWY-7552	Heme-b-Biosynthesis;	heme <i>b</i> biosynthesis III (from siroheme);
PWY-6751	Hydrogen-Production; Super-Pathways;	superpathway of hydrogen production;
PWY-5291	C40-Carotenoids-Biosynthesis;	canthaxanthin biosynthesis;
PWY-5313	ANTHOCYANIN-SYN; Super-Pathways;	superpathway of anthocyanin biosynthesis (from cyanidin and cyanidin 3-<i>O</i>-glucoside);
PWY-7623	C40-Carotenoids-Biosynthesis;	astaxanthin dirhamnoside biosynthesis;
PWY-66	GDP-Sugar-Biosynthesis;	GDP-L-fucose biosynthesis I (from GDP-D-mannose);
PWY-7638	C40-Carotenoids-Biosynthesis;	echinenone and zeaxanthin biosynthesis (<i>Synechocystis</i>);
PWY-5862	Demethylmenaquinone-Biosynthesis; Super-Pathways;	superpathway of demethylmenaquinol-9 biosynthesis;
PWY-5945	C40-Carotenoids-Biosynthesis; Interconversion;	violaxanthin, antheraxanthin and zeaxanthin interconversion;
PWY-6932	Selenium-Metabolism;	selenate reduction;
PWY-7290	O-Antigen-Biosynthesis;	<i>Escherichia coli</i> serotype O86 <i>O</i>-antigen biosynthesis;
PWY-5482	Pyruvate-Acetate-Fermentation;	pyruvate fermentation to acetate II;
PWY-7947	C40-Carotenoids-Biosynthesis;	flexixanthin biosynthesis;
PWY-7679	ANTHOCYANIN-SYN; Metabolic-Clusters;	anthocyanidin acylglucoside and acylsambubioside biosynthesis;
PWY-6318	PHENYLALANINE-DEG;	L-phenylalanine degradation IV (mammalian, via side chain);
PWY-5063	Phytyl-Diphosphate-Biosynthesis;	phytyl diphosphate biosynthesis;
PWY-7483	Antibiotic-Biosynthesis;	elloramycin biosynthesis;
PWY-6279	C40-Carotenoids-Biosynthesis;	myxol-2' fucoside biosynthesis;
PWY-6922	L-Ornithine-Biosynthesis;	L-<i>N<sup>&delta;</sup></i>-acetylornithine biosynthesis;
PWY-861	CYANOGENIC-GLUCOSIDE-SYN;	dhurrin biosynthesis;
PWY-6287	C40-Carotenoids-Biosynthesis;	neurosporene biosynthesis;
PWY-5813	MONOTERPENOID-SYN;	bornyl diphosphate biosynthesis;
PWY-5155	Beta-Alanine-Biosynthesis;	&beta;-alanine biosynthesis III;
PWY-6935	Seleno-Amino-Acid-Detoxification;	seleno-amino acid detoxification and volatilization II;
CAROTENOID-PWY	C40-Carotenoids-Biosynthesis; Super-Pathways;	superpathway of carotenoid biosynthesis in plants;
PWY-6931	Seleno-Amino-Acid-Detoxification;	seleno-amino acid detoxification and volatilization I;
PWY-5537	Pyruvate-Acetate-Fermentation; Super-Pathways;	pyruvate fermentation to acetate V;
HEME-BIOSYNTHESIS-II	Heme-b-Biosynthesis;	heme <i>b</i> biosynthesis I (aerobic);
PWY-6809	C40-Carotenoids-Biosynthesis;	neoxanthin biosynthesis;
PWY-7256	ANTHOCYANIN-SYN;	cyanidin diglucoside biosynthesis (acyl-glucose dependent);
PWY-5370	Carbon-tetrachloride-degradation;	carbon tetrachloride degradation I;
PWY-5038	Caffeine-Biosynthesis;	caffeine biosynthesis II (via paraxanthine);
PWY-5288	C40-Carotenoids-Biosynthesis;	astaxanthin biosynthesis (bacteria, fungi, algae);
PWY-6933	Seleno-Amino-Acid-Detoxification;	seleno-amino acid detoxification and volatilization III;
PWY-7610	GDP-Sugar-Biosynthesis;	GDP-6-deoxy-D-<i>altro</i>-heptose biosynthesis;
PWY-7591	C40-Carotenoids-Biosynthesis;	okenone biosynthesis;
KDOSYN-PWY	KDO-Lipid-IV-Transfer;	Kdo transfer to lipid IV<sub>A</sub> I;
PWY-5944	C40-Carotenoids-Biosynthesis;	zeaxanthin biosynthesis;
PWY-7905	O-Antigen-Biosynthesis;	<i>Escherichia coli</i> serotype O9a <i>O</i>-antigen biosynthesis;
PWY-5768	Pyruvate-Acetate-Fermentation;	pyruvate fermentation to acetate VIII;
PWY-7637	C40-Carotenoids-Biosynthesis; Metabolic-Clusters;	2,2'-dihydroxyketocarotenoids biosynthesis;
PWY-5139	ANTHOCYANIN-SYN;	pelargonidin conjugates biosynthesis;
PWY-5079	PHENYLALANINE-DEG;	L-phenylalanine degradation III;
PWY-7485	Antibiotic-Biosynthesis;	tetracenomycin C biosynthesis;
PWY-7940	C40-Carotenoids-Biosynthesis;	lauryl-hydroxychlorobactene glucoside biosynthesis;
PWY-5990	CYANOGENIC-GLUCOSIDE-SYN;	lotaustralin biosynthesis;
PWY-5947	C40-Carotenoids-Biosynthesis;	lutein biosynthesis;
PWY-3982	Beta-Alanine-Biosynthesis; Uracil-Degradation;	uracil degradation I (reductive);
PWY-7950	C40-Carotenoids-Biosynthesis;	diadinoxanthin and fucoxanthin biosynthesis;
P142-PWY	Pyruvate-Acetate-Fermentation; Super-Pathways;	pyruvate fermentation to acetate I;
PWY-5920	Heme-b-Biosynthesis; Super-Pathways;	superpathway of <i>b</i> heme biosynthesis from glycine;
PWY-6286	C40-Carotenoids-Biosynthesis;	spheroidene and spheroidenone biosynthesis;
PWY-7782	Phospholipid-Biosynthesis;	plasmalogen biosynthesis;
PWY-7261	ANTHOCYANIN-SYN; Metabolic-Clusters;	anthocyanidin 3-malylglucoside biosynthesis (acyl-glucose dependent);
PWY-6581	C40-Carotenoids-Biosynthesis;	spirilloxanthin and 2,2'-diketo-spirilloxanthin biosynthesis;
PWY-5659	GDP-Sugar-Biosynthesis;	GDP-mannose biosynthesis;
