#Compounds	Process/Gene type	Gene	ID	Hmm database	Cutoff Score
Oxygen	Cytochrome c oxidase, cbb3-type	ccoP	TIGR00782	TIGRfam	54
Oxygen	Cytochrome (quinone) oxidase, bo type	CyoA	TIGR01433	TIGRfam	218
Oxygen	Cytochrome (quinone) oxidase, bo type	CyoD	TIGR02847	TIGRfam	64
Oxygen	Cytochrome (quinone) oxidase, bo type	CyoE	TIGR01473	TIGRfam	138
Oxygen	Cytochrome (quinone) oxidase, bd type	CydA	PF01654	Pfam	118
Oxygen	Cytochrome (quinone) oxidase, bd type	CydB	TIGR00203	TIGRfam	88
Oxygen	Cytochrome (quinone) oxidase, aa3 type, QoxABCD	QoxA	TIGR01432	TIGRfam	204
Oxygen	Cytochrome (quinone) oxidase, aa3 type, QoxABCD	QoxB	TIGR02882	TIGRfam	954
C1 compounds	Methanol oxidation	pqq EC 1.1.2.7	pqq_xoxF_mxaF_alignment	Custom	166
C1 compounds	Methanol oxidation	NDMA-dependent methanol dehydrogenase EC 1.1.1.244	TIGR04266	TIGRfam	400
C1 compounds	Methyl amine -> formaldehyde	madA	TIGR02659	TIGRfam	85
C1 compounds	Methyl amine -> formaldehyde	madB	TIGR02658	TIGRfam	90
C1 compounds	Formaldehyde oxidation	fdh thiol-independent type	TIGR02819	TIGRfam	425
C1 compounds	Formaldehyde oxidation	S-formylglutathione hydrolase	TIGR02821	TIGRfam	131
C1 compounds	Formaldehyde oxidation	S-(hydroxymethyl)glutathione dehydrogenase	TIGR02818	TIGRfam	509
C1 compounds	Formaldehyde oxidation	S-(hydroxymethyl)mycothiol dehydrogenase	TIGR03451	TIGRfam	512
C1 compounds	Formaldehyde oxidation	fae	TIGR03126	TIGRfam	31
C1 compounds	Formaldehyde oxidation	Formylmethanofuran:tetrahyromethanopterin formyltransferase	TIGR03119	TIGRfam	94
C1 compounds	Formaldehyde oxidation	methenyltetrahydromethanopterin cyclohydrolase	TIGR03120	TIGRfam	147
C1 compounds	Formate oxidation	formate dehydrogenase, alpha subunit	TIGR01591	TIGRfam	610
C1 compounds	Formate oxidation	formate dehydrogenase, beta subunit	TIGR01582	TIGRfam	152
C1 compounds	Formate oxidation	formate dehydrogenase, gamma subunit	TIGR01583	TIGRfam	56
Carbon monoxide	CO oxidation	coxS	coxS_alignment	Custom	198
Carbon monoxide	CO oxidation	coxM	coxM_alignment	Custom	184
Carbon monoxide	CO oxidation	coxL	TIGR02416	TIGRfam	300
Carbon fixation	CBB cycle - Rubisco	Form I	rubisco_form_I_alignment	Custom	500
Carbon fixation	CBB cycle - Rubisco	Form II	rubisco_form_II_alignment	Custom	500
Carbon fixation	CBB cycle - Rubisco	Form II/III	rubisco_form_II_III_alignment	Custom	500
Carbon fixation	CBB cycle - Rubisco	Form III	rubisco_form_III_alignment	Custom	450
Carbon fixation	CBB cycle - Rubisco	Form IV	rubisco_form_IV_alignment	Custom	437
Carbon fixation	Wood Ljungdahl pathway	codhD (delta)	TIGR00381	TIGRfam	197
Carbon fixation	Wood Ljungdahl pathway	codhC (beta)	TIGR00316	TIGRfam	355
Carbon fixation	Wood Ljungdahl pathway	codh (catalytic)	TIGR01702	TIGRfam	210
Carbon fixation	Reverse TCA cycle	aclA	aclA_alignment	Custom	215
Carbon fixation	Reverse TCA cycle	aclB	aclB_alignment	Custom	177
Urea	Urease	ureC	TIGR01792	TIGRfam	212
Urea	Urease	ureB	TIGR00192	TIGRfam	40
Urea	Urease	ureA	TIGR00193	TIGRfam	31
Halogenated compounds	Halogenated compounds breakdown	Haloacid dehydrogenase	TIGR01428	TIGRfam	72
Halogenated compounds	Halogenated compounds breakdown	Reductive dehalogenase	TIGR02486	TIGRfam	132
Halogenated compounds	Perchlorate reduction	pcrA	TIGR03479	TIGRfam	559
Halogenated compounds	Perchlorate reduction	pcrB	TIGR03478	TIGRfam	319
Halogenated compounds	Chlorite reduction	Chlorite dismutase	PF06778	Pfam	65
Arsenic	Arsenite oxidation	arsenite oxidase small	TIGR02694	TIGRfam	61
Arsenic	Arsenite oxidation	arsenite oxidase large	TIGR02693	TIGRfam	357
Arsenic	Arsenate reduction	arsC	TIGR00014	TIGRfam	61
Arsenic	Arsenate reduction	thioredoxin	TIGR02691	TIGRfam	112
Arsenic	Arsenate reduction	glutathione/glutaredoxin type	TIGR02689	TIGRfam	113
Selenium	Selenate reduction	ygfM	TIGR03312	TIGRfam	87
Selenium	Selenate reduction	molybdenum-binding subunit	TIGR03313	TIGRfam	526
Selenium	Selenate reduction	YgfK	TIGR03315	TIGRfam	354
Nitriles	Nitrile hydratase	nthA	TIGR01323	TIGRfam	239
Nitriles	Nitrile hydratase	nthB	TIGR03888	TIGRfam	136
Metals	Metal (Iron/Manganese) oxidation/reduction	mtrA	TIGR03507	TIGRfam	60
Metals	Metal (Iron/Manganese) oxidation/reduction	mtrC	TIGR03509	TIGRfam	165
