#GO_id	Name	Count	Count_pct	Abund	Abund_pct	Abund_DLM2	Abund_pct_DLM2	Abund_GEM2	Abund_pct_GEM2	Abund_LCM1	Abund_pct_LCM1	Abund_PLM2	Abund_pct_PLM2
GO:0018339	"peptidyl-L-beta-methylthioaspartic acid biosynthetic process from peptidyl-aspartic acid"	3	0.03	98.36	0.01	7.20	0.01	1.05	0.00	86.63	0.01	3.48	0.00
GO:0071949	"FAD binding"	49	0.47	4395.54	0.28	322.80	0.25	644.29	0.30	2554.75	0.28	873.70	0.29
GO:0015630	"microtubule cytoskeleton"	1	0.01	59.41	0.00	0.00	0.00	0.12	0.00	59.27	0.01	0.02	0.00
GO:0033512	"L-lysine catabolic process to acetyl-CoA via saccharopine"	1	0.01	54.97	0.00	0.04	0.00	0.13	0.00	54.73	0.01	0.07	0.00
GO:0006183	"GTP biosynthetic process"	4	0.04	223.16	0.01	34.25	0.03	0.96	0.00	186.86	0.02	1.09	0.00
GO:0051775	"response to redox state"	1	0.01	13.13	0.00	0.00	0.00	0.02	0.00	11.70	0.00	1.41	0.00
GO:0036108	"4-amino-4-deoxy-alpha-L-arabinopyranosyl undecaprenyl phosphate biosynthetic process"	1	0.01	41.89	0.00	1.18	0.00	0.06	0.00	40.37	0.00	0.28	0.00
GO:0010348	"lithium:proton antiporter activity"	1	0.01	1814.06	0.12	325.55	0.25	585.16	0.27	14.02	0.00	889.33	0.29
GO:0009168	"purine ribonucleoside monophosphate biosynthetic process"	1	0.01	37.23	0.00	0.91	0.00	0.06	0.00	36.09	0.00	0.18	0.00
GO:0045127	"N-acetylglucosamine kinase activity"	2	0.02	39.74	0.00	0.14	0.00	0.36	0.00	37.85	0.00	1.39	0.00
GO:0008080	"N-acetyltransferase activity"	5	0.05	191.23	0.01	2.50	0.00	16.41	0.01	169.95	0.02	2.37	0.00
GO:0016226	"iron-sulfur cluster assembly"	20	0.19	1534.25	0.10	11.00	0.01	21.05	0.01	1494.25	0.16	7.95	0.00
GO:0070509	"calcium ion import"	2	0.02	83.29	0.01	7.47	0.01	0.23	0.00	75.36	0.01	0.23	0.00
GO:0047484	"regulation of response to osmotic stress"	1	0.01	13.15	0.00	0.26	0.00	0.00	0.00	12.83	0.00	0.06	0.00
GO:0097173	"N-acetylmuramic acid catabolic process"	1	0.01	204.63	0.01	0.01	0.00	0.65	0.00	203.32	0.02	0.64	0.00
GO:0004016	"adenylate cyclase activity"	1	0.01	37.23	0.00	0.91	0.00	0.06	0.00	36.09	0.00	0.18	0.00
GO:0006120	"mitochondrial electron transport, NADH to ubiquinone"	5	0.05	396.46	0.03	1.84	0.00	1.22	0.00	390.62	0.04	2.78	0.00
GO:0004748	"ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor"	3	0.03	111.12	0.01	0.00	0.00	0.13	0.00	110.96	0.01	0.03	0.00
GO:0009772	"photosynthetic electron transport in photosystem II"	2	0.02	1886.11	0.12	325.55	0.25	585.19	0.27	86.03	0.01	889.34	0.29
GO:0006562	"proline catabolic process"	1	0.01	209.74	0.01	0.01	0.00	0.50	0.00	208.87	0.02	0.36	0.00
GO:0003917	"DNA topoisomerase type I activity"	3	0.03	374.47	0.02	15.73	0.01	0.59	0.00	357.23	0.04	0.92	0.00
GO:0004075	"biotin carboxylase activity"	5	0.05	210.23	0.01	10.98	0.01	16.62	0.01	178.52	0.02	4.11	0.00
GO:0035527	"3-hydroxypropionate dehydrogenase (NADP+) activity"	2	0.02	1827.55	0.12	325.55	0.25	585.17	0.27	25.97	0.00	890.86	0.29
GO:0015616	"DNA translocase activity"	1	0.01	13.92	0.00	0.00	0.00	0.00	0.00	13.92	0.00	0.00	0.00
GO:0008425	"2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity"	3	0.03	284.34	0.02	0.03	0.00	4.18	0.00	279.00	0.03	1.13	0.00
GO:0009617	"response to bacterium"	2	0.02	66.35	0.00	0.78	0.00	0.32	0.00	64.97	0.01	0.28	0.00
GO:0044036	"cell wall macromolecule metabolic process"	1	0.01	13.15	0.00	0.26	0.00	0.00	0.00	12.83	0.00	0.06	0.00
GO:0034545	"fumarylpyruvate hydrolase activity"	1	0.01	30.93	0.00	0.03	0.00	3.52	0.00	26.54	0.00	0.84	0.00
GO:0042803	"protein homodimerization activity"	37	0.36	1898.90	0.12	21.57	0.02	57.31	0.03	1794.87	0.20	25.15	0.01
GO:0003983	"UTP:glucose-1-phosphate uridylyltransferase activity"	4	0.04	163.55	0.01	2.79	0.00	20.13	0.01	137.44	0.01	3.19	0.00
GO:0008690	"3-deoxy-manno-octulosonate cytidylyltransferase activity"	2	0.02	235.69	0.02	0.01	0.00	0.42	0.00	234.93	0.03	0.33	0.00
GO:0051087	"chaperone binding"	3	0.03	144.81	0.01	2.39	0.00	3.53	0.00	137.96	0.02	0.92	0.00
GO:0004802	"transketolase activity"	6	0.06	1915.98	0.12	308.96	0.24	564.15	0.26	189.35	0.02	853.52	0.28
GO:0046688	"response to copper ion"	4	0.04	166.76	0.01	0.10	0.00	0.23	0.00	164.83	0.02	1.60	0.00
GO:0050385	"ureidoglycolate lyase activity"	3	0.03	291.94	0.02	0.01	0.00	0.41	0.00	291.15	0.03	0.37	0.00
GO:0071916	"dipeptide transmembrane transporter activity"	1	0.01	215.66	0.01	0.02	0.00	0.52	0.00	214.71	0.02	0.41	0.00
GO:0043822	"ribonuclease M5 activity"	1	0.01	50.21	0.00	2.37	0.00	0.01	0.00	47.79	0.01	0.04	0.00
GO:0016151	"nickel cation binding"	14	0.13	3332.39	0.21	298.94	0.23	567.31	0.26	1610.45	0.18	855.70	0.28
GO:1900751	"4-(trimethylammonio)butanoate transport"	1	0.01	105.89	0.01	7.76	0.01	0.08	0.00	97.75	0.01	0.29	0.00
GO:0004588	"orotate phosphoribosyltransferase activity"	2	0.02	76.04	0.00	19.65	0.02	2.61	0.00	48.20	0.01	5.57	0.00
GO:0008773	"[protein-PII] uridylyltransferase activity"	4	0.04	590.24	0.04	16.16	0.01	92.54	0.04	435.91	0.05	45.63	0.02
GO:0008763	"UDP-N-acetylmuramate-L-alanine ligase activity"	5	0.05	307.64	0.02	3.56	0.00	3.84	0.00	298.81	0.03	1.44	0.00
GO:0001887	"selenium compound metabolic process"	1	0.01	12.82	0.00	0.00	0.00	0.02	0.00	11.46	0.00	1.33	0.00
GO:0016722	"oxidoreductase activity, oxidizing metal ions"	1	0.01	13.70	0.00	0.20	0.00	0.00	0.00	13.45	0.00	0.04	0.00
GO:0008976	"polyphosphate kinase activity"	10	0.10	2178.22	0.14	328.54	0.26	592.75	0.28	365.67	0.04	891.26	0.29
GO:0047942	"glutamate-ethylamine ligase activity"	1	0.01	91.39	0.01	0.33	0.00	0.61	0.00	90.02	0.01	0.43	0.00
GO:0048473	"D-methionine transport"	3	0.03	80.56	0.01	2.26	0.00	0.00	0.00	78.24	0.01	0.05	0.00
GO:0001934	"positive regulation of protein phosphorylation"	1	0.01	13.92	0.00	0.00	0.00	0.00	0.00	13.92	0.00	0.00	0.00
GO:0008655	"pyrimidine-containing compound salvage"	2	0.02	64.01	0.00	0.13	0.00	0.10	0.00	63.69	0.01	0.10	0.00
GO:0000036	"acyl carrier activity"	5	0.05	1891.59	0.12	303.29	0.24	564.25	0.26	170.69	0.02	853.36	0.28
GO:0036422	"heptaprenyl diphosphate synthase activity"	2	0.02	99.72	0.01	8.13	0.01	0.07	0.00	89.87	0.01	1.66	0.00
GO:0034775	"glutathione transmembrane transport"	4	0.04	161.28	0.01	0.00	0.00	0.23	0.00	160.95	0.02	0.10	0.00
GO:0009427	"bacterial-type flagellum basal body, distal rod, L ring"	3	0.03	255.21	0.02	0.01	0.00	0.40	0.00	254.46	0.03	0.34	0.00
GO:0010431	"seed maturation"	1	0.01	25.00	0.00	0.05	0.00	3.18	0.00	21.08	0.00	0.69	0.00
GO:0018578	"protocatechuate 3,4-dioxygenase activity"	2	0.02	51.26	0.00	0.04	0.00	6.69	0.00	43.02	0.00	1.51	0.00
GO:0015415	"ATPase-coupled phosphate ion transmembrane transporter activity"	5	0.05	255.44	0.02	0.12	0.00	0.22	0.00	253.39	0.03	1.71	0.00
GO:0019787	"ubiquitin-like protein transferase activity"	1	0.01	50.96	0.00	4.85	0.00	3.43	0.00	42.25	0.00	0.43	0.00
GO:0036009	"protein-glutamine N-methyltransferase activity"	4	0.04	132.76	0.01	0.00	0.00	0.14	0.00	131.17	0.01	1.44	0.00
GO:0009013	"succinate-semialdehyde dehydrogenase [NAD(P)+] activity"	5	0.05	554.96	0.04	0.91	0.00	4.71	0.00	547.42	0.06	1.92	0.00
GO:0009706	"chloroplast inner membrane"	5	0.05	1895.26	0.12	298.41	0.23	564.04	0.26	179.65	0.02	853.16	0.28
GO:0005506	"iron ion binding"	59	0.57	6685.61	0.43	368.72	0.29	649.08	0.30	4704.09	0.51	963.73	0.32
GO:0007399	"nervous system development"	2	0.02	102.58	0.01	0.91	0.00	0.41	0.00	100.03	0.01	1.22	0.00
GO:0000272	"polysaccharide catabolic process"	1	0.01	27.87	0.00	10.00	0.01	1.26	0.00	13.88	0.00	2.73	0.00
GO:0033856	"pyridoxine 5'-phosphate synthase activity"	2	0.02	68.60	0.00	0.03	0.00	0.10	0.00	67.07	0.01	1.40	0.00
GO:0086046	"membrane depolarization during SA node cell action potential"	2	0.02	83.29	0.01	7.47	0.01	0.23	0.00	75.36	0.01	0.23	0.00
GO:0016002	"sulfite reductase activity"	1	0.01	72.80	0.00	0.00	0.00	0.01	0.00	72.76	0.01	0.02	0.00
GO:0103045	"methione N-acyltransferase activity"	5	0.05	458.16	0.03	14.13	0.01	6.25	0.00	434.30	0.05	3.48	0.00
GO:0008889	"glycerophosphodiester phosphodiesterase activity"	3	0.03	76.90	0.00	8.37	0.01	1.00	0.00	65.17	0.01	2.35	0.00
GO:0031305	"integral component of mitochondrial inner membrane"	1	0.01	13.73	0.00	0.00	0.00	0.01	0.00	12.06	0.00	1.66	0.00
GO:0071702	"organic substance transport"	3	0.03	427.73	0.03	0.03	0.00	4.49	0.00	421.77	0.05	1.44	0.00
GO:0047472	"3-carboxy-cis,cis-muconate cycloisomerase activity"	2	0.02	58.27	0.00	0.03	0.00	3.88	0.00	53.54	0.01	0.82	0.00
GO:0008663	"2',3'-cyclic-nucleotide 2'-phosphodiesterase activity"	6	0.06	419.77	0.03	20.15	0.02	8.92	0.00	385.44	0.04	5.27	0.00
GO:0015937	"coenzyme A biosynthetic process"	18	0.17	1140.48	0.07	44.87	0.03	13.59	0.01	1071.44	0.12	10.58	0.00
GO:0000302	"response to reactive oxygen species"	4	0.04	177.85	0.01	7.48	0.01	0.27	0.00	169.86	0.02	0.25	0.00
GO:0006069	"ethanol oxidation"	2	0.02	89.75	0.01	0.03	0.00	4.07	0.00	84.75	0.01	0.90	0.00
GO:0050992	"dimethylallyl diphosphate biosynthetic process"	5	0.05	2028.83	0.13	298.47	0.23	567.63	0.26	306.87	0.03	855.86	0.28
GO:0004000	"adenosine deaminase activity"	1	0.01	37.23	0.00	0.91	0.00	0.06	0.00	36.09	0.00	0.18	0.00
GO:0045727	"positive regulation of translation"	5	0.05	292.10	0.02	3.06	0.00	1.33	0.00	285.44	0.03	2.29	0.00
GO:0003844	"1,4-alpha-glucan branching enzyme activity"	4	0.04	249.05	0.02	1.80	0.00	17.26	0.01	226.89	0.02	3.09	0.00
GO:0010196	"nonphotochemical quenching"	1	0.01	195.59	0.01	0.01	0.00	0.42	0.00	194.83	0.02	0.33	0.00
GO:0019343	"cysteine biosynthetic process via cystathionine"	6	0.06	123.19	0.01	2.00	0.00	0.54	0.00	117.30	0.01	3.35	0.00
GO:0016881	"acid-amino acid ligase activity"	5	0.05	75.80	0.00	0.51	0.00	0.03	0.00	72.20	0.01	3.06	0.00
GO:0045493	"xylan catabolic process"	1	0.01	49.69	0.00	2.47	0.00	0.00	0.00	47.19	0.01	0.04	0.00
GO:0097708	"intracellular vesicle"	1	0.01	1814.06	0.12	325.55	0.25	585.16	0.27	14.02	0.00	889.33	0.29
GO:0004636	"phosphoribosyl-ATP diphosphatase activity"	1	0.01	72.38	0.00	0.00	0.00	0.02	0.00	72.33	0.01	0.03	0.00
GO:0016208	"AMP binding"	3	0.03	235.71	0.02	0.01	0.00	0.54	0.00	232.08	0.03	3.08	0.00
GO:0035514	"DNA demethylase activity"	1	0.01	21.24	0.00	0.00	0.00	0.00	0.00	21.23	0.00	0.00	0.00
GO:0006227	"dUDP biosynthetic process"	1	0.01	76.88	0.00	20.85	0.02	18.93	0.01	19.94	0.00	17.16	0.01
GO:0019941	"modification-dependent protein catabolic process"	3	0.03	152.88	0.01	14.55	0.01	10.28	0.00	126.76	0.01	1.28	0.00
GO:0018577	"catechol 2,3-dioxygenase activity"	1	0.01	42.19	0.00	2.26	0.00	0.00	0.00	39.89	0.00	0.03	0.00
GO:0004024	"alcohol dehydrogenase activity, zinc-dependent"	1	0.01	61.15	0.00	0.00	0.00	0.15	0.00	60.99	0.01	0.01	0.00
GO:0032263	"GMP salvage"	1	0.01	21.31	0.00	0.00	0.00	0.00	0.00	21.31	0.00	0.01	0.00
GO:0051537	"2 iron, 2 sulfur cluster binding"	33	0.32	4199.27	0.27	312.78	0.24	593.10	0.28	2425.66	0.26	867.72	0.29
GO:0003960	"NADPH:quinone reductase activity"	4	0.04	325.19	0.02	0.37	0.00	4.96	0.00	316.80	0.03	3.06	0.00
GO:0045824	"negative regulation of innate immune response"	2	0.02	58.21	0.00	0.00	0.00	0.55	0.00	57.52	0.01	0.14	0.00
GO:0070062	"extracellular exosome"	4	0.04	53.77	0.00	0.52	0.00	0.30	0.00	49.96	0.01	3.00	0.00
GO:0006122	"mitochondrial electron transport, ubiquinol to cytochrome c"	3	0.03	983.90	0.06	0.27	0.00	0.43	0.00	982.64	0.11	0.55	0.00
GO:0005778	"peroxisomal membrane"	1	0.01	13.51	0.00	0.00	0.00	0.00	0.00	13.51	0.00	0.00	0.00
GO:0019629	"propionate catabolic process, 2-methylcitrate cycle"	5	0.05	235.18	0.02	0.00	0.00	0.74	0.00	234.27	0.03	0.16	0.00
GO:0008312	"7S RNA binding"	5	0.05	342.65	0.02	12.11	0.01	44.12	0.02	227.40	0.02	59.02	0.02
GO:0047545	"2-hydroxyglutarate dehydrogenase activity"	1	0.01	217.06	0.01	0.01	0.00	0.47	0.00	216.16	0.02	0.42	0.00
GO:0015501	"glutamate:sodium symporter activity"	2	0.02	55.10	0.00	2.48	0.00	0.01	0.00	52.54	0.01	0.08	0.00
GO:0010165	"response to X-ray"	1	0.01	54.97	0.00	0.04	0.00	0.13	0.00	54.73	0.01	0.07	0.00
GO:0015672	"monovalent inorganic cation transport"	4	0.04	258.85	0.02	0.27	0.00	4.10	0.00	251.59	0.03	2.89	0.00
GO:2000186	"negative regulation of phosphate transmembrane transport"	2	0.02	55.63	0.00	0.24	0.00	16.40	0.01	35.15	0.00	3.84	0.00
GO:0006857	"oligopeptide transport"	1	0.01	29.33	0.00	0.02	0.00	3.64	0.00	24.90	0.00	0.78	0.00
GO:0004414	"homoserine O-acetyltransferase activity"	3	0.03	279.24	0.02	0.12	0.00	0.68	0.00	277.94	0.03	0.49	0.00
GO:0030317	"flagellated sperm motility"	2	0.02	1886.23	0.12	325.55	0.25	585.18	0.27	86.16	0.01	889.33	0.29
GO:0006282	"regulation of DNA repair"	3	0.03	64.03	0.00	2.37	0.00	0.03	0.00	60.24	0.01	1.40	0.00
GO:0006590	"thyroid hormone generation"	2	0.02	72.15	0.00	0.25	0.00	0.12	0.00	71.61	0.01	0.16	0.00
GO:0006123	"mitochondrial electron transport, cytochrome c to oxygen"	2	0.02	983.60	0.06	0.03	0.00	0.52	0.00	982.48	0.11	0.57	0.00
GO:0042853	"L-alanine catabolic process"	2	0.02	204.61	0.01	0.21	0.00	0.45	0.00	203.51	0.02	0.44	0.00
GO:0031408	"oxylipin biosynthetic process"	2	0.02	95.85	0.01	0.12	0.00	0.13	0.00	95.45	0.01	0.14	0.00
GO:0009977	"proton motive force dependent protein transmembrane transporter activity"	2	0.02	192.63	0.01	8.24	0.01	0.11	0.00	183.97	0.02	0.31	0.00
GO:0043506	"regulation of JUN kinase activity"	1	0.01	13.76	0.00	0.27	0.00	0.03	0.00	13.32	0.00	0.15	0.00
GO:0010133	"proline catabolic process to glutamate"	4	0.04	304.72	0.02	0.01	0.00	0.63	0.00	302.16	0.03	1.92	0.00
GO:0008519	"ammonium transmembrane transporter activity"	3	0.03	177.37	0.01	7.89	0.01	3.68	0.00	164.77	0.02	1.03	0.00
GO:0006396	"RNA processing"	27	0.26	1725.03	0.11	79.96	0.06	60.86	0.03	1505.76	0.16	78.45	0.03
GO:0006082	"organic acid metabolic process"	4	0.04	205.85	0.01	12.39	0.01	0.09	0.00	193.00	0.02	0.37	0.00
GO:0000014	"single-stranded DNA endodeoxyribonuclease activity"	1	0.01	50.96	0.00	4.85	0.00	3.43	0.00	42.25	0.00	0.43	0.00
GO:0008309	"double-stranded DNA exodeoxyribonuclease activity"	1	0.01	221.14	0.01	0.01	0.00	0.48	0.00	220.28	0.02	0.38	0.00
GO:0018364	"peptidyl-glutamine methylation"	4	0.04	132.76	0.01	0.00	0.00	0.14	0.00	131.17	0.01	1.44	0.00
GO:0006742	"NADP catabolic process"	1	0.01	29.10	0.00	0.00	0.00	0.28	0.00	28.76	0.00	0.07	0.00
GO:0006598	"polyamine catabolic process"	2	0.02	95.75	0.01	7.86	0.01	0.06	0.00	87.58	0.01	0.25	0.00
GO:0017099	"very-long-chain-acyl-CoA dehydrogenase activity"	1	0.01	25.68	0.00	0.12	0.00	0.11	0.00	25.33	0.00	0.13	0.00
GO:0015112	"nitrate transmembrane transporter activity"	4	0.04	851.54	0.05	0.04	0.00	2.24	0.00	847.21	0.09	2.05	0.00
GO:0016120	"carotene biosynthetic process"	1	0.01	61.15	0.00	0.00	0.00	0.15	0.00	60.99	0.01	0.01	0.00
GO:0032194	"ubiquinone biosynthetic process via 3,4-dihydroxy-5-polyprenylbenzoate"	1	0.01	73.16	0.00	0.00	0.00	0.01	0.00	73.10	0.01	0.04	0.00
GO:0050667	"homocysteine metabolic process"	1	0.01	13.76	0.00	0.27	0.00	0.03	0.00	13.32	0.00	0.15	0.00
GO:0019477	"L-lysine catabolic process"	1	0.01	215.66	0.01	0.02	0.00	0.52	0.00	214.71	0.02	0.41	0.00
GO:2000470	"positive regulation of peroxidase activity"	1	0.01	13.57	0.00	0.23	0.00	0.01	0.00	13.23	0.00	0.10	0.00
GO:0004129	"cytochrome-c oxidase activity"	27	0.26	3208.09	0.20	49.95	0.04	25.88	0.01	3106.42	0.34	25.84	0.01
GO:0051781	"positive regulation of cell division"	1	0.01	13.15	0.00	0.00	0.00	0.02	0.00	11.75	0.00	1.38	0.00
GO:0016597	"amino acid binding"	10	0.10	976.07	0.06	84.12	0.07	386.10	0.18	412.95	0.04	92.90	0.03
GO:0008865	"fructokinase activity"	1	0.01	72.38	0.00	0.00	0.00	0.02	0.00	72.33	0.01	0.03	0.00
GO:0043107	"type IV pilus-dependent motility"	4	0.04	65.48	0.00	0.35	0.00	0.39	0.00	61.79	0.01	2.95	0.00
GO:0004633	"phosphopantothenoylcysteine decarboxylase activity"	3	0.03	107.66	0.01	3.25	0.00	3.58	0.00	99.70	0.01	1.12	0.00
GO:0046983	"protein dimerization activity"	21	0.20	2762.67	0.18	370.56	0.29	596.82	0.28	895.47	0.10	899.81	0.30
GO:0018786	"haloalkane dehalogenase activity"	1	0.01	12.91	0.00	0.21	0.00	0.00	0.00	12.65	0.00	0.04	0.00
GO:0008260	"3-oxoacid CoA-transferase activity"	2	0.02	434.12	0.03	0.02	0.00	0.95	0.00	432.31	0.05	0.84	0.00
GO:0050427	"3'-phosphoadenosine 5'-phosphosulfate metabolic process"	1	0.01	30.93	0.00	0.03	0.00	3.52	0.00	26.54	0.00	0.84	0.00
GO:0008691	"3-hydroxybutyryl-CoA dehydrogenase activity"	3	0.03	119.23	0.01	0.00	0.00	0.07	0.00	116.34	0.01	2.82	0.00
GO:0006817	"phosphate ion transport"	17	0.16	955.40	0.06	16.98	0.01	34.30	0.02	891.18	0.10	12.95	0.00
GO:0047004	"UDP-N-acetylglucosamine 6-dehydrogenase activity"	1	0.01	13.13	0.00	0.00	0.00	0.02	0.00	11.70	0.00	1.41	0.00
GO:0046373	"L-arabinose metabolic process"	1	0.01	40.10	0.00	0.00	0.00	0.00	0.00	40.10	0.00	0.00	0.00
GO:0010340	"carboxyl-O-methyltransferase activity"	2	0.02	116.90	0.01	0.30	0.00	16.62	0.01	97.66	0.01	2.32	0.00
GO:0015685	"ferric-enterobactin transport"	1	0.01	58.58	0.00	0.03	0.00	0.11	0.00	58.38	0.01	0.06	0.00
GO:0004042	"acetyl-CoA:L-glutamate N-acetyltransferase activity"	5	0.05	458.16	0.03	14.13	0.01	6.25	0.00	434.30	0.05	3.48	0.00
GO:0006353	"DNA-templated transcription, termination"	17	0.16	982.73	0.06	30.64	0.02	25.20	0.01	919.56	0.10	7.32	0.00
GO:0033735	"aspartate dehydrogenase activity"	1	0.01	29.10	0.00	0.00	0.00	0.28	0.00	28.76	0.00	0.07	0.00
GO:0070291	"N-acylethanolamine metabolic process"	1	0.01	13.76	0.00	0.27	0.00	0.03	0.00	13.32	0.00	0.15	0.00
GO:0003727	"single-stranded RNA binding"	2	0.02	255.86	0.02	0.00	0.00	0.52	0.00	254.97	0.03	0.37	0.00
GO:0008379	"thioredoxin peroxidase activity"	9	0.09	4155.37	0.27	646.17	0.50	1190.23	0.55	517.52	0.06	1801.45	0.59
GO:0016163	"nitrogenase activity"	6	0.06	434.29	0.03	0.03	0.00	0.23	0.00	433.91	0.05	0.12	0.00
GO:0042744	"hydrogen peroxide catabolic process"	5	0.05	2213.46	0.14	299.64	0.23	564.99	0.26	494.71	0.05	854.11	0.28
GO:0008915	"lipid-A-disaccharide synthase activity"	1	0.01	27.20	0.00	9.77	0.01	1.08	0.00	13.70	0.00	2.65	0.00
GO:0019379	"sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin)"	1	0.01	191.30	0.01	0.01	0.00	0.40	0.00	190.55	0.02	0.34	0.00
GO:0009235	"cobalamin metabolic process"	1	0.01	71.59	0.00	0.00	0.00	0.01	0.00	71.56	0.01	0.02	0.00
GO:0015893	"drug transport"	5	0.05	293.90	0.02	2.79	0.00	0.75	0.00	288.11	0.03	2.24	0.00
GO:0006072	"glycerol-3-phosphate metabolic process"	5	0.05	350.18	0.02	14.53	0.01	1.62	0.00	329.61	0.04	4.43	0.00
GO:0034077	"butanediol metabolic process"	1	0.01	76.78	0.00	0.00	0.00	0.18	0.00	76.50	0.01	0.10	0.00
GO:0008299	"isoprenoid biosynthetic process"	16	0.15	1007.21	0.06	31.02	0.02	51.70	0.02	860.02	0.09	64.47	0.02
GO:0010468	"regulation of gene expression"	6	0.06	579.44	0.04	0.26	0.00	17.76	0.01	558.26	0.06	3.15	0.00
GO:0009086	"methionine biosynthetic process"	15	0.14	650.94	0.04	27.44	0.02	6.40	0.00	610.46	0.07	6.64	0.00
GO:0019417	"sulfur oxidation"	2	0.02	222.89	0.01	0.27	0.00	0.50	0.00	221.70	0.02	0.42	0.00
GO:0018850	"chloromuconate cycloisomerase activity"	1	0.01	215.66	0.01	0.02	0.00	0.52	0.00	214.71	0.02	0.41	0.00
GO:0016979	"lipoate-protein ligase activity"	1	0.01	40.73	0.00	2.37	0.00	0.00	0.00	38.32	0.00	0.04	0.00
GO:0071705	"nitrogen compound transport"	9	0.09	472.29	0.03	14.74	0.01	4.88	0.00	449.11	0.05	3.56	0.00
GO:0050049	"leucine dehydrogenase activity"	8	0.08	335.79	0.02	20.53	0.02	1.64	0.00	309.08	0.03	4.53	0.00
GO:0016671	"oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor"	3	0.03	147.57	0.01	2.98	0.00	0.05	0.00	144.31	0.02	0.24	0.00
GO:0051903	"S-(hydroxymethyl)glutathione dehydrogenase activity"	3	0.03	131.65	0.01	1.22	0.00	4.13	0.00	125.12	0.01	1.18	0.00
GO:0004794	"L-threonine ammonia-lyase activity"	4	0.04	324.55	0.02	7.89	0.01	4.14	0.00	309.70	0.03	2.82	0.00
GO:0006265	"DNA topological change"	15	0.14	960.41	0.06	39.40	0.03	18.07	0.01	895.39	0.10	7.54	0.00
GO:0008919	"lipopolysaccharide glucosyltransferase I activity"	1	0.01	49.69	0.00	2.47	0.00	0.00	0.00	47.19	0.01	0.04	0.00
GO:0016324	"apical plasma membrane"	2	0.02	105.47	0.01	0.34	0.00	0.82	0.00	102.48	0.01	1.83	0.00
GO:0005743	"mitochondrial inner membrane"	18	0.17	4587.01	0.29	336.53	0.26	593.66	0.28	2756.88	0.30	899.95	0.30
GO:0006424	"glutamyl-tRNA aminoacylation"	6	0.06	124.84	0.01	8.67	0.01	0.64	0.00	114.67	0.01	0.86	0.00
