#Gene	Contig	Start	End	Gene_Length	Strand	Feature	Taxonomy
metaerg.pl|13559	NODE_7024_length_11821_cov_15.8983	133	246	114	1	bac_5SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales
metaerg.pl|13579	NODE_7123_length_11723_cov_10.4794	1	2425	2425	1	bac_23SrRNA	Bacteria;Verrucomicrobia;Verrucomicrobiae;Opitutales
metaerg.pl|13580	NODE_7123_length_11723_cov_10.4794	2568	2681	114	1	bac_5SrRNA	unknown
metaerg.pl|13594	NODE_7423_length_11433_cov_7.07954	1	331	331	-1	bac_16SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Marinobacteraceae
metaerg.pl|13615	NODE_7764_length_11107_cov_9.00317	9887	11106	1220	1	bac_16SrRNA	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae
metaerg.pl|13629	NODE_8378_length_10610_cov_55.2659	1	758	758	-1	bac_16SrRNA	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseinatronobacter
metaerg.pl|13654	NODE_8695_length_10344_cov_74.9999	8232	8344	113	1	bac_5SrRNA	unknown
metaerg.pl|13721	NODE_9371_length_9877_cov_14.9059	9763	9871	109	-1	bac_5SrRNA	unknown
metaerg.pl|13732	NODE_9422_length_9835_cov_30.6058	2	105	104	1	bac_5SrRNA	unknown
metaerg.pl|13743	NODE_9538_length_9758_cov_15.0609	1	757	757	-1	bac_16SrRNA	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Oceanicaulis
metaerg.pl|13760	NODE_9670_length_9671_cov_6.26726	1	310	310	1	arc_23SrRNA	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halococcaceae;Halalkalicoccus
metaerg.pl|13761	NODE_9670_length_9671_cov_6.26726	435	544	110	1	arc_5SrRNA	unknown
metaerg.pl|13776	NODE_9824_length_9576_cov_42.1984	854	2642	1789	1	euk_18SrRNA	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta
metaerg.pl|13805	NODE_9965_length_9506_cov_6.34631	9370	9482	113	-1	bac_5SrRNA	unknown
metaerg.pl|13832	NODE_10457_length_9218_cov_21.9996	4530	4642	113	-1	bac_5SrRNA	unknown
metaerg.pl|13833	NODE_10457_length_9218_cov_21.9996	4720	7652	2933	-1	bac_23SrRNA	unknown
metaerg.pl|13845	NODE_10513_length_9186_cov_19.3219	8393	9186	794	1	bac_16SrRNA	Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales
metaerg.pl|13846	NODE_11218_length_8808_cov_6.08923	387	499	113	1	bac_5SrRNA	unknown
metaerg.pl|13895	NODE_12902_length_8016_cov_4.94536	7503	7615	113	-1	bac_5SrRNA	unknown
metaerg.pl|13896	NODE_12902_length_8016_cov_4.94536	7693	8016	324	-1	bac_23SrRNA	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Cellulomonadaceae;Actinotalea
metaerg.pl|13910	NODE_13374_length_7822_cov_18.064	7412	7822	411	1	bac_16SrRNA	Bacteria;Firmicutes;Bacilli;Bacillales;Sporolactobacillaceae;Alkalicoccus
metaerg.pl|13927	NODE_13418_length_7802_cov_17.1113	6640	6751	112	-1	bac_5SrRNA	unknown
metaerg.pl|13928	NODE_13418_length_7802_cov_17.1113	6885	7800	916	-1	bac_23SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae
metaerg.pl|13931	NODE_13457_length_7789_cov_10.9072	1854	1961	108	1	arc_5SrRNA	unknown
metaerg.pl|13951	NODE_13787_length_7669_cov_45.9159	6912	7669	758	1	bac_16SrRNA	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseinatronobacter
metaerg.pl|13952	NODE_14028_length_7572_cov_51.0915	331	445	115	1	bac_5SrRNA	unknown
metaerg.pl|13979	NODE_16271_length_6854_cov_5.64465	6651	6854	204	-1	bac_16SrRNA	Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured
metaerg.pl|13980	NODE_16738_length_6714_cov_14.3748	1	83	83	1	bac_5SrRNA	unknown
metaerg.pl|13999	NODE_17223_length_6584_cov_4.82938	6111	6224	114	-1	bac_5SrRNA	unknown
metaerg.pl|14000	NODE_17223_length_6584_cov_4.82938	6360	6584	225	-1	bac_23SrRNA	Bacteria;Verrucomicrobia;Verrucomicrobiae;Opitutales
metaerg.pl|14002	NODE_17455_length_6523_cov_19.6105	708	2247	1540	1	bac_16SrRNA	Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae
metaerg.pl|14005	NODE_17455_length_6523_cov_19.6105	3206	6049	2844	1	bac_23SrRNA	Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales
metaerg.pl|14006	NODE_17455_length_6523_cov_19.6105	6365	6478	114	1	bac_5SrRNA	unknown
metaerg.pl|14007	NODE_17645_length_6475_cov_97.7509	1	2442	2442	1	euk_28SrRNA	Eukaryota;Opisthokonta;Nucletmycea
metaerg.pl|14009	NODE_17645_length_6475_cov_97.7509	5283	6475	1193	1	euk_18SrRNA	Eukaryota;Opisthokonta;Aphelidea;Paraphelidium
metaerg.pl|14011	NODE_18115_length_6357_cov_8.05236	1	911	911	-1	bac_23SrRNA	unknown
metaerg.pl|14021	NODE_18239_length_6329_cov_11.731	2704	2811	108	1	arc_5SrRNA	unknown
metaerg.pl|14054	NODE_20433_length_5879_cov_6.63187	5788	5875	88	-1	bac_5SrRNA	unknown
metaerg.pl|14064	NODE_20707_length_5828_cov_15.0095	5730	5828	99	-1	bac_5SrRNA	unknown
metaerg.pl|14074	NODE_20864_length_5797_cov_6.7837	5710	5797	88	-1	bac_5SrRNA	unknown
metaerg.pl|14084	NODE_23112_length_5400_cov_9.22413	1	1965	1965	-1	bac_23SrRNA	Bacteria;Bacteroidetes
metaerg.pl|14097	NODE_23925_length_5269_cov_25.0934	4969	5075	107	-1	arc_5SrRNA	unknown
metaerg.pl|14107	NODE_24022_length_5251_cov_13.7296	5173	5250	78	-1	bac_5SrRNA	unknown
metaerg.pl|14108	NODE_24884_length_5120_cov_28.7031	96	1565	1470	1	bac_16SrRNA	Bacteria;Patescibacteria;Gracilibacteria;JGI 0000069-P22
metaerg.pl|14110	NODE_24884_length_5120_cov_28.7031	1701	4629	2929	1	bac_23SrRNA	Bacteria;Patescibacteria;Gracilibacteria
metaerg.pl|14113	NODE_24884_length_5120_cov_28.7031	4729	4841	113	1	bac_5SrRNA	Bacteria;Firmicutes;Clostridia
metaerg.pl|14134	NODE_26316_length_4919_cov_9.44655	4805	4913	109	-1	bac_5SrRNA	unknown
metaerg.pl|14150	NODE_28370_length_4657_cov_7.85007	2037	2421	385	-1	euk_28SrRNA	unknown
metaerg.pl|14163	NODE_30291_length_4443_cov_5.2778	4266	4367	102	-1	bac_5SrRNA	unknown
metaerg.pl|14165	NODE_31975_length_4281_cov_4.98864	756	2250	1495	1	bac_16SrRNA	Bacteria;Patescibacteria;Parcubacteria;GWA2-38-13b
metaerg.pl|14168	NODE_34541_length_4056_cov_7.04949	414	521	108	1	bac_5SrRNA	Bacteria;Firmicutes;Clostridia
metaerg.pl|14169	NODE_34541_length_4056_cov_7.04949	659	767	109	1	bac_5SrRNA	unknown
metaerg.pl|14174	NODE_35162_length_4001_cov_7.72656	122	539	418	-1	euk_18SrRNA	Eukaryota;Archaeplastida
metaerg.pl|14185	NODE_36440_length_3904_cov_7.32996	3768	3881	114	-1	bac_5SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria
metaerg.pl|14192	NODE_39828_length_3661_cov_16.1819	2	259	258	1	bac_23SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Nitrincolaceae;Nitrincola
metaerg.pl|14193	NODE_39828_length_3661_cov_16.1819	429	542	114	1	bac_5SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria
metaerg.pl|14203	NODE_40224_length_3635_cov_43.6142	2879	3635	757	1	bac_16SrRNA	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobaculum
metaerg.pl|14205	NODE_40251_length_3633_cov_62.6951	197	300	104	-1	bac_5SrRNA	unknown
metaerg.pl|14206	NODE_40251_length_3633_cov_62.6951	555	3513	2959	-1	bac_23SrRNA	Bacteria;Chloroflexi;Chloroflexia
metaerg.pl|14214	NODE_41679_length_3541_cov_3.90591	3234	3347	114	-1	arc_5SrRNA	unknown
metaerg.pl|14223	NODE_42382_length_3495_cov_29.3927	2416	2529	114	-1	bac_5SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria
metaerg.pl|14224	NODE_42382_length_3495_cov_29.3927	2619	3494	876	-1	bac_23SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas
metaerg.pl|14228	NODE_42458_length_3491_cov_15.6278	2867	3491	625	-1	bac_16SrRNA	Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Trueperaceae;Truepera
metaerg.pl|14229	NODE_42953_length_3462_cov_116.084	2	2809	2808	1	bac_23SrRNA	Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales;Nostocaceae;Nodularia PCC-9350
metaerg.pl|14230	NODE_42953_length_3462_cov_116.084	2884	2996	113	1	bac_5SrRNA	unknown
metaerg.pl|14237	NODE_43994_length_3401_cov_9.28631	3298	3400	103	-1	bac_5SrRNA	unknown
metaerg.pl|14243	NODE_46096_length_3282_cov_9.59932	1	2274	2274	-1	bac_23SrRNA	unknown
metaerg.pl|14245	NODE_46096_length_3282_cov_9.59932	2402	2900	499	-1	bac_23SrRNA	unknown
metaerg.pl|14249	NODE_46234_length_3274_cov_29.9254	740	3274	2535	1	bac_23SrRNA	Bacteria;Bacteroidetes
metaerg.pl|14254	NODE_46925_length_3236_cov_13.1254	1508	1621	114	-1	bac_5SrRNA	unknown
metaerg.pl|14258	NODE_48116_length_3176_cov_29.3653	1	2563	2563	-1	bac_23SrRNA	unknown
metaerg.pl|14263	NODE_48151_length_3174_cov_57.8166	1	1194	1194	-1	euk_18SrRNA	Eukaryota;Archaeplastida;Chloroplastida;Charophyta
metaerg.pl|14279	NODE_49734_length_3098_cov_9.51068	1814	1926	113	-1	bac_5SrRNA	unknown
metaerg.pl|14280	NODE_49734_length_3098_cov_9.51068	2217	3098	882	-1	bac_23SrRNA	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae
metaerg.pl|14283	NODE_52064_length_2996_cov_104.465	1	1680	1680	-1	bac_23SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas
metaerg.pl|14286	NODE_52064_length_2996_cov_104.465	2371	2996	626	-1	bac_16SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Catenococcus
metaerg.pl|14288	NODE_53136_length_2953_cov_3.62353	28	726	699	-1	euk_28SrRNA	unknown
metaerg.pl|14289	NODE_53136_length_2953_cov_3.62353	1030	1100	71	-1	euk_5_8SrRNA	unknown
metaerg.pl|14290	NODE_53136_length_2953_cov_3.62353	1145	2831	1687	-1	euk_18SrRNA	unknown
metaerg.pl|14292	NODE_54537_length_2896_cov_22.4555	1	616	616	1	bac_16SrRNA	Bacteria;Gemmatimonadetes;Longimicrobia;Longimicrobiales
metaerg.pl|14293	NODE_54537_length_2896_cov_22.4555	848	2896	2049	1	bac_23SrRNA	Bacteria;Gemmatimonadetes
metaerg.pl|14297	NODE_55666_length_2851_cov_11.6406	865	979	115	-1	arc_5SrRNA	unknown
metaerg.pl|14298	NODE_55666_length_2851_cov_11.6406	1133	2851	1719	-1	arc_23SrRNA	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloferacaceae
metaerg.pl|14299	NODE_56948_length_2800_cov_140.857	1	623	623	1	bac_16SrRNA	Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Alkalibacterium
metaerg.pl|14300	NODE_56948_length_2800_cov_140.857	845	2800	1956	1	bac_23SrRNA	Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Alkalibacterium
metaerg.pl|14303	NODE_57108_length_2795_cov_12.965	841	2795	1955	1	bac_23SrRNA	Bacteria;Bacteroidetes
metaerg.pl|14304	NODE_58218_length_2755_cov_50.8648	167	274	108	1	bac_5SrRNA	unknown
metaerg.pl|14308	NODE_58216_length_2755_cov_96.41	2	2739	2738	1	bac_23SrRNA	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales
metaerg.pl|14313	NODE_58427_length_2748_cov_3.61975	2675	2748	74	-1	bac_5SrRNA	unknown
metaerg.pl|14320	NODE_61773_length_2631_cov_53.6002	1	1859	1859	1	bac_23SrRNA	Bacteria;Gemmatimonadetes
metaerg.pl|14323	NODE_61773_length_2631_cov_53.6002	1966	2077	112	1	bac_5SrRNA	unknown
metaerg.pl|14325	NODE_61823_length_2630_cov_5.79728	310	697	388	1	euk_28SrRNA	unknown
metaerg.pl|14330	NODE_63047_length_2592_cov_5.19748	122	2528	2407	1	bac_23SrRNA	unknown
metaerg.pl|14335	NODE_63383_length_2582_cov_3.80174	1824	1937	114	-1	bac_5SrRNA	Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast
metaerg.pl|14336	NODE_63383_length_2582_cov_3.80174	2170	2582	413	-1	bac_23SrRNA	Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast
metaerg.pl|14338	NODE_63959_length_2563_cov_10.26	690	2563	1874	1	euk_28SrRNA	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota
metaerg.pl|14341	NODE_64789_length_2538_cov_36.4342	1	477	477	-1	bac_16SrRNA	Bacteria;Actinobacteria;Nitriliruptoria;Nitriliruptorales;Nitriliruptoraceae
metaerg.pl|14345	NODE_66123_length_2498_cov_94.4433	1	364	364	-1	bac_16SrRNA	Bacteria;Cyanobacteria;Oxyphotobacteria;Phormidesmiales;Nodosilineaceae;Nodosilinea PCC-7104
metaerg.pl|14348	NODE_68985_length_2417_cov_16.6566	2	99	98	1	bac_5SrRNA	unknown
metaerg.pl|14351	NODE_69170_length_2412_cov_9.82902	3	534	532	-1	bac_16SrRNA	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Cryomorphaceae
metaerg.pl|14354	NODE_69703_length_2398_cov_11.2625	2057	2172	116	-1	bac_5SrRNA	unknown
metaerg.pl|14358	NODE_71468_length_2351_cov_7.0135	2068	2181	114	-1	bac_5SrRNA	unknown
metaerg.pl|14361	NODE_72586_length_2322_cov_10.9956	701	2166	1466	-1	bac_16SrRNA	Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales
metaerg.pl|14362	NODE_72782_length_2317_cov_82.286	1	1974	1974	-1	bac_23SrRNA	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales
metaerg.pl|14371	NODE_73552_length_2298_cov_102.479	1	1689	1689	-1	bac_23SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria;Ectothiorhodospirales;Ectothiorhodospiraceae;Thioalkalivibrio
metaerg.pl|14377	NODE_73978_length_2288_cov_133.946	1531	2288	758	1	bac_16SrRNA	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseinatronobacter
metaerg.pl|14379	NODE_74149_length_2284_cov_10.0157	1924	2026	103	-1	bac_5SrRNA	unknown
metaerg.pl|14380	NODE_74858_length_2267_cov_55.6343	1	768	768	1	bac_16SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Nitrincolaceae;Nitrincola
metaerg.pl|14384	NODE_74858_length_2267_cov_55.6343	1633	2267	635	1	bac_23SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Marinobacteraceae
metaerg.pl|14385	NODE_75834_length_2244_cov_9.05984	156	416	261	-1	euk_28SrRNA	Eukaryota;Archaeplastida
metaerg.pl|14394	NODE_76415_length_2231_cov_141.256	598	2230	1633	1	bac_23SrRNA	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Loktanella
metaerg.pl|14400	NODE_77087_length_2216_cov_3.66081	1608	2216	609	-1	bac_16SrRNA	Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast
metaerg.pl|14401	NODE_78119_length_2192_cov_29.5976	2	1433	1432	-1	bac_23SrRNA	Bacteria;Actinobacteria;Acidimicrobiia;Microtrichales;Microtrichaceae
metaerg.pl|14402	NODE_78119_length_2192_cov_29.5976	1687	2191	505	-1	bac_16SrRNA	Bacteria;Actinobacteria;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;uncultured
metaerg.pl|14404	NODE_79336_length_2164_cov_45.0308	1	1159	1159	-1	bac_16SrRNA	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae
metaerg.pl|14407	NODE_79486_length_2161_cov_91.7042	1	64	64	-1	bac_5SrRNA	unknown
metaerg.pl|14409	NODE_79486_length_2161_cov_91.7042	280	2161	1882	-1	bac_23SrRNA	Bacteria;Gemmatimonadetes;Gemmatimonadetes
metaerg.pl|14411	NODE_81670_length_2118_cov_116.979	1	1692	1692	1	bac_23SrRNA	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales
metaerg.pl|14414	NODE_81670_length_2118_cov_116.979	1882	1994	113	1	bac_5SrRNA	unknown
metaerg.pl|14416	NODE_83120_length_2089_cov_82.5295	1	935	935	-1	euk_28SrRNA	unknown
metaerg.pl|14418	NODE_83120_length_2089_cov_82.5295	1414	1557	144	-1	euk_5_8SrRNA	Eukaryota;Opisthokonta;Nucletmycea
metaerg.pl|14419	NODE_84116_length_2070_cov_66.3737	2	397	396	1	bac_23SrRNA	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobaca
metaerg.pl|14422	NODE_84116_length_2070_cov_66.3737	522	633	112	1	bac_5SrRNA	unknown
metaerg.pl|14429	NODE_85512_length_2043_cov_93.3913	319	1849	1531	1	bac_16SrRNA	unknown
metaerg.pl|14433	NODE_85819_length_2037_cov_50.3219	402	2037	1636	1	bac_23SrRNA	Bacteria;Cyanobacteria;Oxyphotobacteria
metaerg.pl|14434	NODE_86782_length_2019_cov_12.3915	1	843	843	-1	bac_23SrRNA	Bacteria;Bacteroidetes;Bacteroidia
metaerg.pl|14438	NODE_86782_length_2019_cov_12.3915	1419	2019	601	-1	bac_16SrRNA	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Cryomorphaceae
metaerg.pl|14439	NODE_88234_length_1992_cov_6.84047	231	345	115	1	bac_5SrRNA	unknown
metaerg.pl|14443	NODE_88383_length_1989_cov_120.406	1232	1989	758	1	bac_16SrRNA	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseinatronobacter
metaerg.pl|14444	NODE_88481_length_1988_cov_4.0119	1	1988	1988	-1	euk_28SrRNA	unknown
metaerg.pl|14446	NODE_89615_length_1968_cov_8.09723	1614	1967	354	1	bac_16SrRNA	Bacteria;Actinobacteria;Nitriliruptoria;Nitriliruptorales;Nitriliruptoraceae
metaerg.pl|14447	NODE_89813_length_1965_cov_4.45131	4	1525	1522	-1	bac_16SrRNA	Bacteria;Planctomycetes;Planctomycetacia;Isosphaerales;Isosphaeraceae
metaerg.pl|14451	NODE_90123_length_1959_cov_6.12973	1416	1959	544	1	bac_16SrRNA	Bacteria;Gemmatimonadetes;Longimicrobia;Longimicrobiales;Longimicrobiaceae
metaerg.pl|14453	NODE_90520_length_1952_cov_178.747	1	1952	1952	-1	bac_23SrRNA	Bacteria;Actinobacteria;Nitriliruptoria;Nitriliruptorales
metaerg.pl|14456	NODE_93653_length_1899_cov_24.4046	1623	1897	275	1	bac_16SrRNA	Bacteria;Actinobacteria;Nitriliruptoria;Nitriliruptorales;Nitriliruptoraceae
metaerg.pl|14457	NODE_93836_length_1896_cov_103.772	2	1896	1895	-1	euk_28SrRNA	Eukaryota;Archaeplastida
metaerg.pl|14459	NODE_94134_length_1892_cov_3.47578	1	1698	1698	1	euk_28SrRNA	unknown
metaerg.pl|14464	NODE_96694_length_1851_cov_5.56236	672	1851	1180	1	bac_23SrRNA	unknown
metaerg.pl|14470	NODE_99256_length_1811_cov_61.4208	1497	1811	315	1	bac_16SrRNA	Bacteria;Actinobacteria;Nitriliruptoria;Nitriliruptorales
metaerg.pl|14471	NODE_100199_length_1798_cov_17.8342	1	1797	1797	1	bac_23SrRNA	Bacteria;Verrucomicrobia;Verrucomicrobiae
metaerg.pl|14477	NODE_102484_length_1766_cov_4.72297	1	876	876	-1	euk_28SrRNA	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota
metaerg.pl|14478	NODE_102484_length_1766_cov_4.72297	1040	1192	153	-1	euk_5_8SrRNA	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina
metaerg.pl|14479	NODE_102484_length_1766_cov_4.72297	1387	1766	380	-1	euk_18SrRNA	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota
metaerg.pl|14480	NODE_103063_length_1757_cov_37.3425	1	563	563	-1	bac_23SrRNA	Bacteria;Proteobacteria;Alphaproteobacteria
metaerg.pl|14485	NODE_103810_length_1747_cov_6.68085	2	1343	1342	-1	bac_23SrRNA	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales
metaerg.pl|14486	NODE_104625_length_1736_cov_9.3599	3	763	761	-1	bac_23SrRNA	Bacteria;Verrucomicrobia;Verrucomicrobiae;Opitutales;Puniceicoccaceae;Coraliomargarita
metaerg.pl|14489	NODE_104625_length_1736_cov_9.3599	1493	1736	244	-1	bac_16SrRNA	Bacteria;Verrucomicrobia;Verrucomicrobiae;Opitutales;Puniceicoccaceae
metaerg.pl|14490	NODE_104774_length_1734_cov_26.8517	1	1210	1210	-1	bac_23SrRNA	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Demequinaceae
metaerg.pl|14491	NODE_104868_length_1733_cov_49.1603	2	1002	1001	-1	bac_16SrRNA	Bacteria;Gemmatimonadetes;BD2-11 terrestrial group
metaerg.pl|14495	NODE_105178_length_1729_cov_33.9146	119	1573	1455	-1	bac_16SrRNA	Bacteria;Patescibacteria;Parcubacteria;Candidatus Kaiserbacteria
metaerg.pl|14498	NODE_105506_length_1725_cov_36.9132	395	1724	1330	1	bac_23SrRNA	Bacteria;Bacteroidetes;Bacteroidia
metaerg.pl|14499	NODE_106036_length_1718_cov_59.1666	129	244	116	1	bac_5SrRNA	unknown
metaerg.pl|14504	NODE_106620_length_1710_cov_72.2876	888	1710	823	1	bac_16SrRNA	Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Alkalibacterium
metaerg.pl|14510	NODE_110792_length_1657_cov_14.4345	1	374	374	1	euk_18SrRNA	Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta
metaerg.pl|14511	NODE_110792_length_1657_cov_14.4345	691	843	153	1	euk_5_8SrRNA	Eukaryota;Opisthokonta;Nucletmycea;Fungi
metaerg.pl|14513	NODE_110792_length_1657_cov_14.4345	1207	1628	422	1	euk_28SrRNA	Eukaryota;Archaeplastida
metaerg.pl|14515	NODE_111472_length_1649_cov_12.5841	260	1648	1389	1	bac_23SrRNA	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales
metaerg.pl|14516	NODE_111676_length_1647_cov_12.5126	1	1224	1224	-1	bac_23SrRNA	Bacteria;Actinobacteria;Actinobacteria;Micrococcales
metaerg.pl|14521	NODE_113175_length_1629_cov_11.1887	1026	1629	604	1	bac_23SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales
metaerg.pl|14523	NODE_113366_length_1627_cov_4.48601	174	1626	1453	1	bac_23SrRNA	Bacteria;Actinobacteria;Nitriliruptoria
