#metacyc_pathway_id	metacyc_pathway_type	metacyc_pathway_name	total_family_in_pathway	total_family_found_in_pathway	ec	gene_num
PWY-5918	Heme-b-Biosynthesis; Super-Pathways;	superpathay of heme <i>b</i> biosynthesis from glutamate;	10	10	4.2.1.75	1
PWY-5918	Heme-b-Biosynthesis; Super-Pathways;	superpathay of heme <i>b</i> biosynthesis from glutamate;	10	10	4.99.1.1	2
PWY-5918	Heme-b-Biosynthesis; Super-Pathways;	superpathay of heme <i>b</i> biosynthesis from glutamate;	10	10	5.4.3.8	2
PWY-5918	Heme-b-Biosynthesis; Super-Pathways;	superpathay of heme <i>b</i> biosynthesis from glutamate;	10	10	6.1.1.17	4
PWY-5991	Super-Pathways;	superpathway of linamarin and lotaustralin biosynthesis;	2	1	1.14.13.-	3
P164-PWY	Fermentation; Purine-Degradation;	purine nucleobases degradation I (anaerobic);	11	7	1.17.1.4	1
P164-PWY	Fermentation; Purine-Degradation;	purine nucleobases degradation I (anaerobic);	11	7	1.2.1.2	3
P164-PWY	Fermentation; Purine-Degradation;	purine nucleobases degradation I (anaerobic);	11	7	2.7.2.1	4
P164-PWY	Fermentation; Purine-Degradation;	purine nucleobases degradation I (anaerobic);	11	7	3.5.2.-	3
P164-PWY	Fermentation; Purine-Degradation;	purine nucleobases degradation I (anaerobic);	11	7	3.5.4.3	1
P164-PWY	Fermentation; Purine-Degradation;	purine nucleobases degradation I (anaerobic);	11	7	3.5.4.9	3
P164-PWY	Fermentation; Purine-Degradation;	purine nucleobases degradation I (anaerobic);	11	7	6.3.4.3	2
PWY-1622	Formaldehyde-Assimilation;	formaldehyde assimilation I (serine pathway);	10	5	1.1.1.37	4
PWY-1622	Formaldehyde-Assimilation;	formaldehyde assimilation I (serine pathway);	10	5	2.1.2.1	2
PWY-1622	Formaldehyde-Assimilation;	formaldehyde assimilation I (serine pathway);	10	5	2.6.1.45	1
PWY-1622	Formaldehyde-Assimilation;	formaldehyde assimilation I (serine pathway);	10	5	4.1.1.31	1
PWY-1622	Formaldehyde-Assimilation;	formaldehyde assimilation I (serine pathway);	10	5	4.2.1.11	2
PWY-5184	Super-Pathways; TOLUENE-DEG;	toluene degradation VI (anaerobic);	12	6	1.1.1.-	1
PWY-5184	Super-Pathways; TOLUENE-DEG;	toluene degradation VI (anaerobic);	12	6	1.1.1.35	5
PWY-5184	Super-Pathways; TOLUENE-DEG;	toluene degradation VI (anaerobic);	12	6	2.3.1.-	2
PWY-5184	Super-Pathways; TOLUENE-DEG;	toluene degradation VI (anaerobic);	12	6	2.3.1.9	5
PWY-5184	Super-Pathways; TOLUENE-DEG;	toluene degradation VI (anaerobic);	12	6	3.7.1.-	1
PWY-5184	Super-Pathways; TOLUENE-DEG;	toluene degradation VI (anaerobic);	12	6	4.2.1.-	7
PWY-4801	POLYKETIDE-SYN;	aloesone biosynthesis I;	1	1	2.3.1.-	2
PWY-5766	GLUTAMATE-DEG;	L-glutamate degradation X;	1	1	1.4.1.3	3
PWY-6418	PHYTOALEXIN-SYN; POLYKETIDE-SYN;	4-hydroxycoumarin and dicoumarol biosynthesis;	1	1	2.3.1.-	2
PWY-6007	DMNT-Biosynthesis;	(3<i>E</i>)-4,8-dimethylnona-1,3,7-triene biosynthesis II;	1	1	4.2.1.-	7
PWY-5138	Fatty-Acid-Degradation;	unsaturated, even numbered fatty acid &beta;-oxidation;	5	4	4.2.1.119	1
PWY-5138	Fatty-Acid-Degradation;	unsaturated, even numbered fatty acid &beta;-oxidation;	5	4	4.2.1.17	1
PWY-5138	Fatty-Acid-Degradation;	unsaturated, even numbered fatty acid &beta;-oxidation;	5	4	5.1.2.3	5
PWY-5138	Fatty-Acid-Degradation;	unsaturated, even numbered fatty acid &beta;-oxidation;	5	4	5.3.3.8	1
RIBOSYN2-PWY	Flavin-Biosynthesis;	flavin biosynthesis I (bacteria and plants);	8	8	1.1.1.193	6
RIBOSYN2-PWY	Flavin-Biosynthesis;	flavin biosynthesis I (bacteria and plants);	8	8	2.5.1.78	5
RIBOSYN2-PWY	Flavin-Biosynthesis;	flavin biosynthesis I (bacteria and plants);	8	8	2.5.1.9	5
RIBOSYN2-PWY	Flavin-Biosynthesis;	flavin biosynthesis I (bacteria and plants);	8	8	2.7.1.26	3
RIBOSYN2-PWY	Flavin-Biosynthesis;	flavin biosynthesis I (bacteria and plants);	8	8	2.7.7.2	4
RIBOSYN2-PWY	Flavin-Biosynthesis;	flavin biosynthesis I (bacteria and plants);	8	8	3.5.4.25	6
RIBOSYN2-PWY	Flavin-Biosynthesis;	flavin biosynthesis I (bacteria and plants);	8	8	3.5.4.26	6
RIBOSYN2-PWY	Flavin-Biosynthesis;	flavin biosynthesis I (bacteria and plants);	8	8	4.1.99.12	5
PWY-5729	ISOFLAVONOID-SYN;	vestitol and sativan biosynthesis;	2	2	1.3.1.-	1
PWY-5729	ISOFLAVONOID-SYN;	vestitol and sativan biosynthesis;	2	2	2.1.1.-	3
PWY-6217	Chlorobenzoate-Degradation;	3,4-dichlorobenzoate degradation;	2	1	1.14.12.-	2
1CMET2-PWY	Folate-Biosynthesis;	<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis;	10	10	1.5.1.20	2
1CMET2-PWY	Folate-Biosynthesis;	<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis;	10	10	1.5.1.3	1
1CMET2-PWY	Folate-Biosynthesis;	<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis;	10	10	1.5.1.5	3
1CMET2-PWY	Folate-Biosynthesis;	<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis;	10	10	2.1.1.13	2
1CMET2-PWY	Folate-Biosynthesis;	<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis;	10	10	2.1.1.45	1
1CMET2-PWY	Folate-Biosynthesis;	<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis;	10	10	2.1.2.1	2
1CMET2-PWY	Folate-Biosynthesis;	<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis;	10	10	3.5.1.10	3
1CMET2-PWY	Folate-Biosynthesis;	<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis;	10	10	3.5.4.9	3
1CMET2-PWY	Folate-Biosynthesis;	<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis;	10	10	6.3.2.12	4
1CMET2-PWY	Folate-Biosynthesis;	<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis;	10	10	6.3.4.3	2
PWY-5668	Cardiolipin-Biosynthesis;	cardiolipin biosynthesis I;	3	3	2.7.8.-	1
PWY-5668	Cardiolipin-Biosynthesis;	cardiolipin biosynthesis I;	3	3	2.7.8.5	3
PWY-5668	Cardiolipin-Biosynthesis;	cardiolipin biosynthesis I;	3	3	3.1.3.27	1
PWY-5477	GALLOTANNINS;	gallotannin biosynthesis;	1	1	2.3.1.-	2
PWY-5347	Methionine-De-novo-Biosynthesis; Super-Pathways;	superpathway of L-methionine biosynthesis (transsulfuration);	9	7	1.1.1.3	1
PWY-5347	Methionine-De-novo-Biosynthesis; Super-Pathways;	superpathway of L-methionine biosynthesis (transsulfuration);	9	7	1.2.1.11	4
PWY-5347	Methionine-De-novo-Biosynthesis; Super-Pathways;	superpathway of L-methionine biosynthesis (transsulfuration);	9	7	2.1.1.13	2
PWY-5347	Methionine-De-novo-Biosynthesis; Super-Pathways;	superpathway of L-methionine biosynthesis (transsulfuration);	9	7	2.3.1.46	1
PWY-5347	Methionine-De-novo-Biosynthesis; Super-Pathways;	superpathway of L-methionine biosynthesis (transsulfuration);	9	7	2.5.1.48	2
PWY-5347	Methionine-De-novo-Biosynthesis; Super-Pathways;	superpathway of L-methionine biosynthesis (transsulfuration);	9	7	2.6.1.1	6
PWY-5347	Methionine-De-novo-Biosynthesis; Super-Pathways;	superpathway of L-methionine biosynthesis (transsulfuration);	9	7	2.7.2.4	4
PWY-5895	Menaquinone-Biosynthesis;	menaquinol-13 biosynthesis;	2	1	2.1.1.163	2
PWY-1882	C1-COMPOUNDS; Super-Pathways;	superpathway of C1 compounds oxidation to CO<sub>2</sub>;	13	8	1.1.1.284	2
PWY-1882	C1-COMPOUNDS; Super-Pathways;	superpathway of C1 compounds oxidation to CO<sub>2</sub>;	13	8	1.1.2.-	1
PWY-1882	C1-COMPOUNDS; Super-Pathways;	superpathway of C1 compounds oxidation to CO<sub>2</sub>;	13	8	1.2.1.2	3
PWY-1882	C1-COMPOUNDS; Super-Pathways;	superpathway of C1 compounds oxidation to CO<sub>2</sub>;	13	8	1.5.1.-	1
PWY-1882	C1-COMPOUNDS; Super-Pathways;	superpathway of C1 compounds oxidation to CO<sub>2</sub>;	13	8	1.5.1.5	3
PWY-1882	C1-COMPOUNDS; Super-Pathways;	superpathway of C1 compounds oxidation to CO<sub>2</sub>;	13	8	3.1.2.12	2
PWY-1882	C1-COMPOUNDS; Super-Pathways;	superpathway of C1 compounds oxidation to CO<sub>2</sub>;	13	8	3.5.4.9	3
PWY-1882	C1-COMPOUNDS; Super-Pathways;	superpathway of C1 compounds oxidation to CO<sub>2</sub>;	13	8	6.3.4.3	2
PWY-40	Putrescine-Biosynthesis;	putrescine biosynthesis I;	2	2	3.5.3.11	3
PWY-40	Putrescine-Biosynthesis;	putrescine biosynthesis I;	2	2	4.1.1.19	2
PWY-6115			2	1	5.4.99.-	1
PWYQT-4471	GLUCOSINOLATE-SYN;	glucosinolate biosynthesis from dihomomethionine;	4	3	1.14.13.-	3
PWYQT-4471	GLUCOSINOLATE-SYN;	glucosinolate biosynthesis from dihomomethionine;	4	3	2.6.1.-	1
PWYQT-4471	GLUCOSINOLATE-SYN;	glucosinolate biosynthesis from dihomomethionine;	4	3	2.8.2.-	1
PWY0-1335	AEROBIC-RESPIRATION; Electron-Transfer;	NADH to cytochrome <i>bo</i> oxidase electron transfer I;	2	1	1.6.5.3	1
SERDEG-PWY	SERINE-DEG;	L-serine degradation;	1	1	4.3.1.17	2
ASPARAGINE-BIOSYNTHESIS	ASPARAGINE-SYN;	L-asparagine biosynthesis I;	1	1	6.3.5.4	1
BETSYN-PWY	Betaine-Biosynthesis;	glycine betaine biosynthesis I (Gram-negative bacteria);	2	2	1.1.99.1	1
BETSYN-PWY	Betaine-Biosynthesis;	glycine betaine biosynthesis I (Gram-negative bacteria);	2	2	1.2.1.8	2
PWY-841	Purine-Nucleotide-De-Novo-Biosynthesis; Super-Pathways;	superpathway of purine nucleotides <i>de novo</i> biosynthesis I;	13	13	1.1.1.205	4
PWY-841	Purine-Nucleotide-De-Novo-Biosynthesis; Super-Pathways;	superpathway of purine nucleotides <i>de novo</i> biosynthesis I;	13	13	2.1.2.2	3
PWY-841	Purine-Nucleotide-De-Novo-Biosynthesis; Super-Pathways;	superpathway of purine nucleotides <i>de novo</i> biosynthesis I;	13	13	2.1.2.3	3
PWY-841	Purine-Nucleotide-De-Novo-Biosynthesis; Super-Pathways;	superpathway of purine nucleotides <i>de novo</i> biosynthesis I;	13	13	2.4.2.14	4
PWY-841	Purine-Nucleotide-De-Novo-Biosynthesis; Super-Pathways;	superpathway of purine nucleotides <i>de novo</i> biosynthesis I;	13	13	3.5.4.10	3
PWY-841	Purine-Nucleotide-De-Novo-Biosynthesis; Super-Pathways;	superpathway of purine nucleotides <i>de novo</i> biosynthesis I;	13	13	4.1.1.21	4
PWY-841	Purine-Nucleotide-De-Novo-Biosynthesis; Super-Pathways;	superpathway of purine nucleotides <i>de novo</i> biosynthesis I;	13	13	4.3.2.2	4
PWY-841	Purine-Nucleotide-De-Novo-Biosynthesis; Super-Pathways;	superpathway of purine nucleotides <i>de novo</i> biosynthesis I;	13	13	6.3.2.6	1
PWY-841	Purine-Nucleotide-De-Novo-Biosynthesis; Super-Pathways;	superpathway of purine nucleotides <i>de novo</i> biosynthesis I;	13	13	6.3.3.1	4
PWY-841	Purine-Nucleotide-De-Novo-Biosynthesis; Super-Pathways;	superpathway of purine nucleotides <i>de novo</i> biosynthesis I;	13	13	6.3.4.13	2
PWY-841	Purine-Nucleotide-De-Novo-Biosynthesis; Super-Pathways;	superpathway of purine nucleotides <i>de novo</i> biosynthesis I;	13	13	6.3.4.4	4
PWY-841	Purine-Nucleotide-De-Novo-Biosynthesis; Super-Pathways;	superpathway of purine nucleotides <i>de novo</i> biosynthesis I;	13	13	6.3.5.2	1
PWY-841	Purine-Nucleotide-De-Novo-Biosynthesis; Super-Pathways;	superpathway of purine nucleotides <i>de novo</i> biosynthesis I;	13	13	6.3.5.3	5
P601-PWY	Camphor-Degradation;	(+)-camphor degradation;	4	3	1.1.1.1	4
P601-PWY	Camphor-Degradation;	(+)-camphor degradation;	4	3	1.14.13.-	3
P601-PWY	Camphor-Degradation;	(+)-camphor degradation;	4	3	6.2.1.-	5
PWY-6533	AROMATIC-COMPOUNDS-DEGRADATION;	aniline degradation;	1	1	1.14.12.-	2
PWY-6263	Menaquinone-Biosynthesis; Super-Pathways;	superpathway of menaquinol-8 biosynthesis II;	3	2	2.1.1.163	2
PWY-6263	Menaquinone-Biosynthesis; Super-Pathways;	superpathway of menaquinol-8 biosynthesis II;	3	2	2.5.1.-	2
PWY-6223	Gentisate-Degradation;	gentisate degradation I;	2	1	1.13.11.4	2
PWY-5168	CINNAMATE-SYN;	ferulate and sinapate biosynthesis;	3	2	1.14.13.-	3
PWY-5168	CINNAMATE-SYN;	ferulate and sinapate biosynthesis;	3	2	1.2.1.68	1
PWY-6049	Dimethylsulfoniopropionate-Degradation; Super-Pathways;	superpathway of dimethylsulfoniopropanoate degradation;	1	1	4.4.1.3	1
PWY-5417	Catechol-Degradation; Super-Pathways;	catechol degradation III (ortho-cleavage pathway);	6	5	1.13.11.1	1
PWY-5417	Catechol-Degradation; Super-Pathways;	catechol degradation III (ortho-cleavage pathway);	6	5	2.3.1.174	1
PWY-5417	Catechol-Degradation; Super-Pathways;	catechol degradation III (ortho-cleavage pathway);	6	5	2.8.3.6	1
PWY-5417	Catechol-Degradation; Super-Pathways;	catechol degradation III (ortho-cleavage pathway);	6	5	3.1.1.24	1
PWY-5417	Catechol-Degradation; Super-Pathways;	catechol degradation III (ortho-cleavage pathway);	6	5	5.5.1.1	1
PWY-2161	Folate-Biosynthesis;	folate polyglutamylation;	3	2	2.1.2.1	2
PWY-2161	Folate-Biosynthesis;	folate polyglutamylation;	3	2	6.3.4.3	2
ASPARTATESYN-PWY	ASPARTATE-SYN;	L-aspartate biosynthesis;	1	1	2.6.1.1	6
PWY0-845	Super-Pathways; Vitamin-B6-Biosynthesis;	superpathway of pyridoxal 5'-phosphate biosynthesis and salvage;	9	7	1.1.1.262	2
PWY0-845	Super-Pathways; Vitamin-B6-Biosynthesis;	superpathway of pyridoxal 5'-phosphate biosynthesis and salvage;	9	7	1.2.1.72	1
PWY0-845	Super-Pathways; Vitamin-B6-Biosynthesis;	superpathway of pyridoxal 5'-phosphate biosynthesis and salvage;	9	7	2.2.1.7	4
PWY0-845	Super-Pathways; Vitamin-B6-Biosynthesis;	superpathway of pyridoxal 5'-phosphate biosynthesis and salvage;	9	7	2.6.1.52	2
PWY0-845	Super-Pathways; Vitamin-B6-Biosynthesis;	superpathway of pyridoxal 5'-phosphate biosynthesis and salvage;	9	7	2.6.99.2	2
PWY0-845	Super-Pathways; Vitamin-B6-Biosynthesis;	superpathway of pyridoxal 5'-phosphate biosynthesis and salvage;	9	7	2.7.1.-	1
PWY0-845	Super-Pathways; Vitamin-B6-Biosynthesis;	superpathway of pyridoxal 5'-phosphate biosynthesis and salvage;	9	7	2.7.1.35	1
PWY-5856	Ubiquinone-Biosynthesis;	ubiquinol-9 biosynthesis (prokaryotic);	5	3	2.1.1.-	3
PWY-5856	Ubiquinone-Biosynthesis;	ubiquinol-9 biosynthesis (prokaryotic);	5	3	2.1.1.64	3
PWY-5856	Ubiquinone-Biosynthesis;	ubiquinol-9 biosynthesis (prokaryotic);	5	3	4.1.1.-	3
PWY-2821	GLUCOSINOLATE-SYN;	glucosinolate biosynthesis from phenylalanine;	4	3	1.-.-.-	5
PWY-2821	GLUCOSINOLATE-SYN;	glucosinolate biosynthesis from phenylalanine;	4	3	1.14.13.-	3
PWY-2821	GLUCOSINOLATE-SYN;	glucosinolate biosynthesis from phenylalanine;	4	3	2.8.2.-	1
PWY-5976	CYANOGENIC-GLUCOSIDE-DEG;	dhurrin degradation;	2	1	3.2.1.-	6
PWY-5100	Pyruvate-Acetate-Fermentation; Pyruvate-Lactate-Fermentation; Super-Pathways;	pyruvate fermentation to acetate and lactate II;	4	3	1.1.1.27	3
PWY-5100	Pyruvate-Acetate-Fermentation; Pyruvate-Lactate-Fermentation; Super-Pathways;	pyruvate fermentation to acetate and lactate II;	4	3	2.3.1.8	2
PWY-5100	Pyruvate-Acetate-Fermentation; Pyruvate-Lactate-Fermentation; Super-Pathways;	pyruvate fermentation to acetate and lactate II;	4	3	2.7.2.1	4
CHOLINE-BETAINE-ANA-PWY	Choline-Degradation;	choline degradation I;	2	2	1.1.99.1	1
CHOLINE-BETAINE-ANA-PWY	Choline-Degradation;	choline degradation I;	2	2	1.2.1.8	2
PWY-5163	AROMATIC-COMPOUNDS-DEGRADATION;	<I>p</I>-cumate degradation to 2-hydroxypentadienoate;	4	3	1.13.11.-	3
PWY-5163	AROMATIC-COMPOUNDS-DEGRADATION;	<I>p</I>-cumate degradation to 2-hydroxypentadienoate;	4	3	3.7.1.-	1
PWY-5163	AROMATIC-COMPOUNDS-DEGRADATION;	<I>p</I>-cumate degradation to 2-hydroxypentadienoate;	4	3	4.1.1.-	3
PWY-6558	Glycosaminoglycans-Biosynthesis;	heparan sulfate biosynthesis (late stages);	10	2	2.8.2.-	1
PWY-6558	Glycosaminoglycans-Biosynthesis;	heparan sulfate biosynthesis (late stages);	10	2	3.1.1.-	4
PWY-5476	ELLAGITANNINS;	cornusiin E biosynthesis;	1	1	1.10.3.-	1
CRNFORCAT-PWY	Creatinine-Degradation;	creatinine degradation I;	4	2	1.5.3.1	4
CRNFORCAT-PWY	Creatinine-Degradation;	creatinine degradation I;	4	2	3.5.2.10	1
UDPNAGSYN-PWY	UDP-NAc-Glucosamine-Biosynthesis;	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I;	4	4	2.3.1.157	2
UDPNAGSYN-PWY	UDP-NAc-Glucosamine-Biosynthesis;	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I;	4	4	2.6.1.16	5
UDPNAGSYN-PWY	UDP-NAc-Glucosamine-Biosynthesis;	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I;	4	4	2.7.7.23	2
UDPNAGSYN-PWY	UDP-NAc-Glucosamine-Biosynthesis;	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I;	4	4	5.4.2.10	2
PWY-5068	Chlorophyll-a-Biosynthesis;	chlorophyll cycle;	4	2	2.5.1.-	2
PWY-5068	Chlorophyll-a-Biosynthesis;	chlorophyll cycle;	4	2	2.5.1.62	1
PWY-3981	Beta-Alanine-Biosynthesis;	&beta;-alanine biosynthesis I;	2	1	1.2.1.3	4
PWY-6461	Peptidoglycan-Cross-Bridge-Biosynthesis;	peptidoglycan cross-bridge biosynthesis II (E. faecium);	2	1	6.3.1.-	2
PWY-5165	4-Toluenesulfonate-Degradation;	4-toluenesulfonate degradation II;	1	1	1.14.12.-	2
RIBITOLUTIL-PWY	SUGAR-ALCOHOLS-DEG;	ribitol degradation;	3	2	2.7.1.47	1
RIBITOLUTIL-PWY	SUGAR-ALCOHOLS-DEG;	ribitol degradation;	3	2	5.1.3.1	3
PWY-5537	Pyruvate-Acetate-Fermentation; Super-Pathways;	pyruvate fermentation to acetate V;	2	2	1.2.1.-	1
PWY-5537	Pyruvate-Acetate-Fermentation; Super-Pathways;	pyruvate fermentation to acetate V;	2	2	6.2.1.5	3
PWY-5199	Cofactor-Biosynthesis;	factor 420 polyglutamylation;	2	2	6.3.2.31	2
PWY-5199	Cofactor-Biosynthesis;	factor 420 polyglutamylation;	2	2	6.3.2.34	1
PWY-3461	TYROSINE-SYN;	L-tyrosine biosynthesis II;	3	2	1.3.1.-	1
PWY-3461	TYROSINE-SYN;	L-tyrosine biosynthesis II;	3	2	5.4.99.5	4
HYDROXYPRODEG-PWY	Hydroxyprolines-Degradation;	<i>trans</i>-4-hydroxy-L-proline degradation I;	4	1	4.1.3.16	1
PENTOSE-P-PWY	Pentose-Phosphate-Cycle; Super-Pathways;	pentose phosphate pathway;	7	5	1.1.1.44	1
PENTOSE-P-PWY	Pentose-Phosphate-Cycle; Super-Pathways;	pentose phosphate pathway;	7	5	2.2.1.1	6
PENTOSE-P-PWY	Pentose-Phosphate-Cycle; Super-Pathways;	pentose phosphate pathway;	7	5	2.2.1.2	4
PENTOSE-P-PWY	Pentose-Phosphate-Cycle; Super-Pathways;	pentose phosphate pathway;	7	5	5.1.3.1	3
PENTOSE-P-PWY	Pentose-Phosphate-Cycle; Super-Pathways;	pentose phosphate pathway;	7	5	5.3.1.6	1
PWY-6166			1	1	3.6.3.-	4
PWY-2361	CARBOXYLATES-DEG;	3-oxoadipate degradation;	2	2	2.3.1.174	1
PWY-2361	CARBOXYLATES-DEG;	3-oxoadipate degradation;	2	2	2.8.3.6	1
HOMOSER-METSYN-PWY	Methionine-De-novo-Biosynthesis;	L-methionine biosynthesis I;	5	3	2.1.1.13	2
HOMOSER-METSYN-PWY	Methionine-De-novo-Biosynthesis;	L-methionine biosynthesis I;	5	3	2.3.1.46	1
HOMOSER-METSYN-PWY	Methionine-De-novo-Biosynthesis;	L-methionine biosynthesis I;	5	3	2.5.1.48	2
PWY-621	SUCROSE-DEG;	sucrose degradation III (sucrose invertase);	8	6	2.4.1.13	2
PWY-621	SUCROSE-DEG;	sucrose degradation III (sucrose invertase);	8	6	2.7.1.4	1
PWY-621	SUCROSE-DEG;	sucrose degradation III (sucrose invertase);	8	6	2.7.7.9	4
PWY-621	SUCROSE-DEG;	sucrose degradation III (sucrose invertase);	8	6	3.2.1.26	3
PWY-621	SUCROSE-DEG;	sucrose degradation III (sucrose invertase);	8	6	5.3.1.9	2
PWY-621	SUCROSE-DEG;	sucrose degradation III (sucrose invertase);	8	6	5.4.2.2	4
PWY-5839	Menaquinone-Biosynthesis;	menaquinol-7 biosynthesis;	2	1	2.1.1.163	2
PWY-3661	Glycine-Betaine-Degradation;	glycine betaine degradation I;	5	3	1.5.3.1	4
PWY-3661	Glycine-Betaine-Degradation;	glycine betaine degradation I;	5	3	2.1.2.1	2
PWY-3661	Glycine-Betaine-Degradation;	glycine betaine degradation I;	5	3	4.3.1.17	2
PWY-5505	GLUTAMATE-SYN; GLUTAMINE-SYN; Metabolic-Clusters; Super-Pathways;	L-glutamate and L-glutamine biosynthesis;	6	4	1.4.1.13	7
PWY-5505	GLUTAMATE-SYN; GLUTAMINE-SYN; Metabolic-Clusters; Super-Pathways;	L-glutamate and L-glutamine biosynthesis;	6	4	1.4.1.3	3
PWY-5505	GLUTAMATE-SYN; GLUTAMINE-SYN; Metabolic-Clusters; Super-Pathways;	L-glutamate and L-glutamine biosynthesis;	6	4	1.4.1.4	2
PWY-5505	GLUTAMATE-SYN; GLUTAMINE-SYN; Metabolic-Clusters; Super-Pathways;	L-glutamate and L-glutamine biosynthesis;	6	4	6.3.1.2	5
PWY0-1261	Anhydromuropeptides-Recycling;	anhydromuropeptides recycling I;	2	2	2.7.1.-	1
PWY0-1261	Anhydromuropeptides-Recycling;	anhydromuropeptides recycling I;	2	2	4.2.-.-	1
P142-PWY	Pyruvate-Acetate-Fermentation; Super-Pathways;	pyruvate fermentation to acetate I;	3	2	2.3.1.8	2
P142-PWY	Pyruvate-Acetate-Fermentation; Super-Pathways;	pyruvate fermentation to acetate I;	3	2	2.7.2.1	4
GLYCLEAV-PWY	GLYCINE-DEG;	glycine cleavage;	3	3	1.4.4.2	5
GLYCLEAV-PWY	GLYCINE-DEG;	glycine cleavage;	3	3	1.8.1.4	8
GLYCLEAV-PWY	GLYCINE-DEG;	glycine cleavage;	3	3	2.1.2.10	3
PWY-6122	AIR-Biosynthesis;	5-aminoimidazole ribonucleotide biosynthesis II;	5	5	2.1.2.-	2
PWY-6122	AIR-Biosynthesis;	5-aminoimidazole ribonucleotide biosynthesis II;	5	5	2.4.2.14	4
