#Pathway_id	Name	KOs	total_family	total_family_found	Count	Count_pct	Abund	Abund_pct	Abund_DLM2	Abund_pct_DLM2	Abund_GEM2	Abund_pct_GEM2	Abund_LCM1	Abund_pct_LCM1	Abund_PLM2	Abund_pct_PLM2
00510	"N-Glycan biosynthesis"	K00721+K00729+K00810+K00902+K03844+K07432+K07441	35	7	37	0.36	4009.78	0.26	385.92	0.30	606.27	0.28	2085.44	0.23	932.15	0.31
00760	"Nicotinate and nicotinamide metabolism"	K00157+K00278+K00322+K00324+K00325+K00763+K00767+K00858+K00952+K00969+K01081+K01239+K01513+K01916+K01950+K03517+K03783+K03784+K06989+K08722+K08723	30	21	75	0.72	6167.61	0.39	437.30	0.34	633.51	0.29	4166.68	0.45	930.12	0.31
00450	"Selenoamino acid metabolism"	K00392+K00394+K00395+K00599+K00681+K00789+K00860+K00956+K00958+K01008+K01042+K01251+K01697+K01738+K01739+K01758+K01760+K01761+K01874	22	19	183	1.76	20829.82	1.33	1789.04	1.40	3055.17	1.42	11422.78	1.24	4562.83	1.50
00062	"Fatty acid elongation in mitochondria"	K00022+K07508+K07509+K07511+K07512+K07515	8	6	68	0.65	6841.18	0.44	684.00	0.53	1268.23	0.59	3076.24	0.34	1812.71	0.60
00330	"Arginine and proline metabolism"	K00261+K00273+K00286+K00294+K00318+K00491+K00611+K00812+K00813+K00819+K00824+K00926+K01259+K01470+K01473+K01474+K01478+K01571+K01625+K01750+K01755+K01881+K01887+K01940+K01948+K11142	53	26	134	1.29	11847.37	0.76	688.84	0.54	1868.12	0.87	8065.59	0.88	1224.83	0.40
00670	"One carbon pool by folate"	K00288+K00297+K00548+K00560+K00600+K00601+K00602+K00603+K00604+K00605+K01491+K01746+K01934+K01938+K03465+K08289+K11175	21	17	67	0.64	4151.39	0.27	126.16	0.10	96.58	0.04	3877.45	0.42	51.20	0.02
00500	"Starch and sucrose metabolism"	K00012+K00688+K00689+K00690+K00691+K00694+K00695+K00697+K00700+K00702+K00703+K00705+K00845+K00847+K00963+K00975+K01087+K01176+K01178+K01179+K01182+K01187+K01188+K01193+K01194+K01198+K01212+K01225+K01226+K01513+K01810+K01835+K01838+K05342+K05343+K05344+K05349+K08678+K08679	67	39	150	1.44	13376.85	0.85	1065.44	0.83	1908.07	0.89	7741.59	0.84	2661.75	0.88
00770	"Pantothenate and CoA biosynthesis"	K00053+K00077+K00207+K00606+K00826+K00859+K00867+K00954+K00997+K01464+K01513+K01652+K01653+K01687+K01918+K03525	24	16	106	1.02	7749.71	0.50	139.75	0.11	249.12	0.12	7262.10	0.79	98.74	0.03
00196	"Photosynthesis - antenna proteins"	K02284+K02285+K02286+K02287+K02288+K02289+K02290	40	7	14	0.13	9572.51	0.61	1457.32	1.14	2933.65	1.36	699.30	0.08	4482.22	1.48
00622	"Toluene and xylene degradation"	K00055+K00492+K01576+K01666+K01781+K01856+K03380+K03381+K10217	15	9	42	0.40	4706.29	0.30	343.83	0.27	614.05	0.29	2845.61	0.31	902.81	0.30
00410	"beta-Alanine metabolism"	K00128+K00137+K00207+K00249+K00797+K00822+K01270+K01464+K01579+K01692+K01918+K05605+K07511+K07514+K07515	24	15	107	1.03	8367.97	0.53	375.79	0.29	738.00	0.34	6311.71	0.69	942.48	0.31
00623	"2,4-Dichlorobenzoate degradation"	K00448+K00449+K00465+K00481+K03384+K07519	14	6	14	0.13	984.24	0.06	2.46	0.00	26.05	0.01	947.49	0.10	8.24	0.00
00631	"1,2-Dichloroethane degradation"	K00114+K00128+K01561+K01563	5	4	22	0.21	1938.25	0.12	11.94	0.01	30.38	0.01	1883.75	0.21	12.18	0.00
00625	"Tetrachloroethene degradation"	K00100+K02586+K02588+K02591	7	4	7	0.07	445.18	0.03	0.03	0.00	0.30	0.00	444.72	0.05	0.13	0.00
02020	"Two-component system - General"	K00066+K00244+K00245+K00246+K00370+K00371+K00626+K00689+K00766+K01034+K01035+K01609+K01657+K01695+K01696+K01915+K02040+K02106+K02259+K02488+K02491+K02556+K02657+K02658+K02659+K02660+K02667+K02668+K03407+K04771+K07636+K07637+K07638+K07639+K07640+K07641+K07642+K07643+K07644+K07645+K07646+K07647+K07648+K07649+K07650+K07651+K07652+K07653+K07654+K07655+K07656+K07657+K07658+K07659+K07660+K07666+K07668+K07669+K07670+K07673+K07674+K07675+K07676+K07677+K07678+K07679+K07680+K07681+K07682+K07683+K07684+K07689+K07690+K07692+K07694+K07695+K07696+K07697+K07698+K07699+K07701+K07704+K07705+K07708+K07709+K07710+K07711+K07712+K07714+K07716+K07717+K07718+K07768+K07769+K07771+K07773+K07775+K07776+K07777+K07778+K07787+K07788+K07789+K07799+K08082+K08083+K08348+K08349+K08350+K08475+K08479+K10125+K10126+K10255+K10681+K11328+K11331+K11354+K11356+K11357+K11383	239	121	401	3.86	43892.23	2.80	3769.66	2.94	6906.71	3.21	23322.41	2.54	9893.46	3.26
00900	"Terpenoid biosynthesis"	K00795+K00806+K01823	8	3	7	0.07	422.75	0.03	24.84	0.02	51.23	0.02	287.07	0.03	59.60	0.02
00361	"gamma-Hexachlorocyclohexane degradation"	K00120+K00492+K00493+K00517+K01061+K01561+K01563+K01860+K03380+K03381+K03384	22	11	63	0.61	5915.60	0.38	321.58	0.25	640.76	0.30	4076.28	0.44	876.98	0.29
00240	"Pyrimidine metabolism"	K00207+K00226+K00254+K00384+K00525+K00527+K00560+K00609+K00610+K00756+K00758+K00761+K00762+K00857+K00876+K00940+K00943+K00945+K00962+K01081+K01119+K01464+K01465+K01485+K01489+K01493+K01494+K01518+K01520+K01591+K01937+K01955+K01956+K02335+K02428+K02825+K03465+K03783+K03784+K04765+K08693+K08722+K08723+K08728+K09903+K10807	73	46	342	3.29	36970.35	2.36	3495.18	2.73	6307.48	2.93	18955.57	2.06	8212.12	2.71
00150	"Androgen and estrogen metabolism"	K00492+K00599+K01130	19	3	61	0.59	9292.76	0.59	952.13	0.74	1793.27	0.83	3857.61	0.42	2689.75	0.89
00380	"Tryptophan metabolism"	K00022+K00128+K00155+K00157+K00164+K00252+K00453+K00486+K00493+K00599+K00626+K00669+K00816+K01426+K01432+K01501+K01556+K01593+K01692+K01867+K01932+K03392+K03393+K03781+K03782+K04103+K07511+K07514+K07515+K07516+K10217	50	31	213	2.05	23304.26	1.49	1987.09	1.55	3734.13	1.74	12159.57	1.32	5423.48	1.79
00632	"Benzoate degradation via CoA ligation"	K00074+K00120+K00239+K00240+K00241+K00242+K00244+K00245+K00246+K00252+K00626+K01034+K01035+K01426+K01501+K01512+K01692+K01913+K04109+K04110+K05549+K07511+K07514+K07515+K07535+K07538+K07550+K10215	67	28	156	1.50	13469.84	0.86	722.98	0.56	1486.06	0.69	9364.43	1.02	1896.38	0.62
00480	"Glutathione metabolism"	K00031+K00033+K00036+K00383+K00432+K00681+K00797+K00799+K01255+K01256+K01270+K01469+K01581+K01919+K01920+K04097+K10807+K11142+K11185+K11186+K11206	38	21	102	0.98	12393.42	0.79	1368.19	1.07	2457.88	1.14	4916.03	0.54	3651.32	1.20
04640	"Hematopoietic cell lineage"	K05091	78	1	12	0.12	609.50	0.04	3.27	0.00	1.44	0.00	603.71	0.07	1.08	0.00
00630	"Glyoxylate and dicarboxylate metabolism"	K00015+K00018+K00025+K00026+K00042+K00050+K00104+K00122+K00123+K00124+K00125+K00127+K00288+K00436+K00532+K00533+K01091+K01432+K01458+K01491+K01637+K01638+K01647+K01681+K01682+K01816+K01938+K08348+K08349+K08350+K08692+K11473	57	32	114	1.10	9578.17	0.61	491.00	0.38	724.81	0.34	7367.60	0.80	994.76	0.33
01057	"Biosynthesis of type II polyketide products"	K05556	1	1	7	0.07	236.82	0.02	0.05	0.00	3.70	0.00	227.74	0.02	5.32	0.00
00561	"Glycerolipid metabolism"	K00005+K00128+K00655+K00864+K01046+K03429+K06117+K06119	41	8	43	0.41	3042.63	0.19	38.40	0.03	34.75	0.02	2953.48	0.32	16.00	0.01
00362	"Benzoate degradation via hydroxylation"	K00448+K00449+K00465+K00481+K00632+K01055+K01576+K01607+K01666+K01781+K01856+K01857+K03381+K04098+K05549+K07508+K07509+K07513+K07823+K10217+K10218	49	21	75	0.72	6280.95	0.40	406.63	0.32	1034.01	0.48	3834.26	0.42	1006.06	0.33
00260	"Glycine, serine and threonine metabolism"	K00003+K00018+K00050+K00058+K00060+K00100+K00108+K00130+K00133+K00273+K00282+K00283+K00302+K00303+K00304+K00305+K00314+K00315+K00382+K00499+K00600+K00605+K00639+K00643+K00830+K00831+K00872+K00928+K00998+K01079+K01620+K01697+K01733+K01752+K01754+K01758+K01868+K01875+K01878+K01880+K02203+K06720	64	42	209	2.01	16883.27	1.08	717.87	0.56	1131.68	0.53	13898.76	1.51	1134.97	0.37
00565	"Ether lipid metabolism"	K00655+K01062	12	2	4	0.04	267.27	0.02	10.49	0.01	0.10	0.00	256.33	0.03	0.35	0.00
00364	"Fluorobenzoate degradation"	K01061+K01856+K01860+K03381+K03384+K05549	10	6	12	0.12	2758.42	0.18	325.86	0.25	594.64	0.28	943.92	0.10	893.99	0.29
00920	"Sulfur metabolism"	K00380+K00381+K00387+K00390+K00392+K00394+K00395+K00640+K00641+K00651+K00860+K00956+K00958+K01082+K01738+K01739+K01760+K05301+K10150	27	19	151	1.45	12523.78	0.80	509.84	0.40	725.17	0.34	10324.80	1.12	963.98	0.32
04530	"Tight junction"	K04424+K06103	63	2	12	0.12	606.96	0.04	3.26	0.00	1.43	0.00	601.17	0.07	1.09	0.00
00360	"Phenylalanine metabolism"	K00055+K00146+K00270+K00285+K00430+K00457+K00492+K00529+K00812+K00813+K00817+K00824+K00832+K01426+K01451+K01593+K01666+K01912+K05708+K05710+K05711+K10797	38	22	125	1.20	12301.29	0.79	769.29	0.60	1420.13	0.66	8207.48	0.89	1904.40	0.63
00071	"Fatty acid metabolism"	K00001+K00022+K00128+K00232+K00248+K00249+K00252+K00255+K00493+K00496+K00529+K00626+K00632+K01692+K01782+K01825+K01897+K01909+K06445+K07508+K07509+K07511+K07513+K07514+K07515+K07516+K09478	34	27	206	1.98	19358.76	1.24	1387.34	1.08	2696.27	1.25	11612.59	1.26	3662.56	1.21
00130	"Ubiquinone biosynthesis"	K00329+K00330+K00331+K00332+K00333+K00334+K00335+K00336+K00337+K00338+K00340+K00341+K00343+K00568+K01661+K01911+K02548+K02549+K02551+K02552+K03179+K03182+K03183+K03184+K03185+K03688+K08680	38	27	110	1.06	17177.90	1.10	1604.37	1.25	2978.89	1.38	8156.53	0.89	4438.11	1.46
00621	"Biphenyl degradation"	K00055+K01666+K10616	15	3	10	0.10	524.62	0.03	8.51	0.01	8.55	0.00	504.69	0.05	2.87	0.00
00750	"Vitamin B6 metabolism"	K00097+K00157+K00831+K00868+K01733+K03472+K03474+K06215+K08681	14	9	35	0.34	1837.25	0.12	38.32	0.03	20.76	0.01	1759.54	0.19	18.63	0.01
00910	"Nitrogen metabolism"	K00260+K00261+K00262+K00264+K00265+K00266+K00284+K00285+K00360+K00362+K00363+K00366+K00367+K00368+K00369+K00370+K00371+K00372+K00376+K00459+K00605+K00926+K01424+K01425+K01501+K01673+K01725+K01744+K01745+K01758+K01760+K01915+K01916+K01948+K01953+K02193+K02194+K02195+K02197+K02198+K02199+K02200+K02305+K02567+K02586+K02587+K02588+K02591+K02592+K02594+K02595+K03385+K04013+K04014+K04488+K05601+K08345+K08346+K10534+K10535	107	60	214	2.06	19115.19	1.22	930.93	0.73	1684.03	0.78	14570.69	1.59	1929.54	0.64
03090	"Type II secretion system"	K01493+K02237+K02238+K02240+K02242+K02243+K02244+K02245+K02278+K02280+K02453+K02454+K02455+K02456+K02458+K02459+K02460+K02654+K02657+K02658+K02659+K02660+K02666+K02667+K02668+K02669	78	26	226	2.17	26634.99	1.70	2353.38	1.84	4420.52	2.05	13548.05	1.48	6313.05	2.08
00401	"Novobiocin biosynthesis"	K00210+K00220+K00812+K00813+K00817+K00832+K04517	10	7	28	0.27	1820.12	0.12	47.88	0.04	93.17	0.04	1650.63	0.18	28.44	0.01
04310	"Wnt signaling pathway"	K04427+K04496	100	2	5	0.05	2150.91	0.14	293.54	0.23	587.69	0.27	370.73	0.04	898.95	0.30
04020	"Calcium signaling pathway"	K00491+K04854+K05850+K05864+K08041+K08042+K08043+K08044+K08047+K08048+K08049	129	11	25	0.24	3723.31	0.24	323.56	0.25	598.90	0.28	1892.24	0.21	908.59	0.30
00540	"Lipopolysaccharide biosynthesis"	K00677+K00748+K00912+K00979+K01627+K02517+K02527+K02535+K02536+K02840+K02844+K03270+K03276+K03279	31	14	57	0.55	4238.93	0.27	41.21	0.03	86.31	0.04	4085.96	0.45	25.45	0.01
03030	"DNA replication"	K01972+K02314+K02316+K02335+K02337+K02338+K02339+K02340+K02341+K02342+K02343+K03111+K03469+K03470+K03471+K03763+K10747	50	17	129	1.24	16609.18	1.06	1730.88	1.35	3062.75	1.42	7382.68	0.80	4432.88	1.46
03450	"Non-homologous end-joining"	K01971+K10979	19	2	4	0.04	132.42	0.01	3.55	0.00	0.17	0.00	127.85	0.01	0.85	0.00
00643	"Styrene degradation"	K00146+K00465+K01039+K01426+K01501+K01502+K01555+K01666+K01800	19	9	21	0.20	1296.05	0.08	5.89	0.00	13.65	0.01	1270.33	0.14	6.17	0.00
00220	"Urea cycle and metabolism of amino groups"	K00128+K00137+K00145+K00147+K00611+K00618+K00619+K00620+K00657+K00797+K00818+K00930+K00931+K01270+K01426+K01428+K01429+K01430+K01438+K01457+K01480+K01581+K01583+K01585+K01611+K01755+K01940+K01941+K01948+K09472+K10536	48	31	133	1.28	11703.53	0.75	543.96	0.42	2018.66	0.94	8630.12	0.94	510.80	0.17
00523	"Polyketide sugar unit biosynthesis"	K00067+K00973+K01710+K01790	4	4	12	0.12	1286.24	0.08	0.18	0.00	3.49	0.00	1279.68	0.14	2.89	0.00
00230	"Purine metabolism"	K00087+K00088+K00106+K00364+K00365+K00525+K00527+K00601+K00602+K00758+K00759+K00760+K00764+K00769+K00860+K00873+K00926+K00939+K00940+K00942+K00948+K00951+K00956+K00958+K00962+K00988+K01081+K01119+K01120+K01129+K01139+K01239+K01241+K01428+K01429+K01430+K01483+K01486+K01487+K01488+K01492+K01509+K01513+K01514+K01515+K01516+K01518+K01524+K01588+K01589+K01756+K01768+K01769+K01839+K01923+K01933+K01939+K01945+K01951+K01952+K02335+K02428+K03783+K03784+K04765+K07816+K08041+K08042+K08043+K08044+K08045+K08046+K08047+K08048+K08049+K08289+K08312+K08693+K08722+K08723+K10807+K11175+K11177+K11178+K11265	129	85	613	5.90	71770.37	4.59	6791.48	5.30	12148.46	5.65	35645.61	3.88	17184.83	5.66
00020	"Citrate cycle (TCA cycle)"	K00025+K00026+K00030+K00031+K00161+K00162+K00163+K00164+K00170+K00171+K00172+K00176+K00234+K00235+K00239+K00240+K00241+K00242+K00244+K00245+K00246+K00382+K00627+K00658+K01647+K01648+K01679+K01681+K01682+K01899+K01900+K01902+K01903+K01959+K01960	50	35	203	1.95	17435.84	1.11	1047.64	0.82	1719.67	0.80	12683.81	1.38	1984.72	0.65
04612	"Antigen processing and presentation"	K04079	41	1	1	0.01	59.41	0.00	0.00	0.00	0.12	0.00	59.27	0.01	0.02	0.00
00190	"Oxidative phosphorylation"	K00234+K00235+K00239+K00240+K00241+K00242+K00244+K00245+K00246+K00329+K00330+K00331+K00332+K00333+K00334+K00335+K00336+K00337+K00338+K00340+K00341+K00343+K00356+K00405+K00406+K00411+K00412+K00413+K00425+K00426+K00937+K01507+K02108+K02109+K02110+K02111+K02112+K02113+K02114+K02115+K02117+K02118+K02119+K02120+K02122+K02123+K02124+K02126+K02128+K02155+K02257+K02258+K02259+K02274+K02275+K02276+K02301+K02826+K02828+K03661+K03885+K03934+K03935+K03940+K03941+K03942+K03943+K03953+K03955+K05572+K05576+K05578+K05579+K05580+K05581+K05582+K05584+K05585+K05586+K05587+K05588	200	81	195	1.88	22016.70	1.41	1790.42	1.40	3053.65	1.42	12654.63	1.38	4518.01	1.49
03060	"Protein export"	K03070+K03071+K03072+K03073+K03074+K03075+K03076+K03100+K03101+K03106+K03110+K03116+K03118+K03210+K03424	24	15	41	0.39	4027.50	0.26	404.76	0.32	684.03	0.32	1971.50	0.21	967.22	0.32
00100	"Biosynthesis of steroids"	K00099+K00355+K00795+K00805+K00869+K00919+K01597+K01662+K01823+K03526+K03527+K05356+K10960	47	13	28	0.27	3692.96	0.24	369.85	0.29	669.13	0.31	1672.59	0.18	981.39	0.32
