demo|00008	3.5.2.9
demo|00826	3.4.-.-
demo|00830	6.3.5.11
demo|00830	6.3.1.-
demo|00831	2.1.1.-
demo|00843	1.10.3.9
demo|00858	1.11.1.15
demo|00862	3.1.3.100
demo|00862	3.5.99.2
demo|00871	2.-.-.-
demo|00882	3.6.4.12
demo|00884	2.7.9.2
demo|00888	5.4.2.10
demo|00890	2.7.13.3
demo|00891	7.5.2.6
demo|00906	4.2.1.136
demo|00906	5.1.99.6
demo|00922	7.3.2.7
demo|00923	2.1.1.295
demo|00927	3.6.4.12
demo|00929	1.4.7.1
demo|00933	2.7.1.-
demo|00935	6.3.4.4
demo|00939	4.2.1.11
demo|00948	3.1.-.-
demo|00964	2.3.1.-
demo|00976	7.2.2.16
demo|00982	2.5.1.16
demo|00983	2.7.13.3
demo|00992	2.7.11.1
demo|00994	1.10.3.-
demo|00996	7.1.1.3
demo|01002	2.7.8.13
demo|01007	4.1.2.13
demo|01008	3.6.1.13
demo|01009	2.4.1.25
demo|01010	4.2.3.4
demo|01019	2.4.1.227
demo|01020	2.7.11.1
demo|01023	3.1.21.3
demo|01030	2.7.7.6
demo|01038	2.5.1.98
demo|01039	3.1.-.-
demo|01051	2.7.1.33
demo|01064	4.2.1.96
demo|01066	3.1.26.3
demo|01074	6.1.1.22
demo|01078	1.3.1.83
demo|01078	1.3.1.-
demo|01095	3.4.24.-
demo|01103	3.6.3.-
demo|01109	2.1.1.107
demo|01110	3.1.1.29
demo|01118	1.10.9.1
demo|01122	3.4.21.102
demo|01122	3.4.21.-
demo|01126	3.1.11.2
demo|01141	6.1.1.5
demo|01148	4.2.1.19
demo|01152	3.1.2.28
demo|01158	2.4.1.266
demo|01166	1.3.7.7
demo|01167	2.5.1.72
demo|01177	3.6.4.13
demo|01178	4.2.3.12
demo|01181	3.5.4.16
demo|01185	2.7.1.148
demo|01190	6.2.1.26
demo|01191	2.5.1.3
demo|01194	5.1.1.7
demo|01201	2.7.4.1
demo|01212	2.1.1.-
demo|01212	2.1.1.170
demo|01213	1.3.99.-
demo|01213	1.14.99.-
demo|01214	2.5.1.32
demo|01216	3.4.11.5
demo|01220	6.6.1.1
demo|01224	3.4.-.-
demo|01228	2.4.2.17
demo|01230	2.7.1.19
demo|01231	6.3.3.1
demo|01234	6.3.2.1
demo|01234	2.7.4.25
demo|01234	2.7.4.14
demo|01238	1.97.1.12
demo|01240	1.97.1.12
demo|01244	2.1.1.37
demo|01247	2.1.1.37
demo|01248	2.5.1.62
demo|01248	2.5.1.-
demo|01250	2.4.1.129
demo|01250	3.4.16.4
demo|01257	4.3.2.10
demo|01278	4.2.1.20
demo|01281	5.6.2.3
demo|01281	5.99.1.3
demo|01286	3.4.24.-
demo|01288	2.1.1.80
demo|01315	3.6.1.-
demo|01320	2.7.1.182
demo|01331	1.3.5.1
demo|01332	4.2.1.126
demo|01337	4.-.-.-
demo|01338	4.-.-.-
demo|01340	2.3.1.-
demo|01342	7.2.2.8
demo|01342	3.6.3.-
demo|01349	1.4.1.1
demo|01356	2.2.1.9
demo|01362	5.1.-.-
demo|01363	5.3.1.1
demo|01366	1.3.5.1
demo|01372	3.7.1.17
demo|01373	2.7.1.170
demo|01375	1.8.4.8
demo|01378	1.6.5.12
demo|01384	5.4.2.12
demo|01402	2.4.2.14
demo|01409	1.7.1.13
demo|01412	7.1.1.-
demo|01413	7.1.1.-
demo|01414	7.1.1.-
demo|01417	4.2.3.1
demo|01422	4.1.99.5
demo|01423	1.2.1.80
demo|01423	1.1.1.-
demo|01424	2.1.3.15
demo|01424	6.4.1.2
demo|01426	2.7.8.5
demo|01437	6.6.1.1
demo|01439	3.1.7.2
demo|01442	7.4.2.10
demo|01445	1.3.7.5
demo|01448	5.2.1.13
demo|01448	5.-.-.-
demo|01455	3.4.21.105
demo|01460	5.4.99.-
demo|01463	2.8.1.6
demo|01469	3.5.1.-
demo|01477	3.5.4.26
demo|01477	1.1.1.193
demo|01477	3.5.4.-
demo|01480	7.1.1.-
demo|01480	1.6.99.5
demo|01481	2.1.1.199
demo|01492	2.7.1.11
demo|01493	6.6.1.1
demo|01494	3.1.22.4
demo|01509	3.1.3.16
demo|01512	3.1.3.5
demo|01512	3.1.3.5 3.1.3.6
demo|01513	1.2.4.1
demo|01514	1.3.99.22
demo|01515	3.1.-.-
demo|01520	2.7.13.3
demo|01523	2.7.4.1
demo|01525	1.15.1.1
demo|01528	2.7.1.2
demo|01529	1.-.-.-
demo|01534	5.1.3.14
demo|01539	3.5.1.128
demo|01542	3.2.1.45
demo|01557	2.7.11.1
demo|01576	5.4.99.12
demo|01578	2.7.7.6
demo|01582	2.7.4.3
demo|01582	2.7.4.-
demo|01603	7.1.1.-
demo|01622	3.6.4.-
demo|01622	3.6.1.-
demo|01625	3.6.4.12
demo|01626	4.1.3.27
demo|01626	2.6.1.85
demo|01628	2.7.7.65
demo|01635	3.6.1.-
demo|01635	3.6.-.-
demo|01645	1.1.1.25
demo|01647	3.6.1.25
demo|01652	1.2.1.31
demo|01655	4.4.1.5
demo|01661	5.4.99.5
demo|01662	3.4.21.-
demo|01662	3.4.-.-
demo|01669	3.5.3.11
demo|01676	7.3.2.4
demo|01681	2.5.1.9
demo|01689	2.4.1.-
demo|01697	2.7.1.23
demo|01700	2.3.3.16
demo|01701	6.4.-.-
demo|01705	4.1.3.16
demo|01705	4.1.2.14
demo|01705	4.1.2.14 4.1.3.16
demo|01709	3.4.19.5
demo|01712	2.7.7.-
demo|01717	3.1.1.72
demo|01717	3.1.1.-
demo|01724	1.8.1.7
demo|01725	1.11.1.15
demo|01730	2.2.1.6
demo|01735	6.3.5.2
demo|01745	1.5.1.2
demo|01747	2.1.1.72
demo|01748	2.8.1.13
demo|01748	2.1.1.61
demo|01749	3.2.1.28
demo|01750	5.4.99.15
demo|01751	3.2.1.141
demo|01752	3.2.1.-
demo|01757	5.1.1.1
demo|01758	3.4.17.19
demo|01770	3.5.-.-
demo|01777	4.3.2.2
demo|01783	1.8.5.7
demo|01789	3.6.1.27
demo|01792	2.8.1.8
demo|01793	3.6.1.66
demo|01793	3.6.1.-
demo|01794	3.1.-.-
demo|01800	6.3.5.10
demo|01801	3.6.4.-
demo|01810	6.2.1.1
demo|01821	3.1.3.11
demo|01822	1.1.1.49
demo|01824	2.7.7.4
demo|01828	2.4.1.250
demo|01830	3.4.-.-
demo|01837	3.6.4.12
demo|01843	6.1.1.15
demo|01849	7.1.1.-
demo|01854	2.5.1.-
demo|01861	3.2.1.20
demo|01862	3.7.1.13
demo|01870	2.3.1.181
demo|01873	4.1.1.-
demo|01875	3.1.-.-
demo|01893	1.1.1.271
demo|01894	4.2.1.47
demo|01895	2.-.-.-
demo|01907	7.6.2.2
demo|01914	1.-.-.-
demo|01915	2.8.2.33
demo|01924	2.3.1.-
demo|01924	2.3.1.191
demo|01927	2.1.1.-
demo|01932	2.5.1.29
demo|01938	2.3.1.234
demo|01939	1.8.7.1
demo|01948	3.1.26.5
demo|01953	7.1.1.1
demo|01956	7.1.1.1
demo|01964	2.4.1.336
demo|01966	2.7.7.7
demo|01968	5.1.3.9
demo|01972	1.10.3.-
demo|01973	6.3.4.15
demo|01978	2.4.1.129
demo|01978	3.4.16.4
demo|01980	6.1.1.1
demo|01986	6.3.5.7
demo|01986	6.3.5.-
demo|01990	1.1.1.169
demo|01990	1.1.1.-
demo|01994	2.7.7.24
demo|01997	3.1.26.4
demo|01998	2.5.1.15
demo|02003	3.5.1.10
demo|02021	2.7.9.2
demo|02027	2.10.1.1
demo|02030	3.1.3.-
demo|02031	6.3.1.10
demo|02033	4.1.1.81
demo|02034	3.4.16.-
demo|02041	2.3.1.30
demo|02061	6.3.4.14
demo|02063	3.5.4.19
demo|02063	3.6.1.31
demo|02069	2.7.7.6
demo|02070	2.7.7.6
demo|02071	2.7.7.6
demo|02072	3.1.1.96
demo|02074	1.1.1.23
demo|02080	2.4.1.250
demo|02098	3.6.-.-
demo|02106	2.1.1.107
demo|02107	4.1.1.50
demo|02115	1.2.1.-
demo|02124	4.-.-.-
demo|02126	3.13.1.1
demo|02127	2.4.1.-
demo|02136	4.6.1.12
demo|02138	2.5.1.143
demo|02144	1.1.-.-
demo|02145	1.-.-.-
demo|02146	1.14.13.8
demo|02150	5.4.2.10
demo|02152	2.4.-.-
demo|02153	6.3.2.9
demo|02157	1.4.4.2
demo|02167	1.17.4.1
demo|02168	1.17.4.1
demo|02169	1.17.4.1
demo|02173	2.3.1.47
demo|02189	2.2.1.6
demo|02190	4.2.1.1
demo|02193	2.4.2.28
demo|02198	3.5.1.4
demo|02202	2.5.1.147
demo|02210	2.4.2.18
demo|02212	2.7.7.7
demo|02215	2.7.7.7
demo|02216	2.5.1.6
demo|02217	5.4.2.2
demo|02218	3.4.21.93
demo|02220	3.4.21.-
demo|02221	2.-.-.-
demo|02224	3.1.-.-
demo|02235	1.3.1.-
demo|02240	4.1.2.-
demo|02241	1.1.1.27
demo|02242	2.7.1.40
demo|02243	2.7.2.1
demo|02245	2.4.1.129
demo|02245	3.4.16.4
demo|02248	3.4.23.36
demo|02250	2.4.2.9
demo|02253	3.1.26.11
demo|02254	2.7.1.26
demo|02254	2.7.7.2
demo|02254	2.7.1.26 2.7.7.2
demo|02263	1.11.1.15
demo|02289	1.14.13.81
demo|02291	3.1.3.70
demo|02299	2.4.1.18
demo|02330	3.4.21.102
demo|02330	3.4.21.-
demo|02332	1.17.7.1
demo|02348	3.1.-.-
demo|02352	2.1.1.271
demo|02352	2.1.1.133
demo|02356	3.4.13.22
demo|02357	4.-.-.-
demo|02360	2.6.1.9
demo|02374	2.8.1.7
demo|02375	2.7.1.39
demo|02382	3.1.3.16
demo|02387	2.5.1.78
demo|02388	1.7.99.1
demo|02388	1.7.-.-
demo|02400	1.2.4.1
demo|02409	1.3.3.3
demo|02411	2.4.1.129
demo|02413	7.1.1.-
demo|02430	3.-.-.-
demo|02430	2.8.2.-
demo|02434	2.7.7.7
demo|02440	2.8.1.8
demo|02454	1.1.1.3
demo|02457	2.7.7.-
demo|02457	2.8.1.-
demo|02461	3.1.26.3
demo|02465	2.8.1.7
demo|02468	2.3.1.31
demo|02469	2.5.1.49
demo|02477	1.17.1.8
demo|02482	2.1.1.-
demo|02483	2.7.4.3
demo|02485	4.2.1.46
demo|02494	2.6.1.83
demo|02499	4.1.3.36
demo|02500	5.4.99.5
demo|02500	1.3.1.12
demo|02504	6.3.4.18
demo|02504	4.1.1.21
demo|02506	2.1.1.33
demo|02523	2.4.-.-
demo|02530	3.6.3.-
demo|02539	2.4.1.13
demo|02546	3.2.2.27
demo|02546	3.2.2.-
demo|02550	2.1.3.3
demo|02563	2.1.1.37
demo|02566	4.1.1.19
demo|02579	3.4.21.89
demo|02586	3.4.19.13
demo|02586	2.3.2.2
demo|02592	1.1.1.38
demo|02594	3.5.1.-
demo|02596	2.4.1.213
demo|02597	2.4.1.213
demo|02598	1.1.5.3
demo|02628	2.1.1.72
demo|02629	4.99.1.1
demo|02631	3.5.1.49
demo|02634	4.1.3.27
demo|02639	4.99.1.1
demo|02640	3.3.-.-
demo|02651	3.4.21.-
demo|02654	1.2.1.12
demo|02654	1.2.1.-
demo|02662	3.4.11.18
demo|02668	3.6.4.12
demo|02672	4.3.1.1
demo|02683	2.1.1.176
demo|02684	5.2.1.13
demo|02685	3.6.1.9
demo|02693	1.1.1.86
demo|02702	2.-.-.-
demo|02715	2.7.11.1
demo|02723	3.6.3.-
demo|02740	3.1.4.53
demo|02744	2.1.1.195
demo|02745	3.6.3.-
demo|02754	5.3.1.6
demo|02755	1.11.1.15
demo|02756	1.10.3.9
demo|02764	1.4.1.4
demo|02765	3.4.21.92
demo|02766	2.5.1.-
demo|02770	2.4.1.129
demo|02777	6.3.2.3
demo|02778	1.-.-.-
demo|02779	5.4.99.37
demo|02779	5.4.99.17
demo|02782	2.1.2.11
demo|02786	2.7.7.13
demo|02797	2.4.-.-
demo|02804	3.5.1.5
demo|02805	3.5.1.5
demo|02806	3.5.1.5
demo|02808	2.1.1.37
demo|02819	3.1.-.-
demo|02842	2.3.1.54
demo|02843	1.97.1.4
demo|02850	3.4.21.89
demo|02857	1.4.7.1
demo|02858	1.4.1.13
demo|02858	1.4.1.-
demo|02860	2.1.-.-
demo|02863	2.1.3.2
demo|02865	3.4.16.4
demo|02874	3.5.3.15
demo|02883	1.4.3.16
demo|02889	4.-.-.-
demo|02891	7.1.1.-
demo|02903	7.1.1.-
demo|02905	7.1.1.-
demo|02905	1.6.-.-
demo|02908	5.2.1.12
demo|02910	1.18.1.2
demo|02917	1.14.19.42
demo|02929	3.4.11.9
demo|02944	5.6.2.2
demo|02944	5.99.1.2
demo|02948	6.1.1.7
demo|02952	1.1.1.44
demo|02976	2.2.1.2
demo|02977	2.4.1.21
demo|02988	2.7.1.12
demo|02988	2.7.1.-
demo|03002	4.1.1.35
demo|03003	1.1.1.22
demo|03006	2.1.1.11
demo|03007	5.3.3.2
demo|03008	3.4.21.-
demo|03008	3.4.-.-
demo|03015	3.4.11.9
demo|03017	4.1.3.27
demo|03018	2.7.1.107
demo|03020	3.1.-.-
demo|03021	1.13.11.75
demo|03022	3.6.1.8
demo|03023	1.17.4.-
demo|03029	7.2.2.8
demo|03029	3.6.3.-
demo|03032	2.1.1.-
demo|03033	6.3.5.5
demo|03046	3.1.3.25
demo|03053	2.1.1.200
demo|03053	2.1.1.-
demo|03056	2.8.2.-
demo|03058	2.6.1.66
demo|03061	1.5.1.5
demo|03061	3.5.4.9
demo|03063	2.7.7.27
demo|03075	1.16.1.1
demo|03085	2.1.1.101
demo|03086	2.-.-.-
demo|03089	2.7.7.33
demo|03092	1.1.1.341
demo|03098	3.1.1.45
demo|03100	2.1.1.198
demo|03106	2.3.1.269
demo|03106	2.3.1.-
demo|03125	1.4.3.5
demo|03125	1.-.-.-
demo|03128	2.6.1.42
demo|03130	2.7.4.16
demo|03131	4.1.1.11
demo|03132	3.6.1.1
demo|03139	2.1.1.196
demo|03139	2.1.1.132
demo|03141	2.7.7.41
demo|03144	6.3.2.6
demo|03146	3.5.1.108
demo|03146	3.5.1.-
demo|03147	4.2.1.59
demo|03147	4.2.1.-
demo|03148	2.3.1.129
demo|03149	2.4.1.182
demo|03152	1.1.1.1
demo|03152	1.2.1.10
demo|03157	2.4.1.352
demo|03158	1.2.1.70
demo|03159	3.1.3.11
demo|03165	1.1.1.291
demo|03167	3.1.-.-
demo|03169	4.3.2.1
demo|03170	2.7.7.65
demo|03174	2.7.8.26
demo|03177	3.1.1.96
demo|03177	3.6.1.-
demo|03185	6.3.4.2
demo|03188	3.1.3.101
demo|03198	3.1.-.-
demo|03199	3.1.-.-
demo|03218	2.5.1.54
demo|03219	1.1.1.209
demo|03232	2.5.1.141
demo|03232	2.5.1.-
demo|03236	1.9.3.1
demo|03238	1.9.3.1
demo|03240	1.9.3.1
demo|03242	2.1.1.130
demo|03243	5.4.99.61
demo|03244	1.7.7.1
demo|03244	1.14.13.83
demo|03245	2.1.1.132
demo|03246	1.3.1.54
demo|03248	2.7.7.9
demo|03250	3.4.22.-
demo|03252	2.6.1.106
demo|03256	1.17.4.-
demo|03258	2.3.1.35
demo|03258	2.3.1.1
demo|03258	2.3.1.35 2.3.1.1
demo|03285	3.2.1.135
demo|03289	3.6.1.7
demo|03291	7.1.1.-
demo|03293	4.2.1.33
demo|03294	4.2.1.33
demo|03302	7.1.1.-
demo|03304	7.1.1.-
demo|03311	4.1.1.39
demo|03313	4.1.1.39
demo|03316	3.4.23.-
demo|03319	2.7.4.6
demo|03322	3.1.26.11
demo|03340	3.4.15.6
demo|03341	2.1.1.228
demo|03343	4.2.1.9
demo|03359	1.11.1.15
demo|03361	7.1.1.6
demo|03367	6.3.2.4
demo|03369	2.4.2.22
demo|03376	2.-.-.-
demo|03404	2.3.1.12
demo|03408	3.4.11.1
demo|03410	6.3.2.-
demo|03411	6.3.2.-
demo|03418	2.-.-.-
demo|03425	3.4.23.-
demo|03427	2.7.1.167
demo|03427	2.7.7.70
demo|03427	2.7.1.-
demo|03428	2.7.2.11
demo|03430	2.7.13.3
demo|03438	4.2.1.47
demo|03440	3.6.3.-
demo|03441	1.1.1.219
demo|03442	2.7.13.3
demo|03448	2.7.11.1
demo|03450	6.6.1.2
demo|03456	1.8.4.11
demo|03457	5.1.1.3
demo|03465	5.4.2.6
demo|03470	2.7.1.30
demo|03471	1.1.1.381
demo|03474	1.-.-.-
demo|03476	2.7.1.-
demo|03477	2.6.99.2
demo|03492	1.8.7.2
demo|03497	2.8.1.7
demo|03501	6.3.1.2
demo|03503	6.1.1.20
demo|03509	2.8.1.12
demo|03510	1.6.1.1
demo|03511	4.1.99.13
demo|03515	1.1.1.42
demo|03527	3.1.-.-
demo|03528	3.1.-.-
demo|03529	3.1.-.-
demo|03534	2.1.1.-
demo|03538	3.1.1.61
demo|03545	6.1.1.20
demo|03552	3.6.4.-
demo|03552	3.6.1.-
demo|03563	3.4.21.102
demo|03563	3.4.21.-
demo|03566	6.3.2.-
demo|03583	2.8.1.7
demo|03595	1.6.3.5
demo|03598	2.5.1.47
demo|03612	5.1.3.2
demo|03615	4.2.1.46
demo|03630	2.1.1.-
demo|03633	3.4.21.-
demo|03634	2.6.1.11
demo|03653	2.7.7.7
demo|03657	2.7.1.4
demo|03661	2.7.8.33
demo|03663	2.1.2.1
demo|03665	1.14.11.30
demo|03675	2.7.1.25
demo|03680	4.3.99.3
demo|03681	2.5.1.54
demo|03685	1.-.-.-
demo|03686	3.4.23.43
demo|03686	2.1.1.-
demo|03689	2.1.3.15
demo|03689	6.4.1.2
demo|03700	2.5.1.7
demo|03708	1.14.13.81
demo|03725	2.7.7.-
demo|03733	6.2.1.-
demo|03742	3.6.5.-
demo|03763	2.5.1.19
demo|03765	2.1.1.131
demo|03777	3.3.1.1
demo|03778	5.2.1.8
demo|03779	2.1.1.-
demo|03788	3.6.4.12
demo|03802	1.1.-.-
demo|03803	2.6.1.83
demo|03814	7.6.2.11
demo|03815	4.1.2.13
demo|03821	2.7.1.47
demo|03829	3.1.25.-
demo|03830	6.1.1.2
demo|03831	1.5.1.20
demo|03832	4.2.3.5
demo|03839	2.3.1.-
demo|03842	3.6.3.-
demo|03850	2.7.7.8
demo|03853	2.3.1.274
demo|03854	2.3.1.180
demo|03855	2.3.1.39
demo|03856	2.3.1.51
demo|03858	3.1.1.31
demo|03866	1.13.11.27
demo|03870	3.6.4.-
demo|03885	6.3.5.3
demo|03892	6.2.1.4
demo|03893	6.2.1.5
demo|03898	1.8.4.11
demo|03902	3.1.1.-
demo|03903	2.1.1.192
demo|03905	3.5.1.88
demo|03908	3.6.4.12
demo|03912	4.-.-.-
demo|03913	1.18.6.1
demo|03916	1.18.6.1
demo|03917	1.18.6.1
demo|03920	1.18.6.1
demo|03923	2.8.1.7
demo|03924	4.-.-.-
demo|03925	2.3.3.14
demo|03935	3.1.3.-
demo|03948	6.1.1.14
demo|03951	6.3.2.10
demo|03955	2.7.7.77
demo|03963	1.7.5.1
demo|03966	1.7.7.1
demo|03966	1.14.13.83
demo|03975	2.3.1.-
demo|03979	1.1.1.-
demo|03983	2.1.1.182
demo|03984	6.1.1.23
demo|03984	6.1.1.-
demo|03991	6.1.1.7
demo|03997	2.7.13.3
demo|04002	3.1.25.-
demo|04003	7.1.1.-
demo|04005	7.1.1.-
demo|04012	4.-.-.-
demo|04016	3.6.3.14
demo|04018	3.6.3.14
demo|04022	3.6.3.14
demo|04024	3.6.3.14
demo|04025	7.1.2.2
demo|04025	3.6.3.14
demo|04026	3.6.3.14
demo|04031	4.6.1.1
demo|04035	7.1.2.2
demo|04035	3.6.3.14
demo|04036	3.6.3.14
demo|04040	4.1.1.23
demo|04040	2.4.2.10
demo|04045	2.3.1.275
demo|04045	2.3.1.-
demo|04057	2.6.1.16
demo|04058	1.97.1.12
demo|04059	1.3.5.-
demo|04067	2.3.1.47
demo|04076	3.1.-.-
demo|04078	2.5.1.-
demo|04086	3.6.1.11
demo|04091	4.1.2.25
demo|04096	6.3.4.20
demo|04104	3.1.3.-
demo|04105	4.2.2.-
demo|04123	3.5.4.16
demo|04134	7.6.2.10
demo|04135	2.5.1.61
demo|04148	6.1.1.3
demo|04150	5.2.1.8
demo|04153	7.4.2.10
demo|04158	1.2.1.41
demo|04164	5.3.1.23
demo|04165	2.7.7.3
demo|04179	5.1.3.13
demo|04180	1.1.1.133
demo|04202	2.1.1.95
demo|04203	2.5.1.115
demo|04206	5.4.99.-
demo|04208	4.3.1.32
demo|04208	2.5.1.77
demo|04209	1.14.99.50
demo|04210	2.4.2.-
demo|04211	5.4.4.2
demo|04212	2.5.1.130
demo|04212	2.5.1.-
demo|04214	4.2.1.113
demo|04215	6.1.1.21
demo|04218	2.1.1.37
demo|04219	3.1.21.4
demo|04220	6.1.1.4
demo|04244	1.12.1.2
demo|04246	1.12.99.-
demo|04247	7.1.1.-
demo|04248	1.12.1.3
demo|04250	4.2.1.-
demo|04251	3.6.-.-
demo|04256	3.2.2.31
demo|04256	3.6.1.-
demo|04258	3.6.3.-
demo|04259	2.4.1.187
demo|04259	2.4.1.-
demo|04265	3.4.21.92
demo|04267	2.7.1.23
demo|04268	1.-.-.-
demo|04270	1.1.1.262
demo|04272	1.4.99.5
demo|04292	2.4.2.9
demo|04295	7.3.2.1
demo|04302	2.-.-.-
demo|04306	3.1.2.6
demo|04308	2.4.-.-
demo|04318	2.3.1.-
demo|04319	2.7.13.3
demo|04320	2.7.7.87
demo|04321	2.1.1.297
demo|04324	5.4.99.-
demo|04336	6.1.1.11
demo|04346	3.1.3.5
demo|04346	3.1.3.5 3.1.3.6
demo|04350	2.1.1.34
demo|04352	5.3.1.9
demo|04353	3.6.4.13
demo|04364	2.4.1.1
demo|04365	2.7.1.-
demo|04369	3.1.-.-
demo|04384	7.3.2.4
demo|04385	3.6.3.-
demo|04394	3.1.3.105
demo|04407	2.4.-.-
demo|04409	3.1.1.-
demo|04419	3.6.3.-
demo|04422	3.4.24.-
demo|04430	1.97.1.-
demo|04432	3.4.24.-
demo|04437	4.2.1.10
demo|04444	2.1.1.72
demo|04445	2.3.2.6
demo|04457	6.1.1.16
demo|04458	2.7.7.-
demo|04467	5.4.99.-
demo|04469	4.-.-.-
demo|04481	3.1.-.-
demo|04482	4.3.3.7
demo|04483	1.2.1.11
demo|04484	5.2.1.8
demo|04485	3.4.21.92
demo|04488	3.1.4.52
demo|04501	2.1.2.3
demo|04501	3.5.4.10
demo|04501	2.1.2.3 3.5.4.10
demo|04504	2.7.13.3
demo|04505	4.1.1.36
demo|04505	6.3.2.5
demo|04505	4.1.1.36 6.3.2.5
