#Pathway_id	Type	Name	ECs	total_family	total_family_found	Count	Count_pct	Abund	Abund_pct	Abund_DLM2	Abund_pct_DLM2	Abund_GEM2	Abund_pct_GEM2	Abund_LCM1	Abund_pct_LCM1	Abund_PLM2	Abund_pct_PLM2
PWY-5354	""	""	2.7.7.-+2.8.1.-+3.5.4.-+3.6.1.-	4	4	42	0.40	7173.65	0.46	947.77	0.74	1745.68	0.81	1870.16	0.20	2610.03	0.86
PWY-83	"LIGNIN-SYN; Metabolic-Clusters;"	"monolignol glucosides biosynthesis;"	2.4.1.-	2	1	10	0.10	2365.78	0.15	290.39	0.23	591.53	0.27	583.98	0.06	899.88	0.30
PWY-5345	"Methionine-De-novo-Biosynthesis; Super-Pathways;"	"superpathway of L-methionine biosynthesis (by sulfhydrylation);"	1.1.1.3+1.2.1.11+1.8.4.8+2.1.1.13+2.3.1.31+2.5.1.49+2.6.1.1+2.7.2.4	12	8	21	0.20	1613.19	0.10	54.23	0.04	47.02	0.02	1483.49	0.16	28.45	0.01
PWY-5116	"FLAVANONES-SYN; FLAVONOID-PHYTOALEXINS;"	"sakuranetin biosynthesis;"	2.1.1.-	1	1	37	0.36	3582.07	0.23	376.29	0.29	605.32	0.28	1669.61	0.18	930.85	0.31
PWY0-1352	"ANAEROBIC-RESPIRATION; Electron-Transfer; Nitrate-Reduction;"	"nitrate reduction VIII (dissimilatory);"	1.6.5.-	2	1	1	0.01	54.97	0.00	0.04	0.00	0.13	0.00	54.73	0.01	0.07	0.00
PWY-4821	"Super-Pathways; UDP-Sugar-Biosynthesis;"	"UDP-&alpha;-D-xylose biosynthesis;"	1.1.1.22+4.1.1.35	2	2	3	0.03	230.89	0.01	0.01	0.00	0.68	0.00	226.72	0.02	3.47	0.00
PWY-6295	""	""	2.3.1.-	1	1	24	0.23	1456.90	0.09	25.75	0.02	9.69	0.00	1415.85	0.15	5.62	0.00
PWY-5816	"Polyprenyl-Biosynthesis;"	"all <i>trans</i> undecaprenyl diphosphate biosynthesis;"	2.5.1.-	1	1	25	0.24	1699.65	0.11	46.92	0.04	15.45	0.01	1624.03	0.18	13.26	0.00
PWY0-1415	"Heme-b-Biosynthesis; Super-Pathways;"	"superpathway of heme <i>b</i> biosynthesis from uroporphyrinogen-III;"	1.3.3.3+1.3.3.4+1.3.99.22+4.1.1.37+4.99.1.1	6	5	15	0.14	638.69	0.04	12.78	0.01	19.87	0.01	591.16	0.06	14.88	0.00
PWY66-373	"SUCROSE-DEG;"	"sucrose degradation V (sucrose &alpha;-glucosidase);"	4.1.2.13+5.1.3.3+5.3.1.1	6	3	13	0.13	1000.13	0.06	6.67	0.01	5.53	0.00	984.73	0.11	3.21	0.00
PWY-6579	"Guanine-Guanosine-Salvage; Super-Pathways;"	"superpathway of guanine and guanosine salvage;"	2.4.2.1+2.4.2.8	3	2	9	0.09	794.13	0.05	26.50	0.02	3.12	0.00	759.78	0.08	4.73	0.00
PWY-5691	"Urate-Degradation;"	"urate conversion to allantoin I;"	3.5.2.17	2	1	1	0.01	23.90	0.00	0.00	0.00	0.00	0.00	23.89	0.00	0.00	0.00
POLYAMSYN-PWY	"Polyamine-Biosynthesis; Super-Pathways;"	"superpathway of polyamine biosynthesis I;"	2.5.1.16+3.5.3.11+4.1.1.19+4.1.1.50	6	4	7	0.07	529.13	0.03	7.77	0.01	0.80	0.00	518.40	0.06	2.16	0.00
PWY-4381	"Fatty-acid-biosynthesis;"	"fatty acid biosynthesis initiation I;"	2.3.1.180+2.3.1.39+6.4.1.2	3	3	18	0.17	1166.76	0.07	35.36	0.03	3.31	0.00	1121.61	0.12	6.49	0.00
KDO-LIPASYN-PWY	"Lipid-Biosynthesis;"	"(Kdo)<sub>2</sub>-lipid A biosynthesis I;"	2.3.1.-	1	1	24	0.23	1456.90	0.09	25.75	0.02	9.69	0.00	1415.85	0.15	5.62	0.00
PWY-6089	"3-Chlorocatechol-Degradation;"	"3-chlorocatechol degradation I (<i>ortho</i>);"	3.1.1.45	2	1	2	0.02	94.61	0.01	0.20	0.00	0.05	0.00	94.28	0.01	0.08	0.00
CYANCAT-PWY	"Detoxification; NITROGEN-DEG;"	"cyanate degradation;"	4.2.1.1+4.2.1.104	2	2	2	0.02	234.90	0.02	0.27	0.00	0.50	0.00	233.60	0.03	0.52	0.00
PWY-6028	"Carbohydrates-Degradation;"	"acetoin degradation;"	1.1.1.1	2	1	4	0.04	96.92	0.01	0.06	0.00	7.45	0.00	86.14	0.01	3.26	0.00
PWY-5940	"Antibiotic-Biosynthesis;"	"streptomycin biosynthesis;"	1.1.1.18+5.4.2.2	12	2	5	0.05	242.95	0.02	3.69	0.00	3.82	0.00	233.98	0.03	1.47	0.00
PWY-5943	"C40-Carotenoids-Biosynthesis;"	"&beta;-carotene biosynthesis;"	5.5.1.-	1	1	1	0.01	215.66	0.01	0.02	0.00	0.52	0.00	214.71	0.02	0.41	0.00
P105-PWY	"TCA-VARIANTS;"	"TCA cycle IV (2-oxoglutarate decarboxylase);"	1.1.1.37+1.1.1.42+1.2.1.-+1.3.99.1+2.3.3.9+4.1.3.1+4.2.1.2+4.2.1.3	10	8	32	0.31	3985.63	0.25	360.80	0.28	583.50	0.27	2176.90	0.24	864.43	0.28
PWY-761	"Siderophores-Biosynthesis;"	"rhizobactin 1021 biosynthesis;"	2.6.1.76	2	1	2	0.02	250.71	0.02	0.01	0.00	0.52	0.00	249.82	0.03	0.36	0.00
P21-PWY	"Pentose-Phosphate-Cycle;"	"pentose phosphate pathway (partial);"	2.2.1.1+5.1.3.1	2	2	9	0.09	2169.25	0.14	311.34	0.24	564.56	0.26	439.45	0.05	853.90	0.28
PWY-6413	"TERPENOID-DEG;"	"ginsenoside degradation III;"	2.3.1.-	1	1	24	0.23	1456.90	0.09	25.75	0.02	9.69	0.00	1415.85	0.15	5.62	0.00
PWY-241	"Photosynthesis;"	"C4 photosynthetic carbon assimilation cycle, NADP-ME type;"	1.1.1.40+2.7.9.1+4.1.1.31	4	3	3	0.03	92.56	0.01	0.90	0.00	6.93	0.00	82.90	0.01	1.84	0.00
PWY0-166	"Pyrimid-Deoxyribonucleot-De-Novo-Biosyn; Super-Pathways;"	"superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>);"	1.17.4.1+2.1.1.45+2.7.4.6+2.7.4.9+3.5.4.13+3.6.1.23	7	6	18	0.17	1094.00	0.07	38.32	0.03	40.34	0.02	992.01	0.11	23.33	0.01
PHESYN	"PHENYLALANINE-SYN;"	"L-phenylalanine biosynthesis I;"	2.6.1.57+4.2.1.51+5.4.99.5	3	3	9	0.09	561.86	0.04	5.04	0.00	11.39	0.01	542.85	0.06	2.59	0.00
GLUTATHIONESYN-PWY	"Reductants;"	"glutathione biosynthesis;"	6.3.2.2+6.3.2.3	2	2	2	0.02	54.43	0.00	2.57	0.00	0.01	0.00	51.77	0.01	0.08	0.00
P542-PWY	"Choline-Degradation; Super-Pathways;"	"choline-<i>O</i>-sulfate degradation;"	1.1.99.1+1.2.1.8	3	2	3	0.03	473.99	0.03	0.34	0.00	1.41	0.00	471.13	0.05	1.10	0.00
PWY-6385	"Peptidoglycan-Biosynthesis; Super-Pathways;"	"peptidoglycan biosynthesis III (mycobacteria);"	2.4.1.129+2.4.1.227+2.5.1.7+2.7.8.-+5.1.1.3+6.3.2.10+6.3.2.13+6.3.2.4+6.3.2.8+6.3.2.9	11	10	56	0.54	3861.43	0.25	63.46	0.05	24.16	0.01	3760.47	0.41	13.34	0.00
PWY1A0-6325	"Antibiotic-Biosynthesis;"	"actinorhodin biosynthesis;"	1.1.1.-+1.3.1.-+2.3.1.-+4.-.-.-+4.2.1.-	5	5	65	0.63	9255.48	0.59	930.74	0.73	1803.09	0.84	3808.30	0.41	2713.34	0.89
PWY-2021	"Indole-3-Acetate-Inactivation;"	"indole-3-acetate inactivation IV;"	2.4.1.-	2	1	10	0.10	2365.78	0.15	290.39	0.23	591.53	0.27	583.98	0.06	899.88	0.30
PWY-6109	"TRITERPENOID-SYN;"	"mangrove triterpenoid biosynthesis;"	5.4.99.-	2	1	13	0.13	793.23	0.05	37.67	0.03	22.47	0.01	726.21	0.08	6.88	0.00
GLYCOLYSIS	"GLYCOLYSIS-VARIANTS;"	"glycolysis I (from glucose 6-phosphate);"	1.2.1.12+2.7.1.11+2.7.1.40+2.7.2.3+2.7.9.2+3.1.3.11+4.1.2.13+4.2.1.11+5.3.1.1+5.3.1.9	11	10	44	0.42	6182.09	0.39	637.33	0.50	1185.83	0.55	2637.84	0.29	1721.08	0.57
PWY-5406	"Divinyl-Ether-Biosynthesis; Metabolic-Clusters;"	"divinyl ether biosynthesis I;"	1.13.11.-	1	1	3	0.03	72.95	0.00	2.26	0.00	0.02	0.00	69.17	0.01	1.50	0.00
PWY0-1264	"Lipid-Biosynthesis;"	"biotin-carboxyl carrier protein assembly;"	6.3.4.14+6.3.4.15+6.4.1.2	3	3	21	0.20	3120.36	0.20	342.17	0.27	583.22	0.27	1330.83	0.14	864.13	0.28
PWY-5975	"SECONDARY-METABOLITE-BIOSYNTHESIS;"	"furaneol and mesifurane biosynthesis;"	2.1.1.-	1	1	37	0.36	3582.07	0.23	376.29	0.29	605.32	0.28	1669.61	0.18	930.85	0.31
PWY-2661	"Trehalose-biosynthesis;"	"trehalose biosynthesis V;"	3.2.1.141+5.4.99.15	3	2	2	0.02	83.79	0.01	2.37	0.00	0.11	0.00	80.74	0.01	0.56	0.00
PWY-6573	"Glycan-Degradation; Glycosaminoglycan-Degradation;"	"chondroitin sulfate degradation (metazoa);"	3.1.6.4+3.2.1.52	4	2	7	0.07	340.34	0.02	0.88	0.00	1.42	0.00	335.64	0.04	2.41	0.00
PWY-5362	"Unsaturated-Fatty-Acids-Biosynthesis;"	"sapienate biosynthesis;"	1.14.99.-	1	1	8	0.08	434.40	0.03	29.01	0.02	0.32	0.00	402.70	0.04	2.36	0.00
PWY-5739	"GDP-Sugar-Biosynthesis;"	"GDP-D-perosamine biosynthesis;"	4.2.1.47	1	1	2	0.02	277.36	0.02	0.02	0.00	0.67	0.00	276.00	0.03	0.68	0.00
PWY-4441	"Activation;"	"DIMBOA-glucoside activation;"	3.2.1.21	1	1	1	0.01	13.76	0.00	0.27	0.00	0.03	0.00	13.32	0.00	0.15	0.00
PWY-6310	"POLYKETIDE-SYN;"	"aloesone biosynthesis II;"	2.3.1.-	1	1	24	0.23	1456.90	0.09	25.75	0.02	9.69	0.00	1415.85	0.15	5.62	0.00
ALL-CHORISMATE-PWY	"Super-Pathways;"	"superpathway of chorismate metabolism;"	1.1.1.25+1.14.14.-+1.3.1.12+1.5.1.3+2.1.1.-+2.1.1.163+2.1.2.2+2.2.1.9+2.4.2.18+2.5.1.15+2.5.1.19+2.5.1.54+2.6.1.57+2.6.1.85+2.7.1.71+2.7.6.3+3.1.2.-+3.5.4.16+3.5.4.9+3.6.1.-+4.1.1.-+4.1.1.48+4.1.2.25+4.1.3.27+4.1.3.36+4.1.3.38+4.2.1.10+4.2.1.113+4.2.1.20+4.2.1.51+4.2.3.4+4.2.3.5+4.2.99.20+5.3.1.24+5.4.4.2+5.4.99.5+6.2.1.26+6.3.2.12	44	38	152	1.46	18811.07	1.20	2004.05	1.56	3590.94	1.67	7897.13	0.86	5318.94	1.75
PWY-6153	"Autoinducer-Biosynthesis;"	"autoinducer AI-2 biosynthesis I;"	2.1.1.-+3.2.2.9	3	2	38	0.37	3622.79	0.23	378.66	0.30	605.32	0.28	1707.92	0.19	930.89	0.31
PWY-2501	"Fatty-Acid-Degradation;"	"fatty acid &alpha;-oxidation I;"	1.13.11.-+1.2.1.3	2	2	7	0.07	254.63	0.02	2.40	0.00	0.28	0.00	250.33	0.03	1.63	0.00
PWY-13	"Super-Pathways; XANTHONE-SYN;"	"superpathway of tetrahydroxyxanthone biosynthesis;"	6.2.1.25	2	1	1	0.01	92.95	0.01	0.00	0.00	0.04	0.00	92.89	0.01	0.02	0.00
PWY-6134	"TYROSINE-SYN;"	"L-tyrosine biosynthesis IV;"	1.14.16.1	1	1	1	0.01	60.25	0.00	0.00	0.00	0.13	0.00	60.08	0.01	0.04	0.00
PWY-6556	"Pyrimidine-Nucleotide-Salvage; Pyrimidine-Ribonucleosides-Degradation;"	"pyrimidine ribonucleosides salvage II;"	3.5.4.5	2	1	2	0.02	62.26	0.00	1.03	0.00	0.15	0.00	60.81	0.01	0.27	0.00
PWY-5910	"DITERPENOID-SYN; GGPP-Biosynthesis; Super-Pathways;"	"superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate);"	2.3.1.9+2.5.1.10+2.7.1.36+2.7.4.2+4.1.1.33+5.3.3.2	10	6	14	0.13	658.72	0.04	32.52	0.03	54.30	0.03	508.77	0.06	63.13	0.02
N2FIX-PWY	"Nitrogen-Fixation;"	"nitrogen fixation I (ferredoxin);"	1.18.6.1	1	1	4	0.04	289.44	0.02	0.02	0.00	0.14	0.00	289.20	0.03	0.08	0.00
VALSYN-PWY	"VALINE-BIOSYNTHESIS;"	"L-valine biosynthesis;"	1.1.1.86+2.2.1.6+2.6.1.42+4.2.1.9	4	4	25	0.24	1608.19	0.10	29.08	0.02	18.33	0.01	1547.33	0.17	13.45	0.00
PWY-5313	"ANTHOCYANIN-SYN; Super-Pathways;"	"superpathway of anthocyanin biosynthesis (from cyanidin and cyanidin 3-<i>O</i>-glucoside);"	2.3.1.-+2.4.1.-	4	2	34	0.33	3822.68	0.24	316.13	0.25	601.22	0.28	1999.83	0.22	905.50	0.30
PWY-5135	"PRENYLFLAVONOID-SYN;"	"xanthohumol biosynthesis;"	2.1.1.-+2.5.1.-+6.2.1.12	4	3	62	0.60	5282.33	0.34	423.22	0.33	620.79	0.29	3294.12	0.36	944.20	0.31
PRPP-PWY	"Super-Pathways;"	"superpathway of histidine, purine, and pyrimidine biosynthesis;"	1.1.1.205+1.1.1.23+1.17.4.1+1.3.5.2+2.1.2.-+2.1.2.3+2.1.3.2+2.4.2.-+2.4.2.10+2.4.2.14+2.4.2.17+2.6.1.9+2.7.4.14+2.7.4.3+2.7.4.6+2.7.4.8+2.7.6.1+3.1.3.15+3.5.2.3+3.5.4.10+3.5.4.19+3.6.1.31+3.6.3.14+4.1.1.23+4.2.1.19+4.3.2.2+5.3.1.16+5.4.2.7+5.4.99.18+6.3.2.6+6.3.3.1+6.3.4.13+6.3.4.18+6.3.4.2+6.3.4.4+6.3.5.2+6.3.5.3+6.3.5.5	40	38	134	1.29	11641.02	0.74	915.56	0.71	1294.86	0.60	7566.63	0.82	1863.96	0.61
PWY-6549	"GLUTAMINE-SYN;"	"L-glutamine biosynthesis III;"	1.1.1.41+1.1.1.42+2.7.9.1+4.1.1.31+4.2.1.3+6.3.1.2	8	6	19	0.18	911.30	0.06	45.96	0.04	12.93	0.01	845.75	0.09	6.66	0.00
PWY-6395	"Other-Amino-Acid-Biosynthesis; Seleno-Amino-Acid-Detoxification; Super-Pathways;"	"superpathway of seleno-compound metabolism;"	2.1.1.-	1	1	37	0.36	3582.07	0.23	376.29	0.29	605.32	0.28	1669.61	0.18	930.85	0.31
PWY-5806	"Polyprenyl-Biosynthesis;"	"all-<i>trans</i>-decaprenyl diphosphate biosynthesis;"	2.5.1.-	1	1	25	0.24	1699.65	0.11	46.92	0.04	15.45	0.01	1624.03	0.18	13.26	0.00
PWY-5479	"LIGNAN-SYN;"	"6-methoxypodophyllotoxin biosynthesis;"	1.-.-.-+1.14.-.-+1.14.13.-+2.1.1.-	4	4	101	0.97	11033.22	0.70	1092.99	0.85	1824.63	0.85	5419.65	0.59	2695.96	0.89
PWY-6507	"Sugar-Derivatives;"	"4-deoxy-L-<i>threo</i>-hex-4-enopyranuronate degradation;"	2.7.1.45+4.1.2.14	4	2	2	0.02	103.57	0.01	0.55	0.00	0.52	0.00	102.05	0.01	0.45	0.00
PWY-6411	"Ginsenoside-Degradation;"	"ginsenoside degradation I;"	2.3.1.-	1	1	24	0.23	1456.90	0.09	25.75	0.02	9.69	0.00	1415.85	0.15	5.62	0.00
PWY-0	"Putrescine-Degradation;"	"putrescine degradation III;"	1.2.1.3+2.3.1.57+3.5.1.-	4	3	24	0.23	1366.17	0.09	22.34	0.02	11.71	0.01	1323.16	0.14	8.96	0.00
PWY-6088	"3-Chlorobenzoate-Degradation;"	"3-chlorobenzoate degradation I (via chlorocatechol);"	1.14.12.-+1.3.1.-	2	2	13	0.13	2575.41	0.16	321.90	0.25	597.52	0.28	750.22	0.08	905.77	0.30
MET-SAM-PWY	"Super-Pathways;"	"superpathway of <i>S</i>-adenosyl-L-methionine biosynthesis;"	1.1.1.3+1.2.1.11+2.1.1.13+2.3.1.46+2.5.1.48+2.5.1.6+2.7.2.4	9	7	16	0.15	979.89	0.06	49.41	0.04	25.73	0.01	879.89	0.10	24.87	0.01
PWY-5203	"TRITERPENOID-SYN;"	"soybean saponin I biosynthesis;"	1.14.13.-+5.4.99.-	3	2	16	0.15	958.43	0.06	45.81	0.04	22.58	0.01	882.74	0.10	7.30	0.00
HCAMHPDEG-PWY	"Phenolic-Compounds-Degradation;"	"3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate;"	1.14.13.-+1.3.1.-+3.7.1.-	5	3	15	0.14	2521.02	0.16	330.11	0.26	593.57	0.28	692.22	0.08	905.11	0.30
PWY-5750	"Itaconate-Biosynthesis;"	"itaconate biosynthesis I;"	4.1.1.6+4.2.1.3+6.4.1.1	4	3	13	0.13	720.41	0.05	35.41	0.03	8.22	0.00	669.46	0.07	7.32	0.00
PWY-5862	"Demethylmenaquinone-Biosynthesis; Super-Pathways;"	"superpathway of demethylmenaquinol-9 biosynthesis;"	2.2.1.9+2.5.1.-+3.1.2.-+4.1.3.36+4.2.1.113+4.2.99.20+5.4.4.2+6.2.1.26	9	8	42	0.40	4252.80	0.27	390.73	0.30	613.10	0.28	2337.29	0.25	911.69	0.30
PWY-112	"TRITERPENOID-SYN;"	"lupeol biosynthesis;"	5.4.99.-	1	1	13	0.13	793.23	0.05	37.67	0.03	22.47	0.01	726.21	0.08	6.88	0.00
PWY-3462	"PHENYLALANINE-SYN;"	"L-phenylalanine biosynthesis II;"	4.2.1.91+5.4.99.5	3	2	5	0.05	269.88	0.02	4.88	0.00	7.12	0.00	256.61	0.03	1.26	0.00
PWY-6470	"Antibiotic-Resistance; Peptidoglycan-Biosynthesis; Super-Pathways;"	"peptidoglycan biosynthesis V (&beta;-lactam resistance);"	2.4.1.129+2.4.1.227+2.5.1.7+2.7.8.13+5.1.1.3+6.3.2.10+6.3.2.4+6.3.2.8+6.3.2.9	14	9	46	0.44	2886.52	0.18	57.78	0.05	22.32	0.01	2794.84	0.30	11.59	0.00
PWY-2681	"CYTOKININ-BIOSYNTHESIS;"	"<i>trans</i>-zeatin biosynthesis;"	2.5.1.-+3.2.2.-	3	2	42	0.40	2536.45	0.16	58.81	0.05	48.68	0.02	2397.44	0.26	31.52	0.01
PWY-5121	"DITERPENOID-SYN; GGPP-Biosynthesis; Super-Pathways;"	"superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP);"	1.1.1.267+1.17.1.2+1.17.7.1+2.2.1.7+2.5.1.10+2.7.1.148+2.7.7.60+4.6.1.12+5.3.3.2	11	9	26	0.25	3713.67	0.24	368.42	0.29	666.69	0.31	1696.91	0.18	981.66	0.32
TOLUENE-DEG-3-OH-PWY	"TOLUENE-DEG;"	"toluene degradation to 2-hydroxypentadienoate (<I>via 4-methylcatechol</i>);"	1.14.13.-+3.7.1.-	2	2	4	0.04	190.60	0.01	8.25	0.01	0.21	0.00	181.60	0.02	0.53	0.00
THISYNARA-PWY	"Super-Pathways; Thiamine-Biosynthesis;"	"superpathway of thiamine diphosphate biosynthesis III (eukaryotes);"	2.5.1.3+2.7.1.49+2.7.4.7+2.7.6.2	5	4	9	0.09	803.07	0.05	2.44	0.00	1.61	0.00	796.56	0.09	2.47	0.00
PWY-5849	"Menaquinone-Biosynthesis;"	"menaquinol-6 biosynthesis;"	2.1.1.163	1	1	2	0.02	99.42	0.01	8.13	0.01	0.08	0.00	89.64	0.01	1.58	0.00
PWY-6147	"6-HM-Dihydropterin-PP-Biosynthesis;"	"6-hydroxymethyl-dihydropterin diphosphate biosynthesis I;"	2.7.6.3+3.5.4.16+3.6.1.-+4.1.2.25	4	4	30	0.29	6722.08	0.43	945.18	0.74	1738.57	0.81	1431.70	0.16	2606.62	0.86
PWY-6515	"FLAVONOID-SYN;"	"phloridzin biosynthesis;"	2.3.1.-	1	1	24	0.23	1456.90	0.09	25.75	0.02	9.69	0.00	1415.85	0.15	5.62	0.00
PWY-5101	"ISOLEUCINE-SYN;"	"L-isoleucine biosynthesis II;"	1.1.1.86+2.2.1.6+2.3.1.182+2.6.1.42+4.2.1.9	6	5	26	0.25	1633.66	0.10	29.20	0.02	18.47	0.01	1572.43	0.17	13.57	0.00
PWY-5863	"Phylloquinone-Biosynthesis; Super-Pathways;"	"superpathway of phylloquinol biosynthesis;"	1.3.1.-+2.2.1.9+2.5.1.-+3.1.2.-+4.1.3.36+4.2.1.113+4.2.99.20+5.4.4.2+6.2.1.26	10	9	53	0.51	6583.22	0.42	712.58	0.56	1206.46	0.56	2847.91	0.31	1816.27	0.60
PWY-5180	"Super-Pathways; TOLUENE-DEG;"	"toluene degradation I (aerobic) (<I>via</I> <i>o</I>-cresol);"	1.13.11.2+1.14.13.-+3.7.1.-	6	3	5	0.05	232.79	0.01	10.52	0.01	0.21	0.00	221.49	0.02	0.57	0.00
PWY-5343	"Glycan-Pathways; Oligosaccharides-Biosynthesis;"	"ajugose biosynthesis II (galactinol-independent);"	2.4.1.-	1	1	10	0.10	2365.78	0.15	290.39	0.23	591.53	0.27	583.98	0.06	899.88	0.30
PWY0-781	"Super-Pathways;"	"aspartate superpathway;"	1.1.1.3+1.2.1.11+1.4.3.16+2.1.1.13+2.3.1.117+2.3.1.46+2.4.2.19+2.5.1.48+2.5.1.6+2.5.1.72+2.6.1.1+2.6.1.17+2.7.1.39+2.7.2.4+2.7.7.18+3.5.1.18+4.1.1.20+4.2.3.1+5.1.1.7+6.3.1.5+6.3.5.1	25	21	56	0.54	3908.72	0.25	101.85	0.08	80.88	0.04	3676.00	0.40	49.98	0.02
PWY-5855	"Ubiquinone-Biosynthesis;"	"ubiquinol-7 biosynthesis (prokaryotic);"	2.1.1.-+2.1.1.64+4.1.1.-	5	3	43	0.41	3985.59	0.25	376.41	0.29	610.11	0.28	2066.91	0.23	932.16	0.31
PWY-5861	"Demethylmenaquinol-8-Biosynthesis; Super-Pathways;"	"superpathway of demethylmenaquinol-8 biosynthesis I;"	2.2.1.9+2.5.1.-+3.1.2.-+4.1.3.36+4.2.1.113+4.2.99.20+5.4.4.2+6.2.1.26	9	8	42	0.40	4252.80	0.27	390.73	0.30	613.10	0.28	2337.29	0.25	911.69	0.30
PWY-6262	"Demethylmenaquinol-8-Biosynthesis;"	"demethylmenaquinol-8 biosynthesis II;"	2.5.1.-	2	1	25	0.24	1699.65	0.11	46.92	0.04	15.45	0.01	1624.03	0.18	13.26	0.00
PWY-6303	"Auxin-Biosynthesis; Interconversion;"	"methyl indole-3-acetate interconversion;"	2.1.1.-+3.1.1.1	2	2	42	0.40	3774.91	0.24	376.62	0.29	609.33	0.28	1857.08	0.20	931.88	0.31
PWY-6548	""	""	1.5.1.3+2.5.1.15+2.7.6.3+3.5.1.-+6.3.2.12	6	5	27	0.26	1812.64	0.12	22.71	0.02	32.86	0.02	1743.98	0.19	13.09	0.00
PWY0-1314	"Sugars-And-Polysaccharides-Degradation;"	"fructose degradation;"	2.7.1.56	1	1	1	0.01	22.08	0.00	0.00	0.00	0.00	0.00	22.07	0.00	0.01	0.00
P41-PWY	"Pyruvate-Acetate-Fermentation; Pyruvate-Lactate-Fermentation; Super-Pathways;"	"pyruvate fermentation to acetate and (<i>S</i>)-lactate I;"	1.1.1.27+1.2.1.-+2.3.1.8+2.7.2.1	4	4	20	0.19	3282.54	0.21	337.20	0.26	573.72	0.27	1513.06	0.16	858.56	0.28
PWY-5335	"Sulfide-Oxidation; Super-Pathways;"	"superpathway of sulfide oxidation (<i>Starkeya novella</i>);"	1.8.2.1	2	1	1	0.01	209.74	0.01	0.01	0.00	0.50	0.00	208.87	0.02	0.36	0.00
PWY-6415	"Ascorbate-Biosynthesis; Super-Pathways;"	"L-ascorbate biosynthesis V;"	1.1.1.22	2	1	2	0.02	217.76	0.01	0.01	0.00	0.66	0.00	215.02	0.02	2.06	0.00
PWY0-1295	"Pyrimidine-Ribonucleosides-Degradation;"	"pyrimidine ribonucleosides degradation;"	3.5.4.5+5.4.2.7	3	2	4	0.04	189.59	0.01	11.53	0.01	0.21	0.00	177.30	0.02	0.55	0.00
MALTOSECAT-PWY	"Sugars-And-Polysaccharides-Degradation;"	"maltose degradation;"	5.4.2.6	2	1	2	0.02	99.58	0.01	0.12	0.00	0.12	0.00	99.24	0.01	0.09	0.00
