#KO	Name	Definition	Count	Count_pct	Abund	Abund_pct	Abund_DLM2	Abund_pct_DLM2	Abund_GEM2	Abund_pct_GEM2	Abund_LCM1	Abund_pct_LCM1	Abund_PLM2	Abund_pct_PLM2
K02427	rlmE, rrmJ, ftsJ	"23S rRNA (uridine2552-2'-O)-methyltransferase [EC:2.1.1.166]"	1	0.01	60.25	0.00	0.00	0.00	0.13	0.00	60.08	0.01	0.04	0.00
K00518	sodN	"nickel superoxide dismutase [EC:1.15.1.1]"	3	0.03	303.57	0.02	8.25	0.01	0.56	0.00	294.05	0.03	0.71	0.00
K13697	ABHD2	"abhydrolase domain-containing protein 2"	1	0.01	27.87	0.00	10.00	0.01	1.26	0.00	13.88	0.00	2.73	0.00
K02486	K02486	"two-component system, sensor kinase [EC:2.7.13.3]"	205	1.97	25448.86	1.63	2325.75	1.81	4358.88	2.03	12469.07	1.36	6295.16	2.07
K02763	PTS-Dgl-EIIA, gamP	"PTS system, D-glucosamine-specific IIA component [EC:2.7.1.-]"	1	0.01	86.60	0.01	8.13	0.01	0.05	0.00	78.17	0.01	0.24	0.00
K01579	panD	"aspartate 1-decarboxylase [EC:4.1.1.11]"	2	0.02	91.76	0.01	0.13	0.00	0.25	0.00	91.25	0.01	0.13	0.00
K03118	tatC	"sec-independent protein translocase protein TatC"	4	0.04	256.71	0.02	13.09	0.01	3.55	0.00	237.92	0.03	2.15	0.00
K13581	ccrM	"modification methylase [EC:2.1.1.72]"	2	0.02	72.16	0.00	0.32	0.00	20.25	0.01	48.50	0.01	3.09	0.00
K16953	dddL	"dimethylpropiothetin dethiomethylase [EC:4.4.1.3]"	1	0.01	195.59	0.01	0.01	0.00	0.42	0.00	194.83	0.02	0.33	0.00
K03924	moxR	"MoxR-like ATPase [EC:3.6.3.-]"	6	0.06	383.71	0.02	0.04	0.00	4.53	0.00	376.31	0.04	2.83	0.00
K00234	SDHA, SDH1	"succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]"	5	0.05	518.53	0.03	1.00	0.00	4.72	0.00	509.23	0.06	3.58	0.00
K02610	paaB	"ring-1,2-phenylacetyl-CoA epoxidase subunit PaaB"	1	0.01	27.05	0.00	0.01	0.00	3.50	0.00	22.65	0.00	0.88	0.00
K12526	lysAC	"bifunctional diaminopimelate decarboxylase / aspartate kinase [EC:4.1.1.20 2.7.2.4]"	12	0.12	672.39	0.04	41.62	0.03	9.26	0.00	614.89	0.07	6.62	0.00
K03497	parB, spo0J	"ParB family transcriptional regulator, chromosome partitioning protein"	2	0.02	44.66	0.00	0.03	0.00	3.53	0.00	38.60	0.00	2.50	0.00
K07645	qseC	"two-component system, OmpR family, sensor histidine kinase QseC [EC:2.7.13.3]"	142	1.37	21474.64	1.37	2286.59	1.78	4163.19	1.93	8831.66	0.96	6193.19	2.04
K07497	K07497	"putative transposase"	4	0.04	282.84	0.02	0.11	0.00	0.55	0.00	281.67	0.03	0.51	0.00
K11263	bccA, pccA	"acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]"	1	0.01	27.64	0.00	0.26	0.00	0.16	0.00	27.12	0.00	0.10	0.00
K09976	K09976	"uncharacterized protein"	2	0.02	119.43	0.01	10.23	0.01	0.06	0.00	108.85	0.01	0.29	0.00
K02788	PTS-Lac-EIIC, lacE	"PTS system, lactose-specific IIC component"	1	0.01	22.08	0.00	0.00	0.00	0.00	0.00	22.07	0.00	0.01	0.00
K01132	GALNS	"N-acetylgalactosamine-6-sulfatase [EC:3.1.6.4]"	1	0.01	12.91	0.00	0.21	0.00	0.00	0.00	12.65	0.00	0.04	0.00
K02612	paaD	"ring-1,2-phenylacetyl-CoA epoxidase subunit PaaD"	1	0.01	27.05	0.00	0.01	0.00	3.50	0.00	22.65	0.00	0.88	0.00
K09773	ppsR	"[pyruvate, water dikinase]-phosphate phosphotransferase / [pyruvate, water dikinase] kinase [EC:2.7.4.28 2.7.11.33]"	2	0.02	76.28	0.00	0.04	0.00	0.13	0.00	76.04	0.01	0.08	0.00
K08289	purT	"phosphoribosylglycinamide formyltransferase 2 [EC:2.1.2.2]"	15	0.14	955.64	0.06	23.85	0.02	23.17	0.01	899.64	0.10	8.98	0.00
K00805	hepST	"heptaprenyl diphosphate synthase [EC:2.5.1.30]"	2	0.02	160.67	0.01	8.13	0.01	0.06	0.00	152.22	0.02	0.26	0.00
K08082	algZ	"two-component system, LytTR family, sensor histidine kinase AlgZ [EC:2.7.13.3]"	4	0.04	295.67	0.02	2.90	0.00	91.96	0.04	155.91	0.02	44.91	0.01
K01182	IMA, malL	"oligo-1,6-glucosidase [EC:3.2.1.10]"	7	0.07	288.94	0.02	6.27	0.00	0.30	0.00	281.25	0.03	1.11	0.00
K07659	ompR	"two-component system, OmpR family, phosphate regulon response regulator OmpR"	4	0.04	287.05	0.02	0.30	0.00	4.25	0.00	281.03	0.03	1.47	0.00
K18703	SUGCT	"succinate---hydroxymethylglutarate CoA-transferase [EC:2.8.3.13]"	2	0.02	116.06	0.01	0.33	0.00	0.58	0.00	114.67	0.01	0.49	0.00
K03762	proP	"MFS transporter, MHS family, proline/betaine transporter"	6	0.06	170.86	0.01	12.26	0.01	2.10	0.00	151.99	0.02	4.50	0.00
K01756	purB, ADSL	"adenylosuccinate lyase [EC:4.3.2.2]"	21	0.20	1571.11	0.10	73.54	0.06	393.49	0.18	1007.82	0.11	96.27	0.03
K18682	rny	"ribonucrease Y [EC:3.1.-.-]"	2	0.02	119.43	0.01	10.23	0.01	0.06	0.00	108.85	0.01	0.29	0.00
K01518	NUDT2	"bis(5'-nucleosidyl)-tetraphosphatase [EC:3.6.1.17]"	2	0.02	38.83	0.00	0.12	0.00	0.12	0.00	37.08	0.00	1.51	0.00
K01995	livG	"branched-chain amino acid transport system ATP-binding protein"	172	1.65	20670.03	1.32	1729.61	1.35	3054.51	1.42	11489.13	1.25	4396.78	1.45
K02115	ATPF1G, atpG	"F-type H+-transporting ATPase subunit gamma"	3	0.03	45.78	0.00	1.10	0.00	0.17	0.00	42.67	0.00	1.84	0.00
K03631	recN	"DNA repair protein RecN (Recombination protein N)"	7	0.07	465.29	0.03	13.00	0.01	7.50	0.00	442.98	0.05	1.81	0.00
K03797	E3.4.21.102, prc, ctpA	"carboxyl-terminal processing protease [EC:3.4.21.102]"	5	0.05	428.58	0.03	7.47	0.01	0.72	0.00	419.78	0.05	0.62	0.00
K11744	tqsA	"AI-2 transport protein TqsA"	1	0.01	37.25	0.00	0.78	0.00	0.04	0.00	36.21	0.00	0.22	0.00
K17064	ddh	"D-2-hydroxyacid dehydrogenase (NADP+) [EC:1.1.1.272]"	1	0.01	13.15	0.00	0.26	0.00	0.00	0.00	12.83	0.00	0.06	0.00
K01684	dgoD	"galactonate dehydratase [EC:4.2.1.6]"	8	0.08	2239.39	0.14	325.68	0.25	586.41	0.27	435.64	0.05	891.66	0.29
K00821	argD	"acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]"	13	0.13	1154.58	0.07	20.95	0.02	13.05	0.01	1114.55	0.12	6.02	0.00
K09883	cobT	"cobaltochelatase CobT [EC:6.6.1.2]"	2	0.02	234.73	0.01	0.06	0.00	3.67	0.00	229.95	0.03	1.05	0.00
K13951	ADH1_7	"alcohol dehydrogenase 1/7 [EC:1.1.1.1]"	6	0.06	290.19	0.02	8.03	0.01	4.24	0.00	276.66	0.03	1.26	0.00
K00874	kdgK	"2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]"	2	0.02	179.73	0.01	0.69	0.00	1.03	0.00	177.18	0.02	0.82	0.00
K01624	FBA, fbaA	"fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"	2	0.02	41.45	0.00	0.20	0.00	0.00	0.00	41.20	0.00	0.04	0.00
K07769	nblS	"two-component system, OmpR family, sensor histidine kinase NblS [EC:2.7.13.3]"	132	1.27	17541.98	1.12	1658.87	1.29	3006.05	1.40	8433.45	0.92	4443.60	1.46
K01271	pepQ	"Xaa-Pro dipeptidase [EC:3.4.13.9]"	2	0.02	168.14	0.01	7.76	0.01	0.25	0.00	159.81	0.02	0.31	0.00
K01679	E4.2.1.2B, fumC, FH	"fumarate hydratase, class II [EC:4.2.1.2]"	21	0.20	1571.11	0.10	73.54	0.06	393.49	0.18	1007.82	0.11	96.27	0.03
K03667	hslU	"ATP-dependent HslUV protease ATP-binding subunit HslU"	4	0.04	346.57	0.02	17.67	0.01	5.15	0.00	319.65	0.03	4.10	0.00
K00558	DNMT1, dcm	"DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	6	0.06	257.87	0.02	7.94	0.01	16.57	0.01	230.69	0.03	2.67	0.00
K00143	LYS2	"L-2-aminoadipate reductase [EC:1.2.1.95]"	40	0.38	3120.40	0.20	24.09	0.02	176.43	0.08	2857.30	0.31	62.59	0.02
K09584	PDIA6, TXNDC7	"protein disulfide-isomerase A6 [EC:5.3.4.1]"	1	0.01	13.13	0.00	0.00	0.00	0.02	0.00	11.70	0.00	1.41	0.00
K00405	ccoO	"cytochrome c oxidase cbb3-type subunit II"	6	0.06	219.50	0.01	29.81	0.02	4.08	0.00	177.40	0.02	8.21	0.00
K15634	gpmB	"probable phosphoglycerate mutase [EC:5.4.2.12]"	6	0.06	278.53	0.02	15.08	0.01	5.22	0.00	254.62	0.03	3.61	0.00
K05846	opuBD	"osmoprotectant transport system permease protein"	5	0.05	251.84	0.02	19.81	0.02	3.49	0.00	227.74	0.02	0.80	0.00
K02198	ccmF	"cytochrome c-type biogenesis protein CcmF"	1	0.01	204.63	0.01	0.01	0.00	0.65	0.00	203.32	0.02	0.64	0.00
K03042	rpoA2	"DNA-directed RNA polymerase subunit A\" [EC:2.7.7.6]"	2	0.02	145.60	0.01	0.00	0.00	0.03	0.00	145.52	0.02	0.05	0.00
K14274	xylC	"xylonolactonase [EC:3.1.1.-]"	1	0.01	89.86	0.01	0.35	0.00	0.52	0.00	88.59	0.01	0.41	0.00
K08869	ADCK, ABC1	"aarF domain-containing kinase"	1	0.01	27.87	0.00	10.00	0.01	1.26	0.00	13.88	0.00	2.73	0.00
K12410	npdA	"NAD-dependent deacetylase [EC:3.5.1.-]"	3	0.03	345.17	0.02	2.70	0.00	1.02	0.00	340.60	0.04	0.86	0.00
K13403	MTHFD2	"methylenetetrahydrofolate dehydrogenase(NAD+) / 5,10-methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.15 3.5.4.9]"	5	0.05	281.18	0.02	24.79	0.02	0.64	0.00	254.64	0.03	1.12	0.00
K02826	qoxA	"cytochrome aa3-600 menaquinol oxidase subunit II [EC:7.1.1.5]"	1	0.01	217.06	0.01	0.01	0.00	0.47	0.00	216.16	0.02	0.42	0.00
K02280	cpaC, rcpA	"pilus assembly protein CpaC"	1	0.01	217.06	0.01	0.01	0.00	0.47	0.00	216.16	0.02	0.42	0.00
K10218	ligK, galC	"4-hydroxy-4-methyl-2-oxoglutarate aldolase [EC:4.1.3.17]"	1	0.01	29.10	0.00	0.00	0.00	0.28	0.00	28.76	0.00	0.07	0.00
K10243		""	47	0.45	3151.53	0.20	42.75	0.03	74.35	0.03	3012.14	0.33	22.30	0.01
K02155	ATPeV0C, ATP6L	"V-type H+-transporting ATPase 16kDa proteolipid subunit"	5	0.05	872.87	0.06	3.49	0.00	3.69	0.00	862.83	0.09	2.86	0.00
K11617	liaS	"two-component system, NarL family, sensor histidine kinase LiaS [EC:2.7.13.3]"	41	0.39	5784.79	0.37	658.20	0.51	1188.75	0.55	2177.81	0.24	1760.03	0.58
K02053	ABC.SP.P	"putative spermidine/putrescine transport system permease protein"	4	0.04	186.23	0.01	2.70	0.00	16.40	0.01	164.73	0.02	2.39	0.00
K01120	cpdP	"3',5'-cyclic-nucleotide phosphodiesterase [EC:3.1.4.17]"	133	1.28	20963.14	1.34	2244.98	1.75	4226.85	1.96	8275.62	0.90	6215.69	2.05
K00336	nuoG	"NADH-quinone oxidoreductase subunit G [EC:7.1.1.2]"	14	0.13	1663.16	0.11	1.89	0.00	3.66	0.00	1652.60	0.18	5.01	0.00
K02006	cbiO	"cobalt/nickel transport system ATP-binding protein"	170	1.63	18273.03	1.17	1424.64	1.11	2451.87	1.14	10857.17	1.18	3539.35	1.17
K00599	METTL6	"methyltransferase-like protein 6 [EC:2.1.1.-]"	50	0.48	8548.67	0.55	943.72	0.74	1781.55	0.83	3138.57	0.34	2684.82	0.88
K00826	E2.6.1.42, ilvE	"branched-chain amino acid aminotransferase [EC:2.6.1.42]"	10	0.10	679.07	0.04	30.16	0.02	7.21	0.00	632.76	0.07	8.95	0.00
K04043	dnaK, HSPA9	"molecular chaperone DnaK"	4	0.04	217.24	0.01	2.40	0.00	3.57	0.00	210.32	0.02	0.95	0.00
K02483	K02483	"two-component system, OmpR family, response regulator"	1	0.01	72.73	0.00	0.00	0.00	0.02	0.00	72.68	0.01	0.03	0.00
K04040	chlG, bchG	"chlorophyll/bacteriochlorophyll a synthase [EC:2.5.1.62 2.5.1.133]"	2	0.02	97.73	0.01	0.05	0.00	3.20	0.00	93.75	0.01	0.73	0.00
K05715	2PGK	"2-phosphoglycerate kinase [EC:2.7.2.-]"	1	0.01	24.70	0.00	0.10	0.00	0.07	0.00	24.44	0.00	0.09	0.00
K00651	metA	"homoserine O-succinyltransferase/O-acetyltransferase [EC:2.3.1.46 2.3.1.31]"	1	0.01	191.30	0.01	0.01	0.00	0.40	0.00	190.55	0.02	0.34	0.00
K08864	TLK	"tousled-like kinase [EC:2.7.11.1]"	3	0.03	89.71	0.01	2.58	0.00	0.18	0.00	86.70	0.01	0.25	0.00
K02355	fusA, GFM, EFG	"elongation factor G"	3	0.03	159.86	0.01	0.70	0.00	0.64	0.00	157.83	0.02	0.70	0.00
K00820	glmS, GFPT	"glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]"	8	0.08	465.32	0.03	2.99	0.00	1.08	0.00	458.96	0.05	2.30	0.00
K13892	gsiA	"glutathione transport system ATP-binding protein"	4	0.04	297.04	0.02	0.10	0.00	10.84	0.01	283.33	0.03	2.77	0.00
K05834	rhtB	"homoserine/homoserine lactone efflux protein"	1	0.01	22.08	0.00	0.00	0.00	0.00	0.00	22.07	0.00	0.01	0.00
K09121	larC	"pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel chelatase [EC:4.99.1.12]"	1	0.01	89.86	0.01	0.35	0.00	0.52	0.00	88.59	0.01	0.41	0.00
K02835	prfA, MTRF1, MRF1	"peptide chain release factor 1"	4	0.04	1925.49	0.12	325.55	0.25	585.29	0.27	123.86	0.01	890.78	0.29
K14162	dnaE2	"error-prone DNA polymerase [EC:2.7.7.7]"	8	0.08	457.37	0.03	30.13	0.02	1.37	0.00	422.53	0.05	3.34	0.00
K02795	PTS-Man-EIIC, manY	"PTS system, mannose-specific IIC component"	6	0.06	181.80	0.01	4.79	0.00	0.01	0.00	176.85	0.02	0.15	0.00
K01493	comEB	"dCMP deaminase [EC:3.5.4.12]"	1	0.01	40.73	0.00	2.37	0.00	0.00	0.00	38.32	0.00	0.04	0.00
K00170	porB	"pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]"	16	0.15	3408.84	0.22	335.61	0.26	589.23	0.27	1588.96	0.17	895.05	0.29
K01894	gluQ	"glutamyl-Q tRNA(Asp) synthetase [EC:6.1.1.-]"	1	0.01	59.41	0.00	0.00	0.00	0.12	0.00	59.27	0.01	0.02	0.00
K07654	mtrB	"two-component system, OmpR family, sensor histidine kinase MtrB [EC:2.7.13.3]"	205	1.97	25246.11	1.61	2326.40	1.81	4388.58	2.04	12229.60	1.33	6301.54	2.08
K13482	xdhB	"xanthine dehydrogenase large subunit [EC:1.17.1.4]"	14	0.13	557.05	0.04	22.42	0.02	16.87	0.01	507.70	0.06	10.06	0.00
K03955	NDUFAB1	"NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1, acyl-carrier protein"	3	0.03	1825.40	0.12	300.81	0.23	564.11	0.26	107.27	0.01	853.20	0.28
K03676	grxC, GLRX, GLRX2	"glutaredoxin 3"	3	0.03	146.26	0.01	0.05	0.00	3.86	0.00	141.49	0.02	0.86	0.00
K03049	rpoE1	"DNA-directed RNA polymerase subunit E' [EC:2.7.7.6]"	11	0.11	2319.16	0.15	363.14	0.28	593.86	0.28	468.23	0.05	893.93	0.29
K18123	HOGA1	"4-hydroxy-2-oxoglutarate aldolase [EC:4.1.3.16]"	1	0.01	13.31	0.00	0.02	0.00	0.24	0.00	11.71	0.00	1.34	0.00
K02834	rbfA	"ribosome-binding factor A"	4	0.04	217.08	0.01	10.26	0.01	3.73	0.00	201.93	0.02	1.17	0.00
