#Accession	Name	Function	Count	Count_pct	Abund	Abund_pct	Abund_DLM2	Abund_pct_DLM2	Abund_GEM2	Abund_pct_GEM2	Abund_LCM1	Abund_pct_LCM1	Abund_PLM2	Abund_pct_PLM2
TIGR02170	thyX	"thymidylate synthase, flavin-dependent"	2	0.02	30.10	0.00	0.00	0.00	0.01	0.00	28.55	0.00	1.54	0.00
TIGR03026	NDP-sugDHase	"nucleotide sugar dehydrogenase"	3	0.03	230.89	0.01	0.01	0.00	0.68	0.00	226.72	0.02	3.47	0.00
TIGR01704	MTA/SAH-Nsdase	"MTA/SAH nucleosidase"	1	0.01	40.73	0.00	2.37	0.00	0.00	0.00	38.32	0.00	0.04	0.00
TIGR03792	TIGR03792	"uncharacterized cyanobacterial protein, TIGR03792 family"	1	0.01	72.73	0.00	0.00	0.00	0.02	0.00	72.68	0.01	0.03	0.00
TIGR00732	dprA	"DNA protecting protein DprA"	4	0.04	2116.63	0.14	325.56	0.25	585.67	0.27	314.21	0.03	891.18	0.29
TIGR01746	Thioester-redct	"thioester reductase domain"	1	0.01	92.95	0.01	0.00	0.00	0.04	0.00	92.89	0.01	0.02	0.00
TIGR00350	lytR_cpsA_psr	"cell envelope-related function transcriptional attenuator common domain"	5	0.05	224.88	0.01	5.30	0.00	0.32	0.00	218.94	0.02	0.32	0.00
TIGR02352	thiamin_ThiO	"glycine oxidase ThiO"	1	0.01	37.23	0.00	0.91	0.00	0.06	0.00	36.09	0.00	0.18	0.00
TIGR04282	glyco_like_cofC	"transferase 1, rSAM/selenodomain-associated"	1	0.01	12.82	0.00	0.00	0.00	0.02	0.00	11.46	0.00	1.33	0.00
TIGR02488	flgG_G_neg	"flagellar basal-body rod protein FlgG"	3	0.03	255.21	0.02	0.01	0.00	0.40	0.00	254.46	0.03	0.34	0.00
TIGR00344	alaS	"alanine--tRNA ligase"	2	0.02	53.55	0.00	2.37	0.00	0.03	0.00	49.78	0.01	1.38	0.00
TIGR00710	efflux_Bcr_CflA	"drug resistance transporter, Bcr/CflA subfamily"	2	0.02	216.37	0.01	0.23	0.00	0.45	0.00	215.27	0.02	0.43	0.00
TIGR00420	trmU	"tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase"	3	0.03	192.21	0.01	2.69	0.00	0.69	0.00	188.26	0.02	0.57	0.00
TIGR00023	TIGR00023	"acyl-phosphate glycerol 3-phosphate acyltransferase"	2	0.02	159.33	0.01	8.13	0.01	0.07	0.00	150.85	0.02	0.27	0.00
TIGR03504	FimV_Cterm	"FimV C-terminal domain"	1	0.01	55.78	0.00	0.03	0.00	0.08	0.00	55.60	0.01	0.06	0.00
TIGR00260	thrC	"threonine synthase"	3	0.03	259.34	0.02	10.14	0.01	1.86	0.00	244.14	0.03	3.21	0.00
TIGR00505	ribA	"GTP cyclohydrolase II"	4	0.04	366.98	0.02	10.40	0.01	0.53	0.00	355.39	0.04	0.66	0.00
TIGR00197	yjeF_nterm	"YjeF family N-terminal domain"	2	0.02	53.85	0.00	2.37	0.00	0.02	0.00	50.02	0.01	1.45	0.00
TIGR02881	spore_V_K	"stage V sporulation protein K"	1	0.01	78.70	0.01	7.86	0.01	0.06	0.00	70.54	0.01	0.25	0.00
TIGR01900	dapE-gram_pos	"succinyl-diaminopimelate desuccinylase"	1	0.01	25.47	0.00	0.12	0.00	0.14	0.00	25.10	0.00	0.12	0.00
TIGR01961	NuoC_fam	"NADH (or F420H2) dehydrogenase, subunit C"	3	0.03	293.88	0.02	0.92	0.00	0.81	0.00	290.59	0.03	1.56	0.00
TIGR03170	flgA_cterm	"flagella basal body P-ring formation protein FlgA"	3	0.03	255.21	0.02	0.01	0.00	0.40	0.00	254.46	0.03	0.34	0.00
TIGR01358	DAHP_synth_II	"3-deoxy-7-phosphoheptulonate synthase"	1	0.01	61.15	0.00	0.00	0.00	0.15	0.00	60.99	0.01	0.01	0.00
TIGR01351	adk	"adenylate kinase"	3	0.03	2036.92	0.13	325.56	0.25	585.68	0.27	234.59	0.03	891.09	0.29
TIGR03151	enACPred_II	"putative enoyl-[acyl-carrier-protein] reductase II"	1	0.01	40.73	0.00	2.37	0.00	0.00	0.00	38.32	0.00	0.04	0.00
TIGR01352	tonB_Cterm	"TonB family C-terminal domain"	4	0.04	121.38	0.01	12.02	0.01	1.71	0.00	103.15	0.01	4.49	0.00
TIGR04036	LLM_CE1758_fam	"putative luciferase-like monooxygenase, FMN-dependent, CE1758 family"	1	0.01	25.40	0.00	0.12	0.00	0.10	0.00	25.07	0.00	0.11	0.00
TIGR03706	exo_poly_only	"exopolyphosphatase"	1	0.01	13.15	0.00	0.26	0.00	0.00	0.00	12.83	0.00	0.06	0.00
TIGR01987	HI0074	"nucleotidyltransferase substrate binding protein, HI0074 family"	1	0.01	1783.23	0.11	282.94	0.22	587.09	0.27	15.03	0.00	898.17	0.30
TIGR01583	formate-DH-gamm	"formate dehydrogenase, gamma subunit"	1	0.01	217.06	0.01	0.01	0.00	0.47	0.00	216.16	0.02	0.42	0.00
TIGR00761	argB	"acetylglutamate kinase"	6	0.06	803.18	0.05	72.00	0.06	383.73	0.18	255.78	0.03	91.66	0.03
TIGR04191	YphP_YqiW	"putative bacilliredoxin, YphP/YqiW family"	1	0.01	86.60	0.01	8.13	0.01	0.05	0.00	78.17	0.01	0.24	0.00
TIGR01085	murE	"UDP-N-acetylmuramyl-tripeptide synthetase"	3	0.03	245.97	0.02	1.17	0.00	0.48	0.00	243.76	0.03	0.57	0.00
TIGR02412	pepN_strep_liv	"aminopeptidase N"	1	0.01	50.96	0.00	4.85	0.00	3.43	0.00	42.25	0.00	0.43	0.00
TIGR02095	glgA	"glycogen/starch synthase, ADP-glucose type"	3	0.03	1881.89	0.12	325.90	0.25	604.95	0.28	58.71	0.01	892.33	0.29
TIGR00507	aroE	"shikimate dehydrogenase"	2	0.02	66.93	0.00	0.88	0.00	3.58	0.00	61.38	0.01	1.08	0.00
TIGR01138	cysM	"cysteine synthase B"	1	0.01	41.89	0.00	1.18	0.00	0.06	0.00	40.37	0.00	0.28	0.00
TIGR00476	selD	"selenide, water dikinase"	2	0.02	281.50	0.02	7.87	0.01	0.49	0.00	272.58	0.03	0.57	0.00
TIGR01988	Ubi-OHases	"ubiquinone biosynthesis hydroxylase, UbiH/UbiF/VisC/COQ6 family"	1	0.01	72.73	0.00	0.00	0.00	0.02	0.00	72.68	0.01	0.03	0.00
TIGR00254	GGDEF	"diguanylate cyclase (GGDEF) domain"	31	0.30	3607.88	0.23	337.24	0.26	596.33	0.28	1779.43	0.19	894.88	0.29
TIGR02541	flagell_FlgJ	"flagellar rod assembly protein/muramidase FlgJ"	1	0.01	23.81	0.00	0.00	0.00	0.00	0.00	23.81	0.00	0.00	0.00
TIGR00878	purM	"phosphoribosylformylglycinamidine cyclo-ligase"	3	0.03	303.70	0.02	0.02	0.00	0.68	0.00	302.55	0.03	0.46	0.00
TIGR02467	CbiE	"precorrin-6y C5,15-methyltransferase (decarboxylating), CbiE subunit"	1	0.01	73.16	0.00	0.00	0.00	0.01	0.00	73.10	0.01	0.04	0.00
TIGR03695	menH_SHCHC	"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase"	2	0.02	84.16	0.01	0.00	0.00	0.05	0.00	82.61	0.01	1.50	0.00
TIGR02754	sod_Ni_protease	"nickel-type superoxide dismutase maturation protease"	1	0.01	25.68	0.00	0.12	0.00	0.11	0.00	25.33	0.00	0.13	0.00
TIGR04346	DotA_TraY	"conjugal transfer/type IV secretion protein DotA/TraY"	1	0.01	13.92	0.00	0.00	0.00	0.00	0.00	13.92	0.00	0.00	0.00
TIGR01063	gyrA	"DNA gyrase, A subunit"	4	0.04	253.95	0.02	7.59	0.01	0.67	0.00	243.41	0.03	2.28	0.00
TIGR00707	argD	"transaminase, acetylornithine/succinylornithine family"	6	0.06	335.83	0.02	13.89	0.01	9.43	0.00	308.67	0.03	3.83	0.00
TIGR00965	dapD	"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase"	1	0.01	27.05	0.00	0.01	0.00	3.50	0.00	22.65	0.00	0.88	0.00
TIGR01175	pilM	"type IV pilus assembly protein PilM"	1	0.01	66.73	0.00	0.00	0.00	0.15	0.00	66.54	0.01	0.04	0.00
TIGR01421	gluta_reduc_1	"glutathione-disulfide reductase"	1	0.01	49.69	0.00	2.47	0.00	0.00	0.00	47.19	0.01	0.04	0.00
TIGR00706	SppA_dom	"signal peptide peptidase SppA, 36K type"	3	0.03	245.34	0.02	7.77	0.01	0.25	0.00	236.96	0.03	0.36	0.00
TIGR02436	TIGR02436	"four helix bundle protein"	2	0.02	1790.85	0.11	298.41	0.23	564.13	0.26	75.21	0.01	853.10	0.28
TIGR02772	Ku_bact	"Ku protein"	1	0.01	6.74	0.00	0.00	0.00	0.00	0.00	6.74	0.00	0.00	0.00
TIGR00336	pyrE	"orotate phosphoribosyltransferase"	2	0.02	76.04	0.00	19.65	0.02	2.61	0.00	48.20	0.01	5.57	0.00
TIGR00975	3a0107s03	"phosphate ABC transporter, phosphate-binding protein PstS"	3	0.03	111.01	0.01	0.12	0.00	0.18	0.00	109.05	0.01	1.67	0.00
TIGR03550	F420_cofG	"7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase, CofG subunit"	2	0.02	41.21	0.00	0.48	0.00	0.17	0.00	40.35	0.00	0.21	0.00
TIGR00713	hemL	"glutamate-1-semialdehyde-2,1-aminomutase"	2	0.02	85.51	0.01	0.00	0.00	0.03	0.00	84.03	0.01	1.44	0.00
TIGR00011	YbaK_EbsC	"Cys-tRNA(Pro) deacylase"	2	0.02	1771.89	0.11	300.67	0.23	563.99	0.26	54.11	0.01	853.12	0.28
TIGR00174	miaA	"tRNA dimethylallyltransferase"	1	0.01	78.70	0.01	7.86	0.01	0.06	0.00	70.54	0.01	0.25	0.00
TIGR00649	MG423	"beta-CASP ribonuclease, RNase J family"	3	0.03	160.16	0.01	12.59	0.01	0.06	0.00	147.17	0.02	0.33	0.00
TIGR02098	MJ0042_CXXC	"MJ0042 family finger-like domain"	1	0.01	20.07	0.00	0.81	0.00	6.98	0.00	9.56	0.00	2.72	0.00
TIGR00546	lnt	"apolipoprotein N-acyltransferase"	2	0.02	266.62	0.02	4.87	0.00	3.95	0.00	256.96	0.03	0.84	0.00
TIGR00018	panC	"pantoate--beta-alanine ligase"	1	0.01	37.23	0.00	0.91	0.00	0.06	0.00	36.09	0.00	0.18	0.00
TIGR01142	purT	"phosphoribosylglycinamide formyltransferase 2"	2	0.02	72.74	0.00	0.00	0.00	0.17	0.00	72.52	0.01	0.05	0.00
TIGR03505	FimV_core	"FimV N-terminal domain"	2	0.02	77.09	0.00	0.03	0.00	0.08	0.00	76.91	0.01	0.07	0.00
TIGR00178	monomer_idh	"isocitrate dehydrogenase, NADP-dependent"	1	0.01	41.89	0.00	1.18	0.00	0.06	0.00	40.37	0.00	0.28	0.00
TIGR03898	lanti_MRSA_kill	"type 2 lantibiotic, mersacidin/lichenicidin family"	1	0.01	73.16	0.00	0.00	0.00	0.01	0.00	73.10	0.01	0.04	0.00
TIGR00447	pth	"aminoacyl-tRNA hydrolase"	5	0.05	335.12	0.02	10.12	0.01	20.35	0.01	301.02	0.03	3.64	0.00
TIGR01994	SUF_scaf_2	"SUF system FeS assembly protein, NifU family"	1	0.01	17.05	0.00	0.00	0.00	0.00	0.00	17.05	0.00	0.00	0.00
TIGR00665	DnaB	"replicative DNA helicase"	4	0.04	158.28	0.01	8.44	0.01	0.30	0.00	148.93	0.02	0.61	0.00
TIGR00527	gcvH	"glycine cleavage system H protein"	2	0.02	98.78	0.01	0.02	0.00	3.35	0.00	94.62	0.01	0.79	0.00
TIGR02286	PaaD	"phenylacetic acid degradation protein PaaD"	2	0.02	119.21	0.01	0.33	0.00	4.08	0.00	113.43	0.01	1.38	0.00
TIGR02058	lin0512_fam	"conserved hypothetical protein"	1	0.01	76.78	0.00	0.00	0.00	0.18	0.00	76.50	0.01	0.10	0.00
TIGR01574	miaB-methiolase	"tRNA-i(6)A37 thiotransferase enzyme MiaB"	4	0.04	2061.29	0.13	307.20	0.24	564.62	0.26	335.55	0.04	853.92	0.28
TIGR00297	TIGR00297	"TIGR00297 family protein"	1	0.01	72.80	0.00	0.00	0.00	0.01	0.00	72.76	0.01	0.02	0.00
TIGR02395	rpoN_sigma	"RNA polymerase sigma-54 factor"	2	0.02	55.34	0.00	2.52	0.00	0.00	0.00	52.72	0.01	0.10	0.00
TIGR02680	TIGR02680	"TIGR02680 family protein"	1	0.01	89.86	0.01	0.35	0.00	0.52	0.00	88.59	0.01	0.41	0.00
TIGR01135	glmS	"glutamine-fructose-6-phosphate transaminase (isomerizing)"	4	0.04	351.95	0.02	2.49	0.00	0.70	0.00	346.72	0.04	2.04	0.00
TIGR02273	16S_RimM	"16S rRNA processing protein RimM"	3	0.03	102.06	0.01	0.04	0.00	4.00	0.00	95.88	0.01	2.14	0.00
TIGR02595	PEP_exosort	"PEP-CTERM protein-sorting domain"	4	0.04	229.39	0.01	0.22	0.00	0.07	0.00	228.99	0.02	0.10	0.00
TIGR01877	cas_cas6	"CRISPR-associated endoribonuclease Cas6"	2	0.02	100.67	0.01	10.00	0.01	1.27	0.00	86.64	0.01	2.75	0.00
TIGR01879	hydantase	"amidase, hydantoinase/carbamoylase family"	1	0.01	42.14	0.00	0.24	0.00	16.39	0.01	23.21	0.00	2.31	0.00
TIGR00435	cysS	"cysteine--tRNA ligase"	3	0.03	102.75	0.01	12.43	0.01	0.32	0.00	89.58	0.01	0.42	0.00
TIGR04406	LPS_export_lptB	"LPS export ABC transporter ATP-binding protein"	2	0.02	53.25	0.00	0.26	0.00	0.00	0.00	52.93	0.01	0.07	0.00
TIGR01929	menB	"naphthoate synthase"	2	0.02	1886.79	0.12	325.55	0.25	585.18	0.27	86.70	0.01	889.36	0.29
TIGR02158	PA_CoA_Oxy3	"phenylacetate-CoA oxygenase, PaaI subunit"	2	0.02	52.45	0.00	0.13	0.00	3.60	0.00	47.73	0.01	0.99	0.00
TIGR01380	glut_syn	"glutathione synthase"	1	0.01	13.70	0.00	0.20	0.00	0.00	0.00	13.45	0.00	0.04	0.00
TIGR00593	pola	"DNA polymerase I"	2	0.02	146.61	0.01	10.13	0.01	0.08	0.00	136.07	0.01	0.33	0.00
TIGR00663	dnan	"DNA polymerase III, beta subunit"	2	0.02	98.06	0.01	0.12	0.00	0.12	0.00	97.66	0.01	0.16	0.00
TIGR02429	pcaI_scoA_fam	"3-oxoacid CoA-transferase, A subunit"	2	0.02	267.27	0.02	2.38	0.00	0.48	0.00	263.94	0.03	0.46	0.00
TIGR01079	rplX_bact	"ribosomal protein uL24"	2	0.02	1827.19	0.12	325.55	0.25	585.18	0.27	25.72	0.00	890.74	0.29
TIGR01417	PTS_I_fam	"phosphoenolpyruvate-protein phosphotransferase"	3	0.03	265.61	0.02	2.37	0.00	0.43	0.00	262.43	0.03	0.37	0.00
TIGR01131	ATP_synt_6_or_A	"ATP synthase F0, A subunit"	3	0.03	64.20	0.00	1.11	0.00	3.69	0.00	56.75	0.01	2.66	0.00
TIGR00062	L27	"ribosomal protein bL27"	4	0.04	346.89	0.02	10.17	0.01	1.16	0.00	334.48	0.04	1.08	0.00
TIGR04484	thiosulf_SoxA	"sulfur oxidation c-type cytochrome SoxA"	2	0.02	222.89	0.01	0.27	0.00	0.50	0.00	221.70	0.02	0.42	0.00
TIGR01017	rpsD_bact	"ribosomal protein uS4"	4	0.04	355.33	0.02	10.14	0.01	0.52	0.00	342.60	0.04	2.07	0.00
TIGR00069	hisD	"histidinol dehydrogenase"	3	0.03	158.68	0.01	0.26	0.00	0.03	0.00	158.27	0.02	0.12	0.00
TIGR01318	gltD_gamma_fam	"glutamate synthase, small subunit"	2	0.02	69.27	0.00	0.03	0.00	3.61	0.00	64.88	0.01	0.76	0.00
TIGR00543	isochor_syn	"isochorismate synthase"	1	0.01	73.16	0.00	0.00	0.00	0.01	0.00	73.10	0.01	0.04	0.00
TIGR00614	recQ_fam	"ATP-dependent DNA helicase, RecQ family"	3	0.03	331.95	0.02	10.51	0.01	0.70	0.00	319.81	0.03	0.93	0.00
TIGR01207	rmlA	"glucose-1-phosphate thymidylyltransferase"	3	0.03	321.56	0.02	0.05	0.00	0.87	0.00	319.92	0.03	0.72	0.00
TIGR03492	TIGR03492	"conserved hypothetical protein"	1	0.01	72.73	0.00	0.00	0.00	0.02	0.00	72.68	0.01	0.03	0.00
TIGR04350	C_S_lyase_PatB	"putative C-S lyase"	1	0.01	30.93	0.00	0.03	0.00	3.52	0.00	26.54	0.00	0.84	0.00
TIGR01554	major_cap_HK97	"phage major capsid protein, HK97 family"	1	0.01	216.75	0.01	0.12	0.00	0.65	0.00	215.33	0.02	0.66	0.00
TIGR03177	pilus_cpaB	"Flp pilus assembly protein CpaB"	1	0.01	217.06	0.01	0.01	0.00	0.47	0.00	216.16	0.02	0.42	0.00
TIGR00177	molyb_syn	"molybdenum cofactor synthesis domain"	4	0.04	1921.86	0.12	308.64	0.24	564.06	0.26	195.75	0.02	853.41	0.28
TIGR03384	betaine_BetI	"transcriptional repressor BetI"	1	0.01	191.30	0.01	0.01	0.00	0.40	0.00	190.55	0.02	0.34	0.00
TIGR02150	IPP_isom_1	"isopentenyl-diphosphate delta-isomerase"	1	0.01	25.00	0.00	0.05	0.00	3.18	0.00	21.08	0.00	0.69	0.00
TIGR00157	TIGR00157	"ribosome small subunit-dependent GTPase A"	3	0.03	109.60	0.01	2.40	0.00	0.15	0.00	105.51	0.01	1.53	0.00
TIGR00275	TIGR00275	"flavoprotein, HI0933 family"	6	0.06	543.71	0.03	0.12	0.00	4.82	0.00	534.74	0.06	4.03	0.00
TIGR00987	himA	"integration host factor, alpha subunit"	2	0.02	98.39	0.01	0.00	0.00	0.12	0.00	98.24	0.01	0.03	0.00
TIGR00595	priA	"primosomal protein N'"	1	0.01	40.73	0.00	2.37	0.00	0.00	0.00	38.32	0.00	0.04	0.00
TIGR03897	lanti_2_LanM	"type 2 lantibiotic biosynthesis protein LanM"	1	0.01	73.16	0.00	0.00	0.00	0.01	0.00	73.10	0.01	0.04	0.00
TIGR00456	argS	"arginine--tRNA ligase"	4	0.04	211.39	0.01	0.26	0.00	0.48	0.00	210.41	0.02	0.24	0.00
TIGR01009	rpsC_bact	"ribosomal protein uS3"	1	0.01	1814.06	0.12	325.55	0.25	585.16	0.27	14.02	0.00	889.33	0.29
TIGR00842	bcct	"transporter, betaine/carnitine/choline transporter (BCCT) family"	7	0.07	342.51	0.02	6.97	0.01	4.80	0.00	327.47	0.04	3.27	0.00
TIGR02707	butyr_kinase	"butyrate kinase"	3	0.03	145.84	0.01	10.39	0.01	0.06	0.00	135.11	0.01	0.28	0.00
TIGR01245	trpD	"anthranilate phosphoribosyltransferase"	3	0.03	132.54	0.01	0.91	0.00	0.06	0.00	131.37	0.01	0.19	0.00
TIGR01435	glu_cys_lig_rel	"glutamate--cysteine ligase/glutathione synthase"	1	0.01	40.73	0.00	2.37	0.00	0.00	0.00	38.32	0.00	0.04	0.00
TIGR01550	DOC_P1	"death-on-curing family protein"	1	0.01	71.59	0.00	0.00	0.00	0.01	0.00	71.56	0.01	0.02	0.00
TIGR00763	lon	"endopeptidase La"	1	0.01	27.20	0.00	9.77	0.01	1.08	0.00	13.70	0.00	2.65	0.00
TIGR00181	pepF	"oligoendopeptidase F"	1	0.01	40.73	0.00	2.37	0.00	0.00	0.00	38.32	0.00	0.04	0.00
TIGR01037	pyrD_sub1_fam	"dihydroorotate dehydrogenase family protein"	2	0.02	82.87	0.01	2.60	0.00	16.39	0.01	61.52	0.01	2.35	0.00
TIGR01059	gyrB	"DNA gyrase, B subunit"	2	0.02	38.83	0.00	0.12	0.00	0.12	0.00	37.08	0.00	1.51	0.00
TIGR00096	TIGR00096	"16S rRNA (cytidine(1402)-2'-O)-methyltransferase"	1	0.01	13.15	0.00	0.26	0.00	0.00	0.00	12.83	0.00	0.06	0.00
TIGR00472	pheT_bact	"phenylalanine--tRNA ligase, beta subunit"	4	0.04	310.47	0.02	13.77	0.01	5.92	0.00	287.68	0.03	3.10	0.00
TIGR02188	Ac_CoA_lig_AcsA	"acetate--CoA ligase"	1	0.01	209.74	0.01	0.01	0.00	0.50	0.00	208.87	0.02	0.36	0.00
TIGR02330	prpD	"2-methylcitrate dehydratase"	1	0.01	29.10	0.00	0.00	0.00	0.28	0.00	28.76	0.00	0.07	0.00
TIGR03828	pfkB	"1-phosphofructokinase"	1	0.01	22.08	0.00	0.00	0.00	0.00	0.00	22.07	0.00	0.01	0.00
TIGR01670	KdsC-phosphatas	"3-deoxy-D-manno-octulosonate 8-phosphate phosphatase, YrbI family"	1	0.01	13.15	0.00	0.26	0.00	0.00	0.00	12.83	0.00	0.06	0.00
TIGR02317	prpB	"methylisocitrate lyase"	1	0.01	60.25	0.00	0.00	0.00	0.13	0.00	60.08	0.01	0.04	0.00
TIGR02982	heterocyst_DevA	"ABC exporter ATP-binding subunit, DevA family"	2	0.02	85.35	0.01	0.27	0.00	0.04	0.00	84.88	0.01	0.16	0.00
TIGR00765	yihY_not_rbn	"YihY family inner membrane protein"	5	0.05	347.11	0.02	1.22	0.00	4.14	0.00	340.25	0.04	1.50	0.00
TIGR00566	trpG_papA	"glutamine amidotransferase of anthranilate synthase or aminodeoxychorismate synthase"	2	0.02	35.14	0.00	0.00	0.00	0.02	0.00	33.70	0.00	1.42	0.00
TIGR00950	2A78	"carboxylate/amino acid/amine transporter"	1	0.01	22.08	0.00	0.00	0.00	0.00	0.00	22.07	0.00	0.01	0.00
TIGR02443	TIGR02443	"conserved hypothetical protein"	1	0.01	27.75	0.00	0.00	0.00	0.00	0.00	27.75	0.00	0.00	0.00
TIGR02123	TRAP_fused	"TRAP transporter, 4TM/12TM fusion protein"	5	0.05	506.91	0.03	0.31	0.00	17.49	0.01	486.08	0.05	3.03	0.00
TIGR01763	MalateDH_bact	"malate dehydrogenase, NAD-dependent"	3	0.03	172.81	0.01	8.64	0.01	3.67	0.00	159.13	0.02	1.37	0.00
TIGR00029	S20	"ribosomal protein bS20"	6	0.06	317.38	0.02	6.28	0.00	1.11	0.00	309.21	0.03	0.79	0.00
TIGR02770	nickel_nikD	"nickel import ATP-binding protein NikD"	4	0.04	297.04	0.02	0.10	0.00	10.84	0.01	283.33	0.03	2.77	0.00
TIGR01792	urease_alph	"urease, alpha subunit"	1	0.01	195.59	0.01	0.01	0.00	0.42	0.00	194.83	0.02	0.33	0.00
TIGR01810	betA	"choline dehydrogenase"	1	0.01	191.30	0.01	0.01	0.00	0.40	0.00	190.55	0.02	0.34	0.00
TIGR00281	TIGR00281	"segregation and condensation protein B"	8	0.08	2234.92	0.14	314.53	0.25	568.03	0.26	497.97	0.05	854.38	0.28
TIGR01275	ACC_deam_rel	"pyridoxal phosphate-dependent enzymes, D-cysteine desulfhydrase family"	2	0.02	52.74	0.00	0.27	0.00	0.03	0.00	52.29	0.01	0.15	0.00
TIGR00199	PncC_domain	"amidohydrolase, PncC family"	3	0.03	336.18	0.02	10.34	0.01	0.71	0.00	324.18	0.04	0.95	0.00
TIGR03142	cytochro_ccmI	"cytochrome c-type biogenesis protein CcmI"	2	0.02	220.46	0.01	0.03	0.00	4.01	0.00	215.33	0.02	1.09	0.00
TIGR00726	TIGR00726	"YfiH family protein"	3	0.03	1814.72	0.12	300.97	0.23	580.60	0.27	77.72	0.01	855.43	0.28
TIGR03427	ABC_peri_uca	"ABC transporter periplasmic binding protein, urea carboxylase region"	1	0.01	195.59	0.01	0.01	0.00	0.42	0.00	194.83	0.02	0.33	0.00
TIGR00377	ant_ant_sig	"anti-anti-sigma factor"	2	0.02	85.18	0.01	0.00	0.00	0.04	0.00	83.70	0.01	1.43	0.00
TIGR01241	FtsH_fam	"ATP-dependent metallopeptidase HflB"	4	0.04	184.94	0.01	4.06	0.00	0.24	0.00	180.17	0.02	0.47	0.00
TIGR00423	TIGR00423	"radical SAM domain protein, CofH subfamily"	3	0.03	147.10	0.01	8.24	0.01	0.26	0.00	138.10	0.02	0.50	0.00
TIGR02654	circ_KaiB	"circadian clock protein KaiB"	1	0.01	70.45	0.00	0.00	0.00	0.03	0.00	70.38	0.01	0.04	0.00
TIGR01098	3A0109s03R	"phosphate/phosphite/phosphonate ABC transporter, periplasmic binding protein"	1	0.01	12.91	0.00	0.21	0.00	0.00	0.00	12.65	0.00	0.04	0.00
