#Enzyme_id	Name	Count	Count_pct	Abund	Abund_pct	Abund_DLM2	Abund_pct_DLM2	Abund_GEM2	Abund_pct_GEM2	Abund_LCM1	Abund_pct_LCM1	Abund_PLM2	Abund_pct_PLM2
3.7.1.20	"3-fumarylpyruvate hydrolase."	1	0.01	30.93	0.00	0.03	0.00	3.52	0.00	26.54	0.00	0.84	0.00
2.1.3.15	"Acetyl-CoA carboxytransferase."	10	0.10	857.59	0.05	20.32	0.02	1.52	0.00	832.45	0.09	3.29	0.00
6.3.2.2	"Glutamate--cysteine ligase."	1	0.01	40.73	0.00	2.37	0.00	0.00	0.00	38.32	0.00	0.04	0.00
5.1.2.3	"3-hydroxybutyryl-CoA epimerase."	5	0.05	156.57	0.01	0.05	0.00	3.64	0.00	150.37	0.02	2.51	0.00
6.1.1.15	"Proline--tRNA ligase."	4	0.04	339.75	0.02	17.70	0.01	0.57	0.00	320.63	0.03	0.85	0.00
4.1.2.14 4.1.3.16	""	1	0.01	13.70	0.00	0.20	0.00	0.00	0.00	13.45	0.00	0.04	0.00
1.14.13.9	"Kynurenine 3-monooxygenase."	1	0.01	61.65	0.00	0.00	0.00	0.14	0.00	61.46	0.01	0.04	0.00
3.5.2.10	"Creatininase."	1	0.01	13.71	0.00	0.00	0.00	0.01	0.00	12.23	0.00	1.46	0.00
1.3.1.103	"2-haloacrylate reductase."	1	0.01	91.39	0.01	0.33	0.00	0.61	0.00	90.02	0.01	0.43	0.00
1.6.3.5	"Renalase."	1	0.01	195.59	0.01	0.01	0.00	0.42	0.00	194.83	0.02	0.33	0.00
2.7.8.13	"Phospho-N-acetylmuramoyl-pentapeptide-transferase."	5	0.05	310.57	0.02	11.01	0.01	0.59	0.00	298.16	0.03	0.82	0.00
1.1.1.37	"Malate dehydrogenase."	4	0.04	233.97	0.01	8.64	0.01	3.81	0.00	220.12	0.02	1.39	0.00
2.4.2.19	"Nicotinate-nucleotide diphosphorylase (carboxylating)."	3	0.03	311.62	0.02	0.01	0.00	0.67	0.00	309.01	0.03	1.94	0.00
6.3.2.12	"Dihydrofolate synthase."	4	0.04	306.76	0.02	0.17	0.00	0.83	0.00	304.95	0.03	0.81	0.00
1.3.-.-	"Acting on the CH-CH group of donors."	4	0.04	139.60	0.01	2.90	0.00	33.03	0.02	97.60	0.01	6.07	0.00
6.3.1.18	"Gamma-glutamylanilide synthase."	1	0.01	29.16	0.00	0.03	0.00	3.61	0.00	24.78	0.00	0.76	0.00
2.7.1.148	"4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase."	4	0.04	305.72	0.02	2.40	0.00	3.85	0.00	296.92	0.03	2.55	0.00
2.7.7.7	"DNA-directed DNA polymerase."	42	0.40	2280.06	0.15	94.34	0.07	35.00	0.02	2132.57	0.23	18.15	0.01
3.1.4.54	"N-acetylphosphatidylethanolamine-hydrolyzing phospholipase D."	1	0.01	13.76	0.00	0.27	0.00	0.03	0.00	13.32	0.00	0.15	0.00
2.3.2.29	"Aspartate/glutamate leucyltransferase."	1	0.01	202.80	0.01	0.00	0.00	0.43	0.00	202.04	0.02	0.33	0.00
6.3.2.9	"UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase."	8	0.08	455.59	0.03	3.70	0.00	4.17	0.00	446.15	0.05	1.58	0.00
4.99.1.4	"Sirohydrochlorin ferrochelatase."	3	0.03	417.24	0.03	0.02	0.00	1.05	0.00	415.18	0.05	0.99	0.00
1.1.1.62	"17-beta-estradiol 17-dehydrogenase."	1	0.01	25.00	0.00	0.05	0.00	3.18	0.00	21.08	0.00	0.69	0.00
1.5.3.10	"Dimethylglycine oxidase."	1	0.01	25.03	0.00	0.13	0.00	0.10	0.00	24.72	0.00	0.09	0.00
4.1.1.45	"Aminocarboxymuconate-semialdehyde decarboxylase."	1	0.01	61.65	0.00	0.00	0.00	0.14	0.00	61.46	0.01	0.04	0.00
1.1.1.346	"2,5-didehydrogluconate reductase (2-dehydro-L-gulonate-forming)."	2	0.02	85.05	0.01	0.00	0.00	0.14	0.00	84.87	0.01	0.04	0.00
6.3.2.34	"Coenzyme F420-1:gamma-L-glutamate ligase."	1	0.01	27.64	0.00	0.26	0.00	0.16	0.00	27.12	0.00	0.10	0.00
1.14.11.-	"With 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors."	2	0.02	263.05	0.02	0.00	0.00	0.56	0.00	262.12	0.03	0.36	0.00
1.10.3.-	"With oxygen as acceptor."	10	0.10	2239.05	0.14	310.89	0.24	582.66	0.27	486.85	0.05	858.64	0.28
2.7.1.49 2.7.4.7	""	4	0.04	318.63	0.02	2.41	0.00	0.51	0.00	315.27	0.03	0.44	0.00
2.4.1.18	"1,4-alpha-glucan branching enzyme."	4	0.04	249.05	0.02	1.80	0.00	17.26	0.01	226.89	0.02	3.09	0.00
2.7.1.85	"Beta-glucoside kinase."	1	0.01	49.69	0.00	2.47	0.00	0.00	0.00	47.19	0.01	0.04	0.00
1.14.99.48	"Heme oxygenase (staphylobilin-producing)."	1	0.01	98.44	0.01	6.47	0.01	0.01	0.00	91.67	0.01	0.29	0.00
1.1.1.25	"Shikimate dehydrogenase."	2	0.02	66.93	0.00	0.88	0.00	3.58	0.00	61.38	0.01	1.08	0.00
2.8.1.12	"Molybdopterin synthase."	2	0.02	93.69	0.01	0.00	0.00	0.02	0.00	93.64	0.01	0.04	0.00
4.2.99.20	"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase."	2	0.02	84.16	0.01	0.00	0.00	0.05	0.00	82.61	0.01	1.50	0.00
2.6.1.21	"D-amino-acid transaminase."	2	0.02	54.04	0.00	2.39	0.00	0.24	0.00	50.03	0.01	1.38	0.00
1.1.1.85	"3-isopropylmalate dehydrogenase."	4	0.04	89.04	0.01	0.12	0.00	0.43	0.00	86.92	0.01	1.58	0.00
2.4.2.14	"Amidophosphoribosyltransferase."	4	0.04	175.48	0.01	0.94	0.00	0.28	0.00	173.99	0.02	0.26	0.00
5.4.99.15	"(1->4)-alpha-D-glucan 1-alpha-D-glucosylmutase."	1	0.01	41.89	0.00	1.18	0.00	0.06	0.00	40.37	0.00	0.28	0.00
3.4.24.70	"Oligopeptidase A."	4	0.04	124.88	0.01	10.03	0.01	1.35	0.00	109.18	0.01	4.33	0.00
5.1.3.1	"Ribulose-phosphate 3-epimerase."	3	0.03	253.26	0.02	2.38	0.00	0.40	0.00	250.10	0.03	0.38	0.00
3.1.3.11	"Fructose-bisphosphatase."	3	0.03	1827.18	0.12	299.32	0.23	564.17	0.26	110.39	0.01	853.30	0.28
1.1.1.107	"Pyridoxal 4-dehydrogenase."	1	0.01	52.34	0.00	0.42	0.00	0.34	0.00	50.97	0.01	0.61	0.00
2.1.1.130	"Precorrin-2 C(20)-methyltransferase."	1	0.01	73.16	0.00	0.00	0.00	0.01	0.00	73.10	0.01	0.04	0.00
1.7.-.-	"Acting on other nitrogenous compounds as donors."	1	0.01	204.63	0.01	0.01	0.00	0.65	0.00	203.32	0.02	0.64	0.00
2.7.1.170	"Anhydro-N-acetylmuramic acid kinase."	3	0.03	817.76	0.05	58.03	0.05	378.11	0.18	292.90	0.03	88.71	0.03
3.5.2.12	"6-aminohexanoate-cyclic-dimer hydrolase."	1	0.01	49.69	0.00	2.47	0.00	0.00	0.00	47.19	0.01	0.04	0.00
2.8.3.6	"3-oxoadipate CoA-transferase."	1	0.01	29.10	0.00	0.00	0.00	0.28	0.00	28.76	0.00	0.07	0.00
1.17.7.4	"4-hydroxy-3-methylbut-2-enyl diphosphate reductase."	4	0.04	2003.84	0.13	298.42	0.23	564.46	0.26	285.79	0.03	855.17	0.28
6.4.1.4	"Methylcrotonoyl-CoA carboxylase."	6	0.06	562.32	0.04	0.09	0.00	8.01	0.00	552.01	0.06	2.21	0.00
2.3.2.5	"Glutaminyl-peptide cyclotransferase."	1	0.01	76.88	0.00	20.85	0.02	18.93	0.01	19.94	0.00	17.16	0.01
2.7.6.3	"2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase."	1	0.01	42.83	0.00	0.30	0.00	16.61	0.01	23.61	0.00	2.31	0.00
2.6.1.62	"Adenosylmethionine--8-amino-7-oxononanoate transaminase."	1	0.01	66.73	0.00	0.00	0.00	0.15	0.00	66.54	0.01	0.04	0.00
3.5.3.11	"Agmatinase."	3	0.03	273.54	0.02	0.01	0.00	0.42	0.00	272.77	0.03	0.34	0.00
6.3.5.-	"Carbon--nitrogen ligases with glutamine as amido-N-donor."	8	0.08	651.92	0.04	11.44	0.01	36.23	0.02	595.00	0.06	9.25	0.00
3.6.1.8	"ATP diphosphatase."	3	0.03	138.46	0.01	0.91	0.00	0.23	0.00	137.12	0.01	0.21	0.00
5.4.99.23	"23S rRNA pseudouridine(1911/1915/1917) synthase."	1	0.01	42.83	0.00	0.30	0.00	16.61	0.01	23.61	0.00	2.31	0.00
3.5.1.2	"Glutaminase."	1	0.01	26.43	0.00	0.12	0.00	0.11	0.00	26.14	0.00	0.05	0.00
1.3.1.25	"1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase."	1	0.01	215.66	0.01	0.02	0.00	0.52	0.00	214.71	0.02	0.41	0.00
4.4.1.13	"Cysteine-S-conjugate beta-lyase."	2	0.02	44.69	0.00	0.30	0.00	3.54	0.00	39.86	0.00	0.99	0.00
4.1.1.21	"Phosphoribosylaminoimidazole carboxylase."	4	0.04	534.55	0.03	0.05	0.00	4.48	0.00	528.32	0.06	1.71	0.00
2.7.7.89	"[Glutamine synthetase]-adenylyl-L-tyrosine phosphorylase."	1	0.01	202.80	0.01	0.00	0.00	0.43	0.00	202.04	0.02	0.33	0.00
1.1.98.3	"Decaprenylphospho-beta-D-ribofuranose 2-dehydrogenase."	2	0.02	66.89	0.00	1.23	0.00	3.23	0.00	61.45	0.01	0.98	0.00
4.2.1.149	"Crotonobetainyl-CoA hydratase."	3	0.03	109.75	0.01	0.29	0.00	4.06	0.00	104.42	0.01	0.98	0.00
2.4.2.22	"Xanthine phosphoribosyltransferase."	2	0.02	42.63	0.00	0.00	0.00	0.00	0.00	42.61	0.00	0.02	0.00
2.7.1.33	"Pantothenate kinase."	4	0.04	366.38	0.02	11.96	0.01	0.94	0.00	350.18	0.04	3.29	0.00
1.4.1.3	"Glutamate dehydrogenase (NAD(P)(+))."	3	0.03	122.45	0.01	0.78	0.00	0.08	0.00	119.97	0.01	1.62	0.00
4.3.1.17	"L-serine ammonia-lyase."	2	0.02	80.22	0.01	0.00	0.00	0.16	0.00	78.48	0.01	1.57	0.00
1.97.1.12	"Photosystem I."	1	0.01	72.17	0.00	0.00	0.00	0.02	0.00	72.14	0.01	0.01	0.00
1.14.13.24	"3-hydroxybenzoate 6-monooxygenase."	4	0.04	303.35	0.02	0.27	0.00	20.31	0.01	279.27	0.03	3.49	0.00
2.7.9.2	"Pyruvate, water dikinase."	4	0.04	126.68	0.01	0.82	0.00	0.19	0.00	124.00	0.01	1.68	0.00
2.1.1.63	"Methylated-DNA--[protein]-cysteine S-methyltransferase."	2	0.02	119.68	0.01	6.48	0.01	0.01	0.00	112.90	0.01	0.29	0.00
2.7.2.3	"Phosphoglycerate kinase."	7	0.07	400.82	0.03	6.15	0.00	20.29	0.01	371.03	0.04	3.36	0.00
1.3.8.2	"4,4'-diapophytoene desaturase (4,4'-diapolycopene-forming)."	1	0.01	86.60	0.01	8.13	0.01	0.05	0.00	78.17	0.01	0.24	0.00
4.1.2.13	"Fructose-bisphosphate aldolase."	5	0.05	166.99	0.01	0.47	0.00	0.04	0.00	166.25	0.02	0.22	0.00
7.5.2.-	"Linked to the hydrolysis of a nucleoside triphosphate."	2	0.02	76.64	0.00	4.97	0.00	3.54	0.00	67.58	0.01	0.56	0.00
1.8.1.8	"Protein-disulfide reductase."	1	0.01	27.05	0.00	0.01	0.00	3.50	0.00	22.65	0.00	0.88	0.00
3.1.1.96	"D-aminoacyl-tRNA deacylase."	4	0.04	152.03	0.01	2.48	0.00	0.15	0.00	147.87	0.02	1.53	0.00
4.2.1.1	"Carbonic anhydrase."	1	0.01	13.76	0.00	0.27	0.00	0.03	0.00	13.32	0.00	0.15	0.00
2.1.1.192	"23S rRNA (adenine(2503)-C(2))-methyltransferase."	5	0.05	2181.79	0.14	326.50	0.25	585.80	0.27	379.56	0.04	889.93	0.29
5.4.2.-	"Phosphotransferases (phosphomutases)."	1	0.01	25.03	0.00	0.13	0.00	0.10	0.00	24.72	0.00	0.09	0.00
2.3.1.51	"1-acylglycerol-3-phosphate O-acyltransferase."	1	0.01	27.87	0.00	10.00	0.01	1.26	0.00	13.88	0.00	2.73	0.00
2.5.1.147	"5-amino-6-(D-ribitylamino)uracil--L-tyrosine 4-hydroxyphenyl transferase."	2	0.02	41.21	0.00	0.48	0.00	0.17	0.00	40.35	0.00	0.21	0.00
2.7.7.85	"Diadenylate cyclase."	1	0.01	37.23	0.00	0.91	0.00	0.06	0.00	36.09	0.00	0.18	0.00
5.3.2.-	"Interconverting keto- and enol-groups."	1	0.01	72.42	0.00	0.01	0.00	0.04	0.00	72.35	0.01	0.02	0.00
6.3.5.5	"Carbamoyl-phosphate synthase (glutamine-hydrolyzing)."	11	0.11	616.73	0.04	89.23	0.07	11.20	0.01	493.73	0.05	22.57	0.01
5.4.99.-	"Transferring other groups."	13	0.13	793.23	0.05	37.67	0.03	22.47	0.01	726.21	0.08	6.88	0.00
2.4.2.2	"Pyrimidine-nucleoside phosphorylase."	4	0.04	213.19	0.01	15.44	0.01	3.72	0.00	193.29	0.02	0.73	0.00
1.1.1.31	"3-hydroxyisobutyrate dehydrogenase."	1	0.01	202.80	0.01	0.00	0.00	0.43	0.00	202.04	0.02	0.33	0.00
2.1.1.74	"Methylenetetrahydrofolate--tRNA-(uracil(54)-C(5))-methyltransferase"	1	0.01	74.07	0.00	0.00	0.00	0.01	0.00	74.05	0.01	0.01	0.00
2.4.1.336	"Monoglucosyldiacylglycerol synthase."	1	0.01	72.38	0.00	0.00	0.00	0.02	0.00	72.33	0.01	0.03	0.00
2.7.1.12	"Gluconokinase."	2	0.02	162.24	0.01	0.35	0.00	0.53	0.00	160.93	0.02	0.43	0.00
1.13.12.-	"With incorporation of one atom of oxygen (internal monooxygenases or internal mixed function oxidases)."	2	0.02	53.88	0.00	2.62	0.00	0.00	0.00	51.15	0.01	0.10	0.00
3.3.1.1	"Adenosylhomocysteinase."	2	0.02	91.06	0.01	4.85	0.00	3.43	0.00	82.35	0.01	0.43	0.00
2.7.1.2	"Glucokinase."	2	0.02	96.47	0.01	8.13	0.01	0.05	0.00	88.05	0.01	0.24	0.00
3.6.3.24	"Transferred entry: 7.2.2.11."	4	0.04	297.04	0.02	0.10	0.00	10.84	0.01	283.33	0.03	2.77	0.00
1.14.12.7	"Phthalate 4,5-dioxygenase."	1	0.01	29.16	0.00	0.03	0.00	3.61	0.00	24.78	0.00	0.76	0.00
2.7.7.68	"Phosphoenolpyruvate guanylyltransferase."	1	0.01	13.57	0.00	0.23	0.00	0.01	0.00	13.23	0.00	0.10	0.00
5.6.2.2	"DNA topoisomerase (ATP-hydrolyzing)."	3	0.03	374.47	0.02	15.73	0.01	0.59	0.00	357.23	0.04	0.92	0.00
6.3.4.13	"Phosphoribosylamine--glycine ligase."	2	0.02	228.48	0.01	0.02	0.00	0.55	0.00	226.17	0.02	1.74	0.00
4.2.1.46	"dTDP-glucose 4,6-dehydratase."	3	0.03	321.56	0.02	0.05	0.00	0.87	0.00	319.92	0.03	0.72	0.00
3.1.1.84	"Cocaine esterase."	1	0.01	1814.06	0.12	325.55	0.25	585.16	0.27	14.02	0.00	889.33	0.29
2.7.7.72	"CCA tRNA nucleotidyltransferase."	3	0.03	97.08	0.01	0.14	0.00	0.24	0.00	95.17	0.01	1.52	0.00
6.2.1.5	"Succinate--CoA ligase (ADP-forming)."	3	0.03	149.51	0.01	9.77	0.01	1.37	0.00	135.69	0.01	2.68	0.00
6.3.1.19	"Prokaryotic ubiquitin-like protein ligase."	1	0.01	50.96	0.00	4.85	0.00	3.43	0.00	42.25	0.00	0.43	0.00
2.2.1.2	"Transaldolase."	4	0.04	1940.26	0.12	284.43	0.22	587.88	0.27	169.01	0.02	898.94	0.30
1.1.1.205	"IMP dehydrogenase."	4	0.04	262.36	0.02	26.85	0.02	1.21	0.00	231.75	0.03	2.56	0.00
6.6.1.1	"Magnesium chelatase."	3	0.03	98.57	0.01	0.00	0.00	0.03	0.00	95.45	0.01	3.09	0.00
1.8.1.-	"With NAD(+) or NADP(+) as acceptor."	1	0.01	21.24	0.00	0.00	0.00	0.00	0.00	21.23	0.00	0.00	0.00
1.14.11.44	"(R)-dichlorprop dioxygenase (2-oxoglutarate)."	1	0.01	13.76	0.00	0.27	0.00	0.03	0.00	13.32	0.00	0.15	0.00
2.1.1.44	"L-histidine N(alpha)-methyltransferase."	3	0.03	1888.92	0.12	325.55	0.25	585.32	0.27	87.24	0.01	890.80	0.29
2.3.1.117	"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase."	2	0.02	52.52	0.00	0.13	0.00	3.64	0.00	47.76	0.01	1.00	0.00
3.5.1.47	"N-acetyldiaminopimelate deacetylase."	1	0.01	78.70	0.01	7.86	0.01	0.06	0.00	70.54	0.01	0.25	0.00
3.4.-.-	"Acting on peptide bonds (peptidases)."	20	0.19	1578.96	0.10	49.40	0.04	16.52	0.01	1501.10	0.16	11.95	0.00
2.5.1.7	"UDP-N-acetylglucosamine 1-carboxyvinyltransferase."	2	0.02	37.03	0.00	7.73	0.01	0.11	0.00	28.92	0.00	0.27	0.00
2.5.1.54	"3-deoxy-7-phosphoheptulonate synthase."	1	0.01	61.15	0.00	0.00	0.00	0.15	0.00	60.99	0.01	0.01	0.00
3.4.11.18	"Methionyl aminopeptidase."	5	0.05	340.45	0.02	0.29	0.00	4.13	0.00	333.30	0.04	2.73	0.00
2.7.1.36	"Mevalonate kinase."	1	0.01	49.69	0.00	2.47	0.00	0.00	0.00	47.19	0.01	0.04	0.00
3.1.5.1	"dGTPase."	3	0.03	262.32	0.02	0.01	0.00	0.42	0.00	261.55	0.03	0.34	0.00
5.1.3.12	"UDP-glucuronate 5'-epimerase."	1	0.01	204.63	0.01	0.01	0.00	0.65	0.00	203.32	0.02	0.64	0.00
2.7.7.53	"ATP adenylyltransferase."	1	0.01	72.38	0.00	0.00	0.00	0.02	0.00	72.33	0.01	0.03	0.00
4.4.-.-	"Carbon-sulfur lyases."	1	0.01	30.93	0.00	0.03	0.00	3.52	0.00	26.54	0.00	0.84	0.00
4.3.1.3	"Histidine ammonia-lyase."	1	0.01	27.05	0.00	0.01	0.00	3.50	0.00	22.65	0.00	0.88	0.00
4.3.2.10	"Imidazole glycerol-phosphate synthase."	3	0.03	225.41	0.01	0.02	0.00	3.99	0.00	220.18	0.02	1.22	0.00
2.5.1.47	"Cysteine synthase."	3	0.03	135.56	0.01	1.19	0.00	0.10	0.00	133.96	0.01	0.31	0.00
6.1.1.20	"Phenylalanine--tRNA ligase."	8	0.08	620.93	0.04	27.53	0.02	11.84	0.01	575.35	0.06	6.20	0.00
2.1.2.1	"Glycine hydroxymethyltransferase."	2	0.02	41.73	0.00	0.03	0.00	3.94	0.00	35.46	0.00	2.29	0.00
1.2.1.41	"Glutamate-5-semialdehyde dehydrogenase."	2	0.02	149.15	0.01	7.86	0.01	0.09	0.00	140.91	0.02	0.29	0.00
2.8.3.8	"Acetate CoA-transferase."	1	0.01	50.21	0.00	2.37	0.00	0.01	0.00	47.79	0.01	0.04	0.00
3.1.25.-	"Site-specific endodeoxyribonucleases specific for altered bases."	12	0.12	712.41	0.05	21.81	0.02	11.23	0.01	674.78	0.07	4.59	0.00
4.2.-.-	"Carbon-oxygen lyases."	1	0.01	42.19	0.00	2.26	0.00	0.00	0.00	39.89	0.00	0.03	0.00
2.1.1.107	"Uroporphyrinogen-III C-methyltransferase."	4	0.04	486.75	0.03	0.02	0.00	1.07	0.00	484.65	0.05	1.02	0.00
3.6.3.14	"Transferred entry: 7.1.2.2."	23	0.22	624.97	0.04	28.77	0.02	7.74	0.00	567.87	0.06	20.59	0.01
2.5.1.17	"Corrinoid adenosyltransferase."	4	0.04	369.87	0.02	18.13	0.01	1.79	0.00	346.60	0.04	3.35	0.00
3.5.1.3	"Omega-amidase."	1	0.01	60.25	0.00	0.00	0.00	0.13	0.00	60.08	0.01	0.04	0.00
1.18.6.1	"Nitrogenase."	4	0.04	289.44	0.02	0.02	0.00	0.14	0.00	289.20	0.03	0.08	0.00
2.-.-.-	"Transferases."	8	0.08	258.20	0.02	0.41	0.00	7.83	0.00	246.76	0.03	3.19	0.00
3.1.26.8	"Ribonuclease M5."	1	0.01	50.21	0.00	2.37	0.00	0.01	0.00	47.79	0.01	0.04	0.00
3.1.3.5	"5'-nucleotidase."	7	0.07	348.15	0.02	24.74	0.02	7.89	0.00	305.52	0.03	10.00	0.00
7.3.2.1	"ABC-type phosphate transporter."	5	0.05	255.44	0.02	0.12	0.00	0.22	0.00	253.39	0.03	1.71	0.00
1.3.3.4	"Protoporphyrinogen oxidase."	3	0.03	67.71	0.00	2.37	0.00	0.02	0.00	62.21	0.01	3.11	0.00
3.1.4.1	"Phosphodiesterase I."	1	0.01	27.20	0.00	9.77	0.01	1.08	0.00	13.70	0.00	2.65	0.00
2.3.1.242	"Kdo(2)-lipid IV(A) palmitoleoyltransferase."	1	0.01	13.15	0.00	0.00	0.00	0.02	0.00	11.75	0.00	1.38	0.00
1.1.1.211	"Long-chain-3-hydroxyacyl-CoA dehydrogenase."	1	0.01	8.98	0.00	0.33	0.00	1.09	0.00	5.55	0.00	2.01	0.00
2.3.1.12	"Dihydrolipoyllysine-residue acetyltransferase."	6	0.06	352.89	0.02	13.22	0.01	1.76	0.00	332.90	0.04	5.00	0.00
3.5.4.44	"Ectoine hydrolase."	1	0.01	191.30	0.01	0.01	0.00	0.40	0.00	190.55	0.02	0.34	0.00
2.1.1.307	"8-demethyl-8-(2,3-dimethoxy-alpha-L-rhamnosyl)-tetracenomycin-C 4'-O-"	1	0.01	92.95	0.01	0.00	0.00	0.04	0.00	92.89	0.01	0.02	0.00
3.1.3.18	"Phosphoglycolate phosphatase."	5	0.05	329.03	0.02	0.03	0.00	4.16	0.00	323.70	0.04	1.15	0.00
1.6.99.5	"Transferred entry: 1.6.5.11."	8	0.08	845.64	0.05	1.91	0.00	2.37	0.00	836.92	0.09	4.44	0.00
2.3.-.-	"Acyltransferases."	1	0.01	78.70	0.01	7.86	0.01	0.06	0.00	70.54	0.01	0.25	0.00
3.2.1.26	"Beta-fructofuranosidase."	3	0.03	157.94	0.01	0.00	0.00	0.06	0.00	157.80	0.02	0.08	0.00
2.9.1.-	"Selenotransferases."	3	0.03	310.11	0.02	7.90	0.01	4.42	0.00	296.34	0.03	1.46	0.00
3.6.1.31	"Phosphoribosyl-ATP diphosphatase."	2	0.02	111.35	0.01	0.00	0.00	0.02	0.00	111.30	0.01	0.03	0.00
1.13.11.-	"With incorporation of two atoms of oxygen."	3	0.03	72.95	0.00	2.26	0.00	0.02	0.00	69.17	0.01	1.50	0.00
1.3.1.76	"Precorrin-2 dehydrogenase."	3	0.03	417.24	0.03	0.02	0.00	1.05	0.00	415.18	0.05	0.99	0.00
4.1.2.49	"L-allo-threonine aldolase."	1	0.01	12.82	0.00	0.00	0.00	0.02	0.00	11.46	0.00	1.33	0.00
3.4.25.2	"HslU--HslV peptidase."	3	0.03	316.31	0.02	17.87	0.01	1.81	0.00	293.29	0.03	3.33	0.00
3.6.3.31	"Transferred entry: 7.6.2.11."	3	0.03	268.01	0.02	0.25	0.00	17.04	0.01	247.76	0.03	2.96	0.00
2.7.2.11	"Glutamate 5-kinase."	2	0.02	170.09	0.01	8.19	0.01	0.67	0.00	160.56	0.02	0.67	0.00
6.1.1.17	"Glutamate--tRNA ligase."	4	0.04	100.52	0.01	8.36	0.01	0.29	0.00	91.32	0.01	0.54	0.00
2.1.1.61	"tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase."	4	0.04	401.95	0.03	2.70	0.00	1.19	0.00	397.13	0.04	0.93	0.00
3.5.4.1	"Cytosine deaminase."	3	0.03	288.61	0.02	0.27	0.00	0.48	0.00	287.36	0.03	0.49	0.00
1.17.1.8	"4-hydroxy-tetrahydrodipicolinate reductase."	4	0.04	130.12	0.01	0.31	0.00	4.48	0.00	122.57	0.01	2.78	0.00
5.1.3.13	"dTDP-4-dehydrorhamnose 3,5-epimerase."	3	0.03	321.56	0.02	0.05	0.00	0.87	0.00	319.92	0.03	0.72	0.00
1.14.15.17	"Pheophorbide a oxygenase."	2	0.02	1800.15	0.12	298.41	0.23	564.02	0.26	84.60	0.01	853.12	0.28
2.7.1.45	"2-dehydro-3-deoxygluconokinase."	1	0.01	89.86	0.01	0.35	0.00	0.52	0.00	88.59	0.01	0.41	0.00
2.1.1.210	"Demethylspheroidene O-methyltransferase."	1	0.01	13.49	0.00	0.00	0.00	0.01	0.00	11.94	0.00	1.53	0.00
